fit_seconds,rmse_train,rmse_test_shaped,rmse_test_true,nasa_score_true,n_train,n_test,n_features,pipeline,tsk_order,n_gaussians,top_p,detect_interactions,norm_conorm,l2_reg,scaler
6.563373124001373,7.521320392801172,8.796605945077085,7.5978791905873,12192.66668437243,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,5,0.9,True,hamacher,1e-06,standard
6.4818282869964605,7.521326075334517,8.796541559004682,7.597883086532056,12192.729387283673,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,5,0.9,True,hamacher,0.01,standard
0.40077717600070173,7.690170035848511,8.986004613643887,7.631396718709535,12307.9447078961,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,1st,3,0.95,False,hamacher,0.01,standard
6.367969309001637,7.690170035848511,8.986004613643887,7.631396718709535,12307.9447078961,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,1st,3,0.95,True,hamacher,0.01,standard
6.343661974002316,7.690167330267782,8.98619698690531,7.631435678135449,12307.98046896133,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,1st,3,0.95,True,hamacher,1e-06,standard
0.2975053359987214,7.690167330267782,8.98619698690531,7.631435678135449,12307.98046896133,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,1st,3,0.95,False,hamacher,1e-06,standard
6.458333590999246,7.3615701963264915,8.90466836845606,7.653519762212623,12250.424491369511,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,3,0.9,True,hamacher,1e-06,standard
6.477902161001111,7.361574980209817,8.904559702950612,7.653551291633947,12250.48030618624,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,3,0.9,True,hamacher,0.01,standard
0.41145638399757445,7.866634173382553,9.008891048033046,7.742631753788582,12468.061603619732,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,1st,5,0.95,False,hamacher,0.01,standard
6.481470637001621,7.866634173382553,9.008891048033046,7.742631753788582,12468.061603619732,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,1st,5,0.95,True,hamacher,0.01,standard
6.536899979997543,7.866627337744027,9.00913157547447,7.742804539740528,12468.17831121233,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,1st,5,0.95,True,hamacher,1e-06,standard
0.413664665997203,7.866627337744027,9.00913157547447,7.742804539740528,12468.17831121233,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,1st,5,0.95,False,hamacher,1e-06,standard
6.4718351470000925,8.546413804273014,9.273100705017558,7.849775483152732,13025.115954021796,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,5,0.9,True,probability,0.01,
6.470376151002711,8.544934447311489,9.283516783648516,7.857777361202683,13035.568975300605,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,5,0.9,True,probability,1e-06,
0.8689216499988106,9.13858123328487,9.247492406009876,8.052202054354241,14381.050451541403,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,5,0.95,False,probability,0.01,standard
0.9056682149966946,9.124613238947335,9.274636042140918,8.072165934853604,14399.605289118303,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,5,0.95,False,probability,1e-06,standard
6.566893969997182,9.498441708236957,9.351167129141695,8.289470561966672,14694.37524739456,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,5,0.95,True,probability,0.01,standard
6.551794630002405,9.498439031542881,9.351615970963296,8.289604466932973,14694.561329512435,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,5,0.95,True,probability,1e-06,standard
0.6759535980017972,8.678985395878263,9.325608534836743,8.290029832050287,14114.821740415176,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,5,0.9,False,probability,0.01,standard
1.034612861003552,8.660261944458352,9.363510822004757,8.318482561300566,14553.731982357138,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,5,0.9,False,probability,1e-06,standard
6.507089963000908,9.119223681418216,9.216820385317003,8.43836752752212,14167.02130433519,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,5,0.9,True,probability,1e-06,standard
6.503114375998848,9.119224803044773,9.21682253554599,8.438471994858036,14167.20943455962,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,5,0.9,True,probability,0.01,standard
6.5650785399993765,8.092850004602196,9.136140839300706,8.47256117347353,13277.55707022946,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,1st,0,0.9,True,hamacher,1e-06,standard
0.4310822850020486,8.092850004602196,9.136140839300706,8.47256117347353,13277.55707022946,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,1st,0,0.9,False,hamacher,1e-06,standard
6.558374090003781,8.092852066771153,9.136141365262324,8.472939174655851,13278.050895988035,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,1st,0,0.9,True,hamacher,0.01,standard
0.4352236470003845,8.092852066771153,9.136141365262324,8.472939174655851,13278.050895988035,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,1st,0,0.9,False,hamacher,0.01,standard
0.6671440380014246,9.223957541964635,9.640561899266382,8.515840739639685,14889.568064950578,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,0,0.9,False,probability,0.01,
0.6647968320030486,9.213439201191294,9.63725516415162,8.546724132896314,14915.165198628689,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,0,0.9,False,probability,1e-06,
6.446315487002721,8.334373680196137,9.062260382636328,8.653029970729914,13533.052199899083,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,1st,5,0.9,True,hamacher,1e-06,standard
0.36280519000138156,8.334373680196137,9.062260382636328,8.653029970729914,13533.052199899083,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,1st,5,0.9,False,hamacher,1e-06,standard
6.434378646001278,8.3343785625084,9.062141264408124,8.653074047154837,13533.146083188907,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,1st,5,0.9,True,hamacher,0.01,standard
0.3579812870011665,8.3343785625084,9.062141264408124,8.653074047154837,13533.146083188907,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,1st,5,0.9,False,hamacher,0.01,standard
6.429332858002454,9.22624823091136,9.609418134563104,8.69184439610095,14081.428551854786,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,1st,5,0.9,True,probability,0.01,
0.3246247009956278,9.22624823091136,9.609418134563104,8.69184439610095,14081.428551854786,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,1st,5,0.9,False,probability,0.01,
0.32847643100103596,9.226237658494478,9.610576889934853,8.692441714470288,14082.20830721371,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,1st,5,0.9,False,probability,1e-06,
6.374044846998004,9.226237658494478,9.610576889934853,8.692441714470288,14082.20830721371,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,1st,5,0.9,True,probability,1e-06,
0.3470902469998691,8.196016465487991,9.183089690850013,8.694217010363932,13562.308777010656,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,1st,3,0.9,False,hamacher,1e-06,standard
6.394179728995368,8.196016465487991,9.183089690850013,8.694217010363932,13562.308777010656,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,1st,3,0.9,True,hamacher,1e-06,standard
0.3670412529972964,8.196018463711171,9.183130298172106,8.694837616525959,13563.096121254002,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,1st,3,0.9,False,hamacher,0.01,standard
6.401790866999363,8.196018463711171,9.183130298172106,8.694837616525959,13563.096121254002,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,1st,3,0.9,True,hamacher,0.01,standard
6.681804791995091,9.513789515408146,9.921318153785657,8.761962253596923,15318.29539196562,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,0,0.9,True,probability,0.01,
6.575529613997787,9.512905860798462,9.930261565637478,8.768991615034386,15328.701080262175,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,0,0.9,True,probability,1e-06,
0.5583275180033525,8.448298672753916,9.680661028678358,8.802867536554748,14620.928857024634,26320,6270,96,A3_raw_memory_cc/B2/C3_physical,1st,0,0.95,False,hamacher,0.01,
0.5755386669989093,8.448288750555655,9.682460882772986,8.803645209747055,14627.343940664263,26320,6270,96,A3_raw_memory_cc/B2/C3_physical,1st,0,0.95,False,hamacher,1e-06,
0.3700458070015884,8.489870967466077,9.857912639587106,8.851592630186383,14566.061412952931,26320,6270,96,A3_raw_memory_cc/B2/C3_physical,1st,3,0.95,False,hamacher,0.01,
0.37487910299387295,8.48985634141664,9.859533356908168,8.8522753808346,14566.89872686567,26320,6270,96,A3_raw_memory_cc/B2/C3_physical,1st,3,0.95,False,hamacher,1e-06,
0.5232460760016693,9.437311194082351,9.776135407347885,8.852806155823535,15311.22705698452,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,3,0.9,False,probability,0.01,
0.5161038540027221,9.427304577750068,9.768942707619159,8.877462039357841,15329.739970901612,26320,6270,60,A3_raw_memory_cc/B3/C3_physical,full-2nd,3,0.9,False,probability,1e-06,
