arm,init,seed,cv_mse_0,cv_mse,improvement,beat_start,r2_0,r2,heuristic_r2,heuristic_cv,evals_to_heuristic,rmse_0,rmse,evals,seconds,error
opt-aco,hot,2,0.006182,0.004840,0.217188,1,0.808888,0.841204,0.808888,0.006182,0,6.8569,6.2503,2000,30.91,
opt-aco,hot,3,0.005990,0.005173,0.136431,1,0.858451,0.877512,0.858451,0.005990,0,6.4371,5.9880,2000,32.78,
opt-aco,hot,4,0.007497,0.004919,0.343911,1,0.755459,0.879265,0.755459,0.007497,0,8.6018,6.0441,2000,33.65,
opt-aco,hot,5,0.006414,0.004881,0.238974,1,0.842144,0.849679,0.842144,0.006414,0,6.0847,5.9377,2000,35.47,
opt-aco,hot,6,0.006464,0.004829,0.252934,1,0.862466,0.881382,0.862466,0.006464,0,6.6680,6.1925,2000,35.85,
opt-aco,hot,7,0.006181,0.004843,0.216459,1,0.870453,0.876053,0.870453,0.006181,0,5.8603,5.7323,2000,34.46,
opt-aco,hot,8,0.006707,0.004885,0.271635,1,0.872438,0.890648,0.872438,0.006707,0,5.7641,5.3368,2000,34.04,
opt-aco,hot,9,0.006677,0.004652,0.303245,1,0.849755,0.870694,0.849755,0.006677,0,6.0216,5.5862,2000,33.54,
opt-gd,hot,0,0.006256,0.005417,0.134131,1,0.858037,0.869456,0.858037,0.006256,0,6.1148,5.8637,2000,32.02,
opt-gd,hot,1,0.005528,0.003821,0.308853,1,0.832372,0.845483,0.832372,0.005528,0,6.6106,6.3468,2000,30.38,
opt-gd,hot,2,0.006182,0.003725,0.397422,1,0.808888,0.865521,0.808888,0.006182,0,6.8569,5.7519,2000,31.03,
opt-gd,hot,3,0.005990,0.003308,0.447743,1,0.858451,0.874222,0.858451,0.005990,0,6.4371,6.0679,2000,29.97,
opt-gd,hot,4,0.007497,0.007480,0.002262,1,0.755459,0.755804,0.755459,0.007497,0,8.6018,8.5957,2000,30.99,
opt-gd,hot,5,0.006414,0.003918,0.389163,1,0.842144,0.870119,0.842144,0.006414,0,6.0847,5.5192,2000,32.69,
opt-gd,hot,6,0.006464,0.003618,0.440287,1,0.862466,0.912079,0.862466,0.006464,0,6.6680,5.3313,2000,32.44,
opt-gd,hot,7,0.006181,0.003501,0.433567,1,0.870453,0.878555,0.870453,0.006181,0,5.8603,5.6741,2000,30.78,
opt-gd,hot,8,0.006707,0.003608,0.462030,1,0.872438,0.879180,0.872438,0.006707,0,5.7641,5.6097,2000,32.70,
opt-gd,hot,9,0.006677,0.006370,0.046049,1,0.849755,0.792372,0.849755,0.006677,0,6.0216,7.0787,2000,30.96,
none,cold,0,0.006495,0.006495,0.000000,0,0.862517,0.862517,0.858037,0.006256,,6.0175,6.0175,0,0.07,
none,cold,1,0.006025,0.006025,0.000000,0,0.819187,0.819187,0.832372,0.005528,,6.8657,6.8657,0,0.07,
