dataset,config,n_rules,fit_seconds,pooled_rmse,pooled_r2,pooled_rmse_deg,pooled_rmse_deg_theta1,pooled_rmse_deg_theta2,pooled_r2_theta1,pooled_r2_theta2,trained_rmse,trained_r2,trained_rmse_deg,trained_rmse_deg_theta1,trained_rmse_deg_theta2,trained_r2_theta1,trained_r2_theta2,holdout_rmse,holdout_r2,holdout_rmse_deg,holdout_rmse_deg_theta1,holdout_rmse_deg_theta2,holdout_r2_theta1,holdout_r2_theta2,pooled_rmse_deg_theta3,pooled_r2_theta3,trained_rmse_deg_theta3,trained_r2_theta3,holdout_rmse_deg_theta3,holdout_r2_theta3,error
double_friction,nb40_1st_g4_uniform_raw_probability,80,3.33,0.10293145146878047,0.8455931593458652,25.58317793629161,16.408231604447828,32.245432579742385,0.9169377858823454,0.7742485328093849,0.12258468467552748,0.786787214954044,29.338181893448226,20.09049738767031,36.30192485725957,0.8747011430597115,0.6988732868483765,0.10048446656135715,0.8525896186462871,25.672553720203044,15.355542096187314,32.89935190798813,0.9264011853256363,0.7787780519669378,,,,,,,
double_friction,nb120_full-2nd_g4_uniform_raw_probability,240,14.21,0.02222023314408498,0.9928631671309998,5.369047520190746,4.383336884115689,6.1999758312822335,0.9940722531514669,0.9916540811105328,0.02003050681962149,0.9943659553011086,4.620790350700891,4.293466602714558,4.926413651088962,0.9942775512819032,0.9944543593203139,0.017200631382623788,0.9956935615908606,4.287573819683201,3.1926505240025578,5.154955009508017,0.9968184168468424,0.9945687063348788,,,,,,,
double_friction,nb40_1st_g8_uniform_raw_probability,80,3.25,0.10739961087882477,0.8315472109333256,26.879620504223464,15.92002747125348,34.51928044175713,0.9218070543290432,0.741287367537608,0.13764266090362576,0.7311477914016,32.95938239345371,22.43879670442316,40.855136494367294,0.8436978834176657,0.6185976993855342,0.0978284249563825,0.8601021376910754,25.247703603513457,13.357350971044873,33.11305255542078,0.9443094907824197,0.775894784599731,,,,,,,
double_friction,nb120_full-2nd_g8_uniform_raw_probability,240,14.54,0.07744000606949716,0.9124600565769558,19.352181681870434,11.673932806426293,24.753447528117878,0.9579550028901028,0.866965110263809,0.08360812762272958,0.9005137694662555,20.218974377318197,12.175809934260156,25.872060261720023,0.9539784277484036,0.8470491111841075,0.07659635839747359,0.9140983658031422,20.01961874484359,8.60199592895423,26.973615542156026,0.9769038825449933,0.8512928490612911,,,,,,,
double_friction,nb120_1st_g0_uniform_raw_probability_harmonic8,240,179.65,0.09059489855021498,0.880186147538742,22.64374801832815,13.629436081776088,28.977872950371225,0.9426892986818289,0.8176829963956552,0.09950683667293476,0.8598155558173397,23.63606084292297,17.48835090221985,28.48656397429391,0.9050568910189375,0.8145742206157418,0.07825531189107955,0.9105518285261076,20.072210610028964,11.4815562053148,25.960761634646136,0.9588526352494114,0.8622510218028039,,,,,,,
triple_frictionless,nb40_1st_g0_uniform_raw_probability,120,9.06,0.15552750995423878,0.6582568450965599,84.84627068366149,25.922361844976034,38.387512823042265,0.7072327558088816,0.6095806301483895,0.13379052594866697,0.725349400138692,58.201755995909004,26.14065727456112,32.30638397918105,0.6698095164578259,0.7240242255707765,0.17369713546236262,0.5641937723530775,67.63435495934304,31.690056136678102,45.327770181271575,0.5975786520416104,0.4137030174772772,139.46719672530304,0.6579571493324088,91.84387183947355,0.7822144583874734,103.26834706117477,0.681299647540345,
triple_frictionless,nb40_full-2nd_g0_uniform_raw_probability,120,9.12,0.13285650398423832,0.748840997023838,71.77462236823582,22.705621753685097,32.802533107971655,0.7753842812346435,0.7149203794200241,0.0961802551771137,0.8468769655967464,38.77870515742044,17.92795741794391,28.652491387342838,0.8446922350035964,0.7829203859173574,0.1619523463757172,0.6091397585474755,59.28965469655442,33.58920169820049,41.45530838625107,0.547900154179323,0.5096013691963952,117.74225159554054,0.7562183304168465,58.04297546798468,0.9130182758692852,87.74401630873983,0.7699177522667082,
triple_frictionless,nb80_1st_g0_uniform_raw_probability,240,17.78,0.1344907641549141,0.7373969922141078,70.5408548927086,23.244151933380852,34.791119810337506,0.7646030894692801,0.6793079291787214,0.10293683847416882,0.8376079325296045,44.79817199194663,20.704234177416012,23.84522176776658,0.7928667172247894,0.8496522298863478,0.17546278859307218,0.5748223017431567,74.41164265080575,31.83192621485921,39.73507705133369,0.5939674661476839,0.5494561482639864,114.79252593363033,0.7682799579943219,70.87572735029137,0.8703048504776767,118.40240627263441,0.5810432908178,
triple_frictionless,nb80_full-2nd_g0_uniform_raw_probability,240,19.42,0.10856833031689268,0.8292226271655109,57.137790223994145,19.2225989102365,27.393052410209023,0.8390104983012304,0.8011927289543492,0.06255194802241874,0.9252228798884538,19.92594389468076,16.617267221625283,16.791962563141865,0.8665708395262206,0.9254414979256932,0.1688567814840502,0.5872053927156169,65.92746845315375,34.250161607048696,40.24109658500011,0.5299324795111123,0.5379078803007571,93.13588774382947,0.847464654240953,25.16001080375435,0.9836563022134472,101.22684360115406,0.6937758183349811,
triple_frictionless,nb120_1st_g0_uniform_raw_probability,360,28.3,0.12021242738862012,0.7915278922409216,63.67074538938633,21.0083868161476,30.295065101767364,0.8077090884797006,0.7568382908580861,0.07251432532770889,0.9078734107344836,27.04351654804109,16.505858613575754,19.966465534882673,0.8683539637852549,0.8945864000170524,0.16534083021875784,0.6069967260699188,65.56742015072552,33.923097274275705,37.893499659167105,0.53886722601451,0.5902505479794947,103.93626974825952,0.8100362973849782,39.02502078571525,0.9606798684011435,101.54095681332741,0.6918724042157517,
triple_frictionless,nb120_full-2nd_g0_uniform_raw_probability,360,30.47,0.09996015644458249,0.8537667308759481,51.79685469465952,17.86305859699021,25.729558845614253,0.8609775322246015,0.8246054530325099,0.049032672091124344,0.954953880714455,16.20275248932689,13.584875259375485,11.286435700313426,0.9108250538444027,0.9663172235482111,0.1686782971900895,0.590877175324533,66.80735753321972,34.25986923198392,39.16984475738749,0.5296659764842531,0.5621829714114499,84.06927743206555,0.8757172073707332,21.80951851969834,0.9877193647507513,103.35208601476735,0.680782578077896,
triple_frictionless,nb200_1st_g0_uniform_raw_probability,600,54.34,0.10682688595822738,0.8360989309025095,56.95136185358635,18.55062132019956,26.72867495139123,0.8500694038342894,0.81071932928092,0.055832649487688055,0.9433041368658229,19.54659335627077,14.409048310393967,13.813983911335873,0.8996766234104835,0.9495417538267763,0.1697805858847485,0.594941781382705,70.2203042665326,33.87908518716367,36.87937015148434,0.5400630042148695,0.6118890113815931,93.12263545944047,0.847508059592319,27.345220986349936,0.9806940333602091,110.8367855811597,0.6328733285516526,
triple_frictionless,nb200_full-2nd_g0_uniform_raw_probability,600,59.17,0.09479336412193033,0.868065020934551,48.867124206343135,16.998140293547113,24.54507246084814,0.8741143674916522,0.8403826691467142,0.038645407810399636,0.9709950866411489,11.825321000784504,10.862565764326439,9.648886852200702,0.9429840475693277,0.9753822313015108,0.17355399362789742,0.5682022928504344,69.236369154047,35.72338847863153,39.190688614830755,0.4886240642265558,0.5617168871627609,79.19968515749981,0.8896980261652865,14.436699686697677,0.994618981052608,107.55907159513117,0.6542659271619866,
triple_frictionless,nb300_1st_g0_uniform_raw_probability,900,96.06,0.10249437527702308,0.8467822113613437,53.39621900202633,18.308049551689876,26.146363354014255,0.8539648147113972,0.8188768379081566,0.04291491887412307,0.9659217603872977,14.575608515878589,11.179253234154732,10.95159761724888,0.9396110979220972,0.9682861318176781,0.17447178122182705,0.5660616223002258,70.23638016670425,34.93128840608529,39.916639744344,0.5110502782303323,0.5453293740784515,86.80237102815703,0.8675049814644775,19.809893931593038,0.9898680514221175,109.4802003038749,0.6418052145918934,
triple_frictionless,nb300_full-2nd_g0_uniform_raw_probability,900,104.88,0.09147969268498804,0.8738791739431159,45.129642978979874,16.977674935971745,24.658574522830204,0.8744173116419788,0.8389030414489878,0.03373668897035143,0.9784449208664072,10.945183097966323,9.01181672718146,8.743467233875254,0.960757537879677,0.9797855637864752,0.16822282578884065,0.5848206938236947,63.98521256312694,35.353712826205204,40.30388187312461,0.49915302603453904,0.5364648172400794,72.20642133841741,0.908317168738381,14.20317003875772,0.9947916609330694,96.99502242695254,0.7188442381964659,
triple_frictionless,nb300_2nd_g0_uniform_raw_probability,900,101.84,0.09346932850077086,0.8688263185647105,46.41957858843866,17.299553133509825,25.00985064462336,0.8696103505992379,0.8342805041244094,0.03630848216416321,0.9751695629060327,11.91475613778958,9.62392424404503,9.411076118280167,0.9552455795709038,0.9765807581446991,0.16894749045863156,0.5829614453433652,64.81288730356785,35.22388185734721,40.2756267959412,0.5028248355735343,0.5371145130434194,74.42825176704874,0.9025881009704843,15.642760942678953,0.9936823510024955,98.68780631348872,0.7089449874131422,
triple_frictionless,nb300_full-2nd_g0_uniform_raw_probability_l20.0001,900,104.89,0.10995923945903213,0.825391632081463,58.14562231545157,19.10117471545231,27.92720370587847,0.8410379328644384,0.793363844644655,0.05321818543382971,0.9453861988217668,16.658462754511344,13.79635722094444,15.222318137897588,0.9080269883970126,0.9387288759243312,0.1699552707927708,0.5884594898307246,68.43517041847687,33.642168592280406,39.322918428311745,0.5464731952791784,0.5587543537044761,94.85755953540821,0.8417731187352958,20.25968168484032,0.9894027321439568,106.63972162992,0.6601509205085192,
triple_frictionless,nb300_full-2nd_g0_uniform_raw_probability_l21e-09,900,104.72,0.06841435279090563,0.9244789562968753,29.211003105908635,14.308983619235258,19.694549030317624,0.9107946460737377,0.8972354112708858,0.01908317847146578,0.9937280696400664,7.293646900657702,4.209372253356053,5.255817313625884,0.9914381776191754,0.9926957642498695,0.17885357831414073,0.5378390995136376,70.13574028462058,36.27465833383905,42.31858216581759,0.47271956665457815,0.48896438727395797,44.3534196385925,0.9654068115460024,10.688752262677237,0.9970502670511542,107.93680077736894,0.6518333446123766,
triple_frictionless,nb300_full-2nd_g0_quantile_raw_probability,900,103.86,0.08731293696314278,0.8803022180294932,39.73046508649524,17.087048614665626,24.931172201564173,0.8727940406196926,0.8353215373658138,0.0328395762630243,0.9794690958350328,10.576480885348186,8.367061264139483,9.360904681240438,0.9661719126182743,0.9768297934389576,0.1811229352590541,0.54755212560052,77.24511287249388,34.87101450346061,38.132081107092645,0.5127361869529188,0.5850746540828603,61.82231789785682,0.9327910761029732,13.339849815694116,0.9954055814478666,123.41142218609474,0.5448455357657809,
