dataset,config,n_rules,fit_seconds,pooled_rmse,pooled_r2,pooled_rmse_deg,pooled_rmse_deg_theta1,pooled_rmse_deg_theta2,pooled_r2_theta1,pooled_r2_theta2,trained_rmse,trained_r2,trained_rmse_deg,trained_rmse_deg_theta1,trained_rmse_deg_theta2,trained_r2_theta1,trained_r2_theta2,holdout_rmse,holdout_r2,holdout_rmse_deg,holdout_rmse_deg_theta1,holdout_rmse_deg_theta2,holdout_r2_theta1,holdout_r2_theta2,pooled_rmse_deg_theta3,pooled_r2_theta3,trained_rmse_deg_theta3,trained_r2_theta3,holdout_rmse_deg_theta3,holdout_r2_theta3
triple_frictionless,nb12_1st_g2_uniform_raw_probability,36,1.45,0.1903335915360053,0.47362227304689447,99.7673803010455,34.79947108924034,47.05619348570286,0.4723831775100381,0.41334200598205706,0.15701034288041138,0.5972836421363822,64.09213536309711,32.19048112667192,41.75626600152317,0.49928975045557866,0.5389610998045979,0.19568545288736627,0.42783221052920806,71.13674781245496,40.43366244758781,50.69470516718712,0.34487954954780375,0.2666451783056697,162.58936614350148,0.5351416356485883,97.6913129231464,0.7536000761489698,104.76868080244671,0.6719719037341507
triple_frictionless,nb12_1st_g3_uniform_raw_probability,36,1.55,0.19343394748579287,0.4785688527219715,107.50130189473379,32.5542452634659,45.47557919904084,0.5382694503429852,0.45209169241132363,0.16129865520144337,0.5871308340396947,67.92824714053478,32.03315519093448,41.547634347982054,0.5041720763026156,0.5435566741413359,0.1840435385432927,0.5132138022043019,72.2499191163622,32.195364601825844,48.7834452281281,0.5846428509930398,0.3208997584776705,177.60006345445353,0.44534541541160577,105.3110218702516,0.7136637516751325,110.65164439262699,0.6340987971421953
triple_frictionless,nb12_1st_g5_uniform_raw_probability,36,1.5,0.1999637117370902,0.4777751304038398,119.835147134267,29.125835655747295,42.861271058633754,0.63040155365712,0.5132774148554904,0.20636257783347828,0.4501688999622859,102.18605947337517,31.898933930534298,39.65987182617378,0.5083184816394719,0.5840923849582342,0.18634969809587312,0.5148786964386712,77.20474183487212,31.86222653485746,46.1668271027972,0.5931941060248753,0.39179637488491814,200.98752350996048,0.28964642269890883,169.51555926496928,0.2580958332891514,121.38838116092339,0.5596456084062202
triple_frictionless,nb20_1st_g2_uniform_raw_probability,60,2.72,0.18111078879318257,0.5298269251285659,96.84026321130717,31.743574285859015,44.71101600396181,0.5609792978745841,0.4703603563335709,0.14104257113928595,0.6619846173209553,54.880262320016215,30.645390936959096,38.36620384047318,0.5462027311813971,0.610782893887539,0.18147168051474863,0.5057416353667742,65.14316640174577,37.01530102776388,48.22868242168945,0.4509681163988547,0.3362573217966789,158.51618300967704,0.5581411211775427,81.39056452767477,0.8289682268939299,95.05134437885907,0.7299994679047888
triple_frictionless,nb20_1st_g3_uniform_raw_probability,60,2.96,0.1801550348738789,0.5457042070784802,99.54606342717167,30.562141558547353,42.633372624227306,0.5930501304783311,0.5184395771636233,0.15276764881813484,0.6457999310973483,67.04348517594836,31.189616170679823,33.608662077083714,0.5299418290676499,0.701326488758883,0.17805028657645922,0.5294051864520756,65.38513490852445,34.26385384165626,48.18423363185495,0.5295565652970409,0.3374802025460468,164.24557002725655,0.525622913593486,106.68717069135771,0.7061314754655121,96.59148798028879,0.7211787915131389
triple_frictionless,nb20_1st_g5_uniform_raw_probability,60,2.68,0.1752859620282929,0.5753971530389298,98.45607453841986,28.70776122013257,41.100933435540234,0.6409358895812878,0.5524363804370509,0.16945187577356285,0.6078956586082817,80.92374083980157,28.54870447690522,35.23965178216125,0.6061740258722492,0.6716345341586141,0.18192687614076003,0.5256205129764384,72.12690712781244,34.147425803356604,45.303237982979546,0.5327482522519044,0.4143374745249534,162.9950108346874,0.5328191890984509,132.62388136939924,0.5458784157939816,111.30337881095089,0.6297758121524575
triple_frictionless,nb40_1st_g2_uniform_raw_probability,120,5.08,0.16280493680650115,0.6255103634254037,88.89342152458825,29.854252266023288,36.74378893450509,0.611683589822928,0.6422997179875967,0.10793206362609213,0.7909867549713426,38.708365450327065,26.735283697998124,27.77407153902108,0.6546168550489596,0.7960266826697631,0.1710684149631035,0.5684787374149748,64.21127258480384,35.30501568413063,42.55737324638914,0.5005318355971231,0.4831808741513258,146.50849384051986,0.6225477824656864,54.852877985034844,0.9223167271953051,96.49709027111003,0.7217235024964757
triple_frictionless,nb40_1st_g3_uniform_raw_probability,120,5.14,0.15932739646896418,0.6443704346742468,87.93905004192611,27.094460576790585,37.72285579381345,0.6801588297617682,0.6229833467473977,0.1185753346397307,0.7784894958785057,50.24908772610536,24.454353669239552,28.619685853398014,0.7110358780995113,0.7834171898942622,0.16961431118576428,0.5796051549185748,64.64625047297305,32.73483629125129,43.75661665197503,0.5706066234641476,0.453643119412828,145.06104206037227,0.6299691275135746,78.47171860097141,0.8410154196417433,97.73025167674636,0.7145657218787488
triple_frictionless,nb40_1st_g5_uniform_raw_probability,120,5.76,0.16104212814008506,0.6388179881943525,89.56698099443118,26.77157123371239,38.18540240431147,0.6877366106290115,0.6136809269127865,0.15789719809303343,0.6645643569653689,76.19971055293507,25.14018838387542,33.48245812399667,0.6946003034152364,0.7035653762055263,0.16326158500737678,0.6132206769462224,63.05850148409443,30.579969280420524,42.29768550601097,0.6252780926099921,0.4894689552535304,147.9590830948523,0.6150364270412595,125.1642264828546,0.5955273912753442,95.94214458673386,0.7249149829751447
double_friction,nb2_1st_g0_uniform_raw_probability,4,0.27,0.19025768787176278,0.482100954492384,44.2895309110806,44.87027296049213,43.70107208179296,0.37884873863950475,0.5853531703452632,0.2191195863272843,0.32550158928002826,50.62573234839839,46.57340297306313,54.37690398626989,0.3266487438815139,0.32435443467854264,0.17328934966734183,0.5670222892959637,39.62328874741617,45.61364526639424,32.54850822747155,0.35057339606002424,0.7834711825319031,,,,,,
double_friction,nb2_full-2nd_g0_uniform_raw_probability,4,0.29,0.18167562317917307,0.5278390147190528,42.26833595499454,42.9381513795365,41.58773382761546,0.4311907712887332,0.6244872581493724,0.21271231245851474,0.3650696514299385,48.94773457503661,46.20794384497651,51.5420931441086,0.3371747887657984,0.3929645140940786,0.16933751216610796,0.5866430027235932,38.628673904139454,44.85176503908485,31.18762684244211,0.3720868318214937,0.8011991736256926,,,,,,
double_friction,nb3_1st_g0_uniform_raw_probability,6,0.33,0.1865839268427915,0.4984423993746117,44.5562629959466,39.283269972441175,49.268101694709294,0.5239032555306837,0.4729815432185397,0.23509485657576476,0.21804548529860085,55.70872173294243,42.15824766451488,66.55528159428259,0.44826462116838595,-0.012173650571184247,0.1775610509048627,0.5431107955916021,42.589680429942675,39.99028490012986,45.039303634222954,0.5008288115685173,0.585392779614687,,,,,,
double_friction,nb3_full-2nd_g0_uniform_raw_probability,6,0.38,0.16317389069671548,0.6162231574707374,39.03210037520363,34.05412388103329,43.443369644805145,0.6422172716080399,0.590229043333435,0.20975675560776944,0.37876067177571415,49.35633539971664,39.710281291264295,57.403738971841406,0.5104786270664319,0.24704271648499643,0.15810183133181255,0.636999363978455,38.6421012688215,32.757061998305744,43.74241500167617,0.6650728148574633,0.6089259130994469,,,,,,
double_friction,nb5_1st_g0_uniform_raw_probability,10,0.59,0.15763626456785176,0.6416639207954266,37.76998713812446,32.61156256455053,42.30401687696535,0.6718872059906003,0.6114406356002529,0.1886707959781552,0.4984729740599063,44.05311364867748,37.65326796971967,49.634514760266114,0.5598800230726351,0.43706592504717756,0.15125748098828606,0.6679240630664134,36.79786083384903,32.04425903556177,41.004031347618245,0.6794904446486143,0.6563576814842124,,,,,,
double_friction,nb5_full-2nd_g0_uniform_raw_probability,10,0.72,0.13033205005195636,0.7540421354314075,31.683290226586767,24.756500454806048,37.346719325737915,0.8109144002957878,0.6971698705670273,0.1601777567883925,0.6373844869134917,37.817508167513935,29.570523648416568,44.56357233389629,0.7285538027434105,0.5462151710835728,0.12209779265388684,0.7828055089906036,30.672578633974798,21.501181274387736,37.67377554640166,0.8557003906006944,0.709910627380513,,,,,,
double_friction,nb8_1st_g0_uniform_raw_probability,16,1.44,0.15021422392293932,0.6754045480927593,35.677028372462544,32.488866268139766,38.602775490758695,0.6743515154925532,0.6764575806929654,0.17976136541319113,0.5452385132208646,41.80140762858812,36.80354895835323,46.26244852504962,0.5795202061798135,0.5109568202619158,0.14836938424055413,0.6805870432718522,35.99271941771757,31.845381967474594,39.709235065797145,0.6834564716878616,0.6777176148558426,,,,,,
double_friction,nb8_full-2nd_g0_uniform_raw_probability,16,1.13,0.12939413116710843,0.7590893414101026,30.75946817818483,27.865805334946522,33.40339291515742,0.7604351227228401,0.7577435600973652,0.16035423430747406,0.6384128106211695,37.183373600171926,33.38573509573317,40.62756744745443,0.6539908229708464,0.6228347982714926,0.1150263708382642,0.8081768297736955,27.699691930156067,25.489585635452947,29.746039907591395,0.7972008804467241,0.819152779100667,,,,,,
double_friction,nb12_1st_g0_uniform_raw_probability,24,2.29,0.1367200639692177,0.7308196912002877,32.59637959879543,29.020452883631183,35.817052367922045,0.7401705824953688,0.7214687999052065,0.1603475433748642,0.6387475904278789,37.06799630496469,33.97383332405376,39.92306788561172,0.641693377702238,0.6358018031535198,0.13768144205991528,0.7252487669762355,33.07466016802538,30.81779737648634,35.18706659161229,0.7035552899521402,0.7469422440003308,,,,,,
double_friction,nb12_full-2nd_g0_uniform_raw_probability,24,2.5,0.10952523598083556,0.8267816670334278,26.36918208517914,22.064818589149816,30.06345469686705,0.8497962861973024,0.8037670478695531,0.12516665537079583,0.7787316960416133,29.47960892648709,23.53450576457564,34.412522769108186,0.8280604063326424,0.7294029857505843,0.1045072710967142,0.8413495044861183,25.601874701832035,21.405180039732528,29.201545232457278,0.8569860887483626,0.825712920223874,,,,,,
