source,instance,n,arm,gap_pct,seconds,q_arm_mean,detail
lkh_compare,fl1577,1577,iterated (control),4.458627354038383,8.682032999990042,,102400 kicks
lkh_compare,fl1577,1577,iterated (control),4.458627354038383,35.175681599997915,,409600 kicks
lkh_compare,fl1577,1577,iterated + CHAIN reopt depth,8.63409591442312,0.0155539000115823,,0 kicks
lkh_compare,fl1577,1577,iterated + CHAIN reopt depth,4.6968403074295475,0.11451719998149201,,1600 kicks
lkh_compare,fl1577,1577,iterated + CHAIN reopt depth,4.665378219245809,0.42209159999038093,,6400 kicks
lkh_compare,fl1577,1577,iterated + CHAIN reopt depth,4.521551530405861,1.6003713000100106,,25600 kicks
lkh_compare,fl1577,1577,iterated + CHAIN reopt depth,4.499078610274619,6.399579699995229,,102400 kicks
lkh_compare,fl1577,1577,iterated + CHAIN reopt depth,4.499078610274619,25.64344169999822,,409600 kicks
lkh_compare,fl1577,1577,iterated + EFFORT-aimed kicks,8.557687985976898,0.017521900008432567,,0 kicks
lkh_compare,fl1577,1577,iterated + EFFORT-aimed kicks,5.887905074385365,0.23566490001394413,,1600 kicks
lkh_compare,fl1577,1577,iterated + EFFORT-aimed kicks,2.1843678367567083,0.8400009000033606,,6400 kicks
lkh_compare,fl1577,1577,iterated + EFFORT-aimed kicks,0.8404872129084453,2.9822392000060063,,25600 kicks
lkh_compare,fl1577,1577,iterated + EFFORT-aimed kicks,0.8404872129084453,10.128545300016413,,102400 kicks
lkh_compare,fl1577,1577,iterated + EFFORT-aimed kicks,0.7865522045934649,38.46011469999212,,409600 kicks
lkh_compare,fl1577,1577,iterated + both,8.63409591442312,0.015804800001205876,,0 kicks
lkh_compare,fl1577,1577,iterated + both,5.2766416468155874,0.12988160000531934,,1600 kicks
lkh_compare,fl1577,1577,iterated + both,4.786731987954515,0.45606740002403967,,6400 kicks
lkh_compare,fl1577,1577,iterated + both,4.6968403074295475,1.7511991999926977,,25600 kicks
lkh_compare,fl1577,1577,iterated + both,4.557508202615848,7.057899600011297,,102400 kicks
lkh_compare,fl1577,1577,iterated + both,4.535035282484606,28.319990699994378,,409600 kicks
benchmark/small,fl1577,1577,lk_16_4_8,8.723987594948088,0.013949782000054256,1.003941395819218,
benchmark/large,fl1577,1577,lk_16_4_8,8.723987594948088,0.014900136999585811,1.0037598898757132,
benchmark/small,fl1577,1577,lk_24_4_8,7.75315744527844,0.015780117000304017,1.0072554797351712,
benchmark/large,fl1577,1577,lk_24_4_8,7.75315744527844,0.015256851000231109,1.0069127845632717,
