arm,init,seed,cv_mse_0,cv_mse,improvement,beat_start,r2_0,r2,heuristic_r2,heuristic_cv,evals_to_heuristic,rmse_0,rmse,evals,seconds,init_seconds,construction_seconds,error
opt-aco,hot,0,0.006113,0.004766,0.220372,1,0.835445,0.861861,0.835445,0.006113,0,6.5834,6.0319,2000,25.04,0.0000,0.1618,
opt-aco,hot,1,0.005830,0.004845,0.169029,1,0.830070,0.860814,0.830070,0.005830,0,6.6558,6.0237,2000,24.90,0.0000,0.2396,
opt-aco,hot,2,0.005970,0.005003,0.162052,1,0.798067,0.839166,0.798067,0.005970,0,7.0483,6.2903,2000,24.95,0.0000,0.2805,
opt-aco,hot,3,0.006025,0.004723,0.216008,1,0.874722,0.906240,0.874722,0.006025,0,6.0558,5.2389,2000,25.83,0.0000,0.2438,
opt-aco,hot,4,0.006128,0.005049,0.176021,1,0.824534,0.828113,0.824534,0.006128,0,7.2863,7.2116,2000,26.37,0.0000,0.2534,
opt-aco,hot,5,0.006111,0.004686,0.233249,1,0.853000,0.825949,0.853000,0.006111,0,5.8717,6.3892,2000,27.69,0.0000,0.2647,
opt-aco,hot,6,0.005818,0.004787,0.177090,1,0.874481,0.898003,0.874481,0.005818,0,6.3701,5.7422,2000,25.93,0.0000,0.2589,
opt-aco,hot,7,0.006026,0.004821,0.199927,1,0.830188,0.855667,0.830188,0.006026,0,6.7095,6.1857,2000,24.09,0.0000,0.6336,
opt-aco,hot,8,0.006408,0.005005,0.218840,1,0.867871,0.889540,0.867871,0.006408,0,5.8663,5.3638,2000,25.56,0.0000,0.2432,
opt-aco,hot,9,0.005719,0.004774,0.165186,1,0.875211,0.854276,0.875211,0.005719,0,5.4878,5.9303,2000,24.87,0.0000,0.2826,
opt-gd,hot,0,0.006113,0.003488,0.429468,1,0.835445,0.748277,0.835445,0.006113,0,6.5834,8.1425,2000,26.08,0.0000,0.1618,
opt-gd,hot,1,0.005830,0.004420,0.241910,1,0.830070,0.840109,0.830070,0.005830,0,6.6558,6.4562,2000,26.87,0.0000,0.2396,
opt-gd,hot,2,0.005970,0.003876,0.350750,1,0.798067,0.844025,0.798067,0.005970,0,7.0483,6.1946,2000,28.29,0.0000,0.2805,
opt-gd,hot,3,0.006025,0.003226,0.464536,1,0.874722,0.887076,0.874722,0.006025,0,6.0558,5.7495,2000,26.78,0.0000,0.2438,
opt-gd,hot,4,0.006128,0.003380,0.448431,1,0.824534,0.895012,0.824534,0.006128,0,7.2863,5.6362,2000,26.61,0.0000,0.2534,
