arm,init,seed,budget,cv_mse,r2,r2_0,heuristic_r2,seconds
scipy-powell,hot,4,2000,0.004546,0.890395,0.824534,0.824534,25.05
scipy-powell,hot,5,125,0.005793,0.852682,0.853000,0.853000,1.57
scipy-powell,hot,5,250,0.005640,0.854773,0.853000,0.853000,3.38
scipy-powell,hot,5,500,0.005423,0.856025,0.853000,0.853000,6.41
scipy-powell,hot,5,1000,0.005246,0.851554,0.853000,0.853000,13.21
scipy-powell,hot,5,2000,0.004737,0.854238,0.853000,0.853000,26.26
scipy-powell,hot,6,125,0.005818,0.874481,0.874481,0.874481,1.83
scipy-powell,hot,6,250,0.005805,0.875446,0.874481,0.874481,3.53
scipy-powell,hot,6,500,0.005794,0.890905,0.874481,0.874481,6.87
scipy-powell,hot,6,1000,0.005414,0.904688,0.874481,0.874481,13.23
scipy-powell,hot,6,2000,0.004888,0.889646,0.874481,0.874481,26.24
scipy-powell,hot,7,125,0.005786,0.827365,0.830188,0.830188,1.60
scipy-powell,hot,7,250,0.005786,0.827365,0.830188,0.830188,3.22
scipy-powell,hot,7,500,0.005786,0.827365,0.830188,0.830188,6.51
scipy-powell,hot,7,1000,0.004946,0.858887,0.830188,0.830188,13.27
scipy-powell,hot,7,2000,0.004893,0.871897,0.830188,0.830188,26.38
scipy-powell,hot,8,125,0.006320,0.865278,0.867871,0.867871,1.55
scipy-powell,hot,8,250,0.005984,0.871713,0.867871,0.867871,3.06
scipy-powell,hot,8,500,0.005762,0.875598,0.867871,0.867871,6.27
scipy-powell,hot,8,1000,0.004954,0.883920,0.867871,0.867871,12.80
scipy-powell,hot,8,2000,0.004269,0.901536,0.867871,0.867871,26.09
scipy-powell,hot,9,125,0.005228,0.871308,0.875211,0.875211,1.68
scipy-powell,hot,9,250,0.004903,0.878839,0.875211,0.875211,3.32
scipy-powell,hot,9,500,0.004901,0.879103,0.875211,0.875211,6.44
scipy-powell,hot,9,1000,0.004598,0.884593,0.875211,0.875211,12.59
scipy-powell,hot,9,2000,0.004598,0.884593,0.875211,0.875211,25.59
scipy-de,hot,0,125,0.005515,0.882267,0.835445,0.835445,1.67
scipy-de,hot,0,250,0.005515,0.882267,0.835445,0.835445,3.26
scipy-de,hot,0,500,0.005383,0.860605,0.835445,0.835445,6.41
scipy-de,hot,0,1000,0.005373,0.861064,0.835445,0.835445,12.60
scipy-de,hot,0,2000,0.005295,0.885884,0.835445,0.835445,24.54
scipy-de,hot,1,125,0.005160,0.845755,0.830070,0.830070,1.49
scipy-de,hot,1,250,0.005101,0.847748,0.830070,0.830070,2.95
scipy-de,hot,1,500,0.005101,0.847748,0.830070,0.830070,5.85
scipy-de,hot,1,1000,0.005065,0.871265,0.830070,0.830070,11.73
scipy-de,hot,1,2000,0.004925,0.850974,0.830070,0.830070,23.62
scipy-de,hot,2,125,0.005532,0.849656,0.798067,0.798067,1.66
scipy-de,hot,2,250,0.005313,0.815873,0.798067,0.798067,3.16
scipy-de,hot,2,500,0.005313,0.815873,0.798067,0.798067,6.21
scipy-de,hot,2,1000,0.005313,0.815873,0.798067,0.798067,12.27
scipy-de,hot,2,2000,0.005224,0.841980,0.798067,0.798067,24.22
scipy-de,hot,3,125,0.005448,0.870715,0.874722,0.874722,1.64
scipy-de,hot,3,250,0.005448,0.870715,0.874722,0.874722,3.17
scipy-de,hot,3,500,0.005303,0.873041,0.874722,0.874722,6.32
scipy-de,hot,3,1000,0.005278,0.901596,0.874722,0.874722,12.40
scipy-de,hot,3,2000,0.005278,0.901596,0.874722,0.874722,24.55
scipy-de,hot,4,125,0.005431,0.866083,0.824534,0.824534,1.55
scipy-de,hot,4,250,0.005431,0.866083,0.824534,0.824534,3.10
scipy-de,hot,4,500,0.005418,0.842305,0.824534,0.824534,5.99
scipy-de,hot,4,1000,0.005166,0.870331,0.824534,0.824534,12.36
scipy-de,hot,4,2000,0.005166,0.870331,0.824534,0.824534,24.36
scipy-de,hot,5,125,0.005395,0.830628,0.853000,0.853000,1.55
scipy-de,hot,5,250,0.005395,0.830628,0.853000,0.853000,3.15
scipy-de,hot,5,500,0.005270,0.839775,0.853000,0.853000,6.24
scipy-de,hot,5,1000,0.005270,0.839775,0.853000,0.853000,12.29
scipy-de,hot,5,2000,0.005218,0.824805,0.853000,0.853000,25.14
scipy-de,hot,6,125,0.005412,0.892890,0.874481,0.874481,1.57
scipy-de,hot,6,250,0.005412,0.892890,0.874481,0.874481,3.13
scipy-de,hot,6,500,0.005390,0.880551,0.874481,0.874481,6.33
scipy-de,hot,6,1000,0.005390,0.880551,0.874481,0.874481,12.80
scipy-de,hot,6,2000,0.005390,0.880551,0.874481,0.874481,26.10
scipy-de,hot,7,125,0.005555,0.865983,0.830188,0.830188,1.76
scipy-de,hot,7,250,0.005390,0.869888,0.830188,0.830188,3.57
scipy-de,hot,7,500,0.005390,0.869888,0.830188,0.830188,6.74
scipy-de,hot,7,1000,0.005217,0.889409,0.830188,0.830188,12.55
scipy-de,hot,7,2000,0.005217,0.889409,0.830188,0.830188,25.06
scipy-de,hot,8,125,0.005671,0.865288,0.867871,0.867871,1.57
