family,n,seed,flat_k,flat_ari_per_level,flat_pou_max,flat_pou_mean,ms_granularities,ms_ari_per_level,ms_pou_max,ms_pou_mean
single_scale,500,1,3,[0.48074921956295524],1.1102230246251565e-16,8.881784197001253e-17,[5],[1.0],2.220446049250313e-16,8.881784197001253e-17
single_scale,500,2,3,[0.48074921956295524],0.0,0.0,[5],[1.0],1.1102230246251565e-16,4.4408920985006264e-17
single_scale,500,3,3,[0.6134779240898528],0.0,0.0,"[5, 2]",[1.0],1.1102230246251565e-16,1.1102230246251566e-17
single_scale,500,4,5,[1.0],2.220446049250313e-16,1.1102230246251565e-16,[5],[1.0],2.220446049250313e-16,1.1102230246251565e-16
single_scale,500,5,3,[0.48074921956295524],0.0,0.0,[5],[1.0],2.220446049250313e-16,4.4408920985006264e-17
single_scale,500,6,3,[0.6134779240898528],1.1102230246251565e-16,8.881784197001253e-17,"[5, 2]",[1.0],2.220446049250313e-16,6.66133814775094e-17
single_scale,500,7,2,[0.3731155778894472],0.0,0.0,"[5, 2]",[1.0],0.0,0.0
single_scale,500,8,2,[0.3731155778894472],1.1102230246251565e-16,1.1102230246251565e-16,"[5, 2]",[1.0],1.1102230246251565e-16,5.551115123125783e-17
single_scale,500,9,3,[0.6134779240898528],0.0,0.0,"[5, 2]",[1.0],2.220446049250313e-16,8.881784197001253e-17
single_scale,1000,0,2,[0.37406015037593987],0.0,0.0,"[5, 2]",[1.0],1.1102230246251565e-16,4.4408920985006264e-17
single_scale,1000,1,2,[0.37406015037593987],1.1102230246251565e-16,1.1102230246251565e-16,"[5, 2]",[1.0],2.220446049250313e-16,9.992007221626409e-17
single_scale,1000,2,3,[0.4817568735950199],0.0,0.0,[5],[1.0],2.220446049250313e-16,8.881784197001253e-17
single_scale,1000,3,2,[0.37406015037593987],0.0,0.0,"[45, 5, 2]",[1.0],4.440892098500626e-16,5.451195050909518e-17
single_scale,1000,4,3,[0.4817568735950199],2.220446049250313e-16,1.1102230246251565e-16,[5],[1.0],2.220446049250313e-16,4.4408920985006264e-17
single_scale,1000,5,2,[0.37406015037593987],0.0,0.0,"[5, 2]",[1.0],1.1102230246251565e-16,1.1102230246251566e-17
single_scale,1000,6,3,[0.6144345812427634],1.1102230246251565e-16,8.881784197001253e-17,"[5, 2]",[1.0],2.220446049250313e-16,5.551115123125783e-17
single_scale,1000,7,3,[0.4817568735950199],0.0,0.0,[5],[1.0],2.220446049250313e-16,4.4408920985006264e-17
single_scale,1000,8,3,[0.4817568735950199],0.0,0.0,[5],[1.0],2.220446049250313e-16,4.4408920985006264e-17
single_scale,1000,9,3,[0.6144345812427634],0.0,0.0,"[5, 2]",[1.0],2.220446049250313e-16,3.3306690738754695e-17
single_scale,2000,0,3,[0.4822584822584823],2.220446049250313e-16,1.1102230246251565e-16,[5],[1.0],0.0,0.0
single_scale,2000,1,3,[0.61491042188403],0.0,0.0,"[5, 2]",[1.0],2.220446049250313e-16,3.33066907387547e-17
single_scale,2000,2,2,[0.37453066332916146],1.1102230246251565e-16,1.1102230246251565e-16,"[5, 2]",[1.0],1.1102230246251565e-16,6.661338147750939e-17
single_scale,2000,3,3,[0.4822584822584823],0.0,0.0,[5],[1.0],1.1102230246251565e-16,2.2204460492503132e-17
single_scale,2000,4,2,[0.37453066332916146],0.0,0.0,"[5, 2]",[1.0],0.0,0.0
single_scale,2000,5,2,[0.37453066332916146],0.0,0.0,"[5, 2]",[1.0],2.220446049250313e-16,2.2204460492503132e-17
single_scale,2000,6,2,[0.37453066332916146],0.0,0.0,"[5, 2]",[1.0],2.220446049250313e-16,4.4408920985006264e-17
single_scale,2000,7,3,[0.61491042188403],0.0,0.0,"[5, 2]",[1.0],1.1102230246251565e-16,4.4408920985006264e-17
single_scale,2000,8,3,[0.61491042188403],0.0,0.0,"[5, 2]",[1.0],1.1102230246251565e-16,1.1102230246251566e-17
single_scale,2000,9,3,[0.4822584822584823],1.1102230246251565e-16,2.2204460492503132e-17,[5],[1.0],2.220446049250313e-16,8.881784197001253e-17
single_scale,5000,0,2,[0.3748124062031016],0.0,0.0,"[5, 2]",[1.0],0.0,0.0
single_scale,5000,1,2,[0.3748124062031016],1.1102230246251565e-16,1.1102230246251565e-16,"[5, 2]",[1.0],1.1102230246251565e-16,8.881784197001253e-17
single_scale,5000,2,3,[0.6151951350935263],0.0,0.0,"[5, 2]",[1.0],2.220446049250313e-16,4.4408920985006264e-17
single_scale,5000,3,2,[0.3748124062031016],0.0,0.0,"[5, 2]",[1.0],1.1102230246251565e-16,2.2204460492503132e-17
single_scale,5000,4,3,[0.48255874133112514],0.0,0.0,[5],[1.0],1.1102230246251565e-16,2.2204460492503132e-17
single_scale,5000,5,3,[0.48255874133112514],1.1102230246251565e-16,2.2204460492503132e-17,[5],[1.0],1.1102230246251565e-16,4.4408920985006264e-17
single_scale,5000,6,3,[0.48255874133112514],2.220446049250313e-16,4.4408920985006264e-17,[5],[1.0],1.1102230246251565e-16,2.2204460492503132e-17
single_scale,5000,7,2,[0.3748124062031016],0.0,0.0,"[5, 2]",[1.0],2.220446049250313e-16,2.2204460492503132e-17
single_scale,5000,8,3,[0.48255874133112514],1.1102230246251565e-16,2.2204460492503132e-17,[5],[1.0],2.220446049250313e-16,8.881784197001253e-17
single_scale,5000,9,3,[0.6151951350935263],0.0,0.0,"[5, 2]",[1.0],2.220446049250313e-16,6.661338147750939e-17
many_scale,100,0,2,"[0.23869578591202706, 0.49355432780847147, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",0.0,0.0
many_scale,100,1,2,"[0.23869578591202706, 0.49355432780847147, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",0.0,0.0
many_scale,100,2,2,"[0.23869578591202706, 0.49355432780847147, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",0.0,0.0
many_scale,100,3,2,"[0.23869578591202706, 0.49355432780847147, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",1.1102230246251565e-16,1.4802973661668754e-17
many_scale,100,4,2,"[0.23869578591202706, 0.49355432780847147, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",1.1102230246251565e-16,8.881784197001253e-18
many_scale,100,5,2,"[0.23869578591202706, 0.49355432780847147, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",0.0,0.0
many_scale,100,6,2,"[0.23869578591202706, 0.49355432780847147, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",0.0,0.0
many_scale,100,7,2,"[0.23869578591202706, 0.49355432780847147, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",0.0,0.0
many_scale,100,8,2,"[0.23869578591202706, 0.49355432780847147, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",1.1102230246251565e-16,8.881784197001253e-18
many_scale,100,9,2,"[0.23869578591202706, 0.49355432780847147, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",1.1102230246251565e-16,1.0362081563168128e-17
many_scale,250,0,2,"[0.24477713342877247, 0.49701847093615165, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",0.0,0.0
many_scale,250,1,2,"[0.24477713342877247, 0.49701847093615165, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",1.1102230246251565e-16,9.177843670234627e-18
many_scale,250,2,2,"[0.24477713342877247, 0.49701847093615165, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",0.0,0.0
many_scale,250,3,2,"[0.24477713342877247, 0.49701847093615165, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",0.0,0.0
many_scale,250,4,2,"[0.24477713342877247, 0.49701847093615165, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",1.1102230246251565e-16,9.177843670234627e-18
many_scale,250,5,2,"[0.24477713342877247, 0.49701847093615165, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",0.0,0.0
many_scale,250,6,2,"[0.24477713342877247, 0.49701847093615165, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",1.1102230246251565e-16,9.177843670234627e-18
many_scale,250,7,2,"[0.24477713342877247, 0.49701847093615165, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",1.1102230246251565e-16,9.177843670234627e-18
many_scale,250,8,2,"[0.24477713342877247, 0.49701847093615165, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",0.0,0.0
many_scale,250,9,2,"[0.24477713342877247, 0.49701847093615165, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",0.0,0.0
many_scale,500,0,2,"[0.2474452349257801, 0.4985408443004494, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",0.0,0.0
many_scale,500,1,2,"[0.2474452349257801, 0.4985408443004494, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",0.0,0.0
many_scale,500,2,2,"[0.2474452349257801, 0.4985408443004494, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",0.0,0.0
many_scale,500,3,2,"[0.2474452349257801, 0.4985408443004494, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",0.0,0.0
many_scale,500,4,2,"[0.2474452349257801, 0.4985408443004494, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",1.1102230246251565e-16,1.865174681370263e-17
many_scale,500,5,2,"[0.2474452349257801, 0.4985408443004494, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",0.0,0.0
many_scale,500,6,2,"[0.2474452349257801, 0.4985408443004494, 1.0]",0.0,0.0,"[8, 4, 2]","[1.0, 1.0, 1.0]",0.0,0.0
