family,n,seed,flat_k,flat_ari_per_level,flat_pou_max,flat_pou_mean,ms_granularities,ms_ari_per_level,ms_pou_max,ms_pou_mean
log_separated,2000,1,3,[0.982051353032952],0.0,0.0,[3],[0.982051353032952],0.0,0.0
log_separated,2000,2,3,[0.9970045105157064],0.0,0.0,[3],[0.9970045105157064],0.0,0.0
log_separated,2000,3,3,[0.9985011274427],2.220446049250313e-16,1.1085576900882189e-16,[3],[0.9985011274427],2.220446049250313e-16,1.1085576900882189e-16
log_separated,2000,4,3,[0.9940011449332934],0.0,0.0,[3],[0.9940011449332934],0.0,0.0
log_separated,2000,5,3,[1.0],0.0,0.0,[3],[1.0],0.0,0.0
log_separated,2000,6,3,[0.9895102548218281],0.0,0.0,[3],[0.9895102548218281],0.0,0.0
log_separated,2000,7,3,[0.9954988812135157],0.0,0.0,[3],[0.9954988812135157],0.0,0.0
log_separated,2000,8,3,[0.9910214988399823],1.1102230246251565e-16,5.551115123125783e-20,[3],[0.9910214988399823],1.1102230246251565e-16,5.551115123125783e-20
log_separated,2000,9,3,[0.9955101525888608],1.1102230246251565e-16,3.713696017371149e-17,[3],[0.9955101525888608],1.1102230246251565e-16,3.713696017371149e-17
log_separated,5000,0,5,[0.9925136564614422],2.220446049250313e-16,1.3322676295501877e-19,[5],[0.9925136564614422],2.220446049250313e-16,1.3322676295501877e-19
log_separated,5000,1,4,[0.9868452666452728],1.1102230246251565e-16,3.6992631180510216e-17,[4],[0.9868452666452728],1.1102230246251565e-16,3.6992631180510216e-17
log_separated,5000,2,3,[0.9886255830704507],1.1102230246251565e-16,3.657074643115266e-17,[3],[0.9886255830704507],1.1102230246251565e-16,3.657074643115266e-17
log_separated,5000,3,3,[0.9928045434407125],2.220446049250313e-16,7.407408020299045e-17,[3],[0.9928045434407125],2.220446049250313e-16,7.407408020299045e-17
log_separated,5000,4,4,[0.9958028302472776],1.1102230246251565e-16,7.389644451905042e-17,[4],[0.9958028302472776],1.1102230246251565e-16,7.389644451905042e-17
log_separated,5000,5,3,[0.9856257462025345],2.220446049250313e-16,3.681499549657019e-17,[3],[0.9856257462025345],2.220446049250313e-16,3.681499549657019e-17
log_separated,5000,6,4,[0.9949127228372585],2.220446049250313e-16,8.881784197001253e-20,[4],[0.9949127228372585],2.220446049250313e-16,8.881784197001253e-20
log_separated,5000,7,5,[0.9898102023871123],2.220446049250313e-16,3.6970426720017715e-17,[5],[0.9898102023871123],2.220446049250313e-16,3.6970426720017715e-17
log_separated,5000,8,4,[0.9883213517247007],1.1102230246251565e-16,2.2204460492503132e-20,[4],[0.9883213517247007],1.1102230246251565e-16,2.2204460492503132e-20
