arm,init,seed,budget,obj,acc,acc_0,heuristic_acc,seconds
opt-gd,hot,3,500,0.001205,0.999771,0.999708,0.999708,15.946
opt-gd,hot,3,1000,0.000639,0.999833,0.999708,0.999708,31.796
opt-gd,hot,3,2000,0.000602,0.999833,0.999708,0.999708,62.622
none,hot,4,125,0.015801,0.998833,0.998833,0.998833,0.030
none,hot,4,250,0.015801,0.998833,0.998833,0.998833,0.030
none,hot,4,500,0.015801,0.998833,0.998833,0.998833,0.030
none,hot,4,1000,0.015801,0.998833,0.998833,0.998833,0.030
none,hot,4,2000,0.015801,0.998833,0.998833,0.998833,0.030
scipy-lbfgsb,hot,4,125,0.006511,0.999729,0.998833,0.998833,3.885
scipy-lbfgsb,hot,4,250,0.006457,0.999750,0.998833,0.998833,7.840
scipy-lbfgsb,hot,4,500,0.005499,0.999854,0.998833,0.998833,15.694
scipy-lbfgsb,hot,4,1000,0.002463,0.999833,0.998833,0.998833,31.369
scipy-lbfgsb,hot,4,2000,0.001495,0.999812,0.998833,0.998833,63.076
scipy-powell,hot,4,125,0.015801,0.998833,0.998833,0.998833,3.832
scipy-powell,hot,4,250,0.003023,0.999500,0.998833,0.998833,7.617
scipy-powell,hot,4,500,0.002280,0.999667,0.998833,0.998833,15.206
scipy-powell,hot,4,1000,0.001252,0.999812,0.998833,0.998833,30.314
scipy-powell,hot,4,2000,0.001144,0.999812,0.998833,0.998833,59.990
scipy-de,hot,4,125,0.015801,0.998833,0.998833,0.998833,2.479
scipy-de,hot,4,250,0.015801,0.998833,0.998833,0.998833,4.823
scipy-de,hot,4,500,0.015801,0.998833,0.998833,0.998833,9.539
scipy-de,hot,4,1000,0.015801,0.998833,0.998833,0.998833,18.986
scipy-de,hot,4,2000,0.015801,0.998833,0.998833,0.998833,37.470
opt-ga,hot,4,125,0.015801,0.998833,0.998833,0.998833,2.332
opt-ga,hot,4,250,0.015801,0.998833,0.998833,0.998833,4.611
opt-ga,hot,4,500,0.015801,0.998833,0.998833,0.998833,9.187
opt-ga,hot,4,1000,0.015773,0.999750,0.998833,0.998833,18.701
opt-ga,hot,4,2000,0.012728,0.999812,0.998833,0.998833,38.577
opt-pso,hot,4,125,0.015801,0.998833,0.998833,0.998833,2.318
opt-pso,hot,4,250,0.015801,0.998833,0.998833,0.998833,4.639
opt-pso,hot,4,500,0.015801,0.998833,0.998833,0.998833,9.343
opt-pso,hot,4,1000,0.015801,0.998833,0.998833,0.998833,19.200
opt-pso,hot,4,2000,0.015801,0.998833,0.998833,0.998833,38.358
opt-aco,hot,4,125,0.015801,0.998833,0.998833,0.998833,2.278
opt-aco,hot,4,250,0.015801,0.998833,0.998833,0.998833,4.499
opt-aco,hot,4,500,0.015801,0.998833,0.998833,0.998833,9.064
opt-aco,hot,4,1000,0.015801,0.998833,0.998833,0.998833,18.570
opt-aco,hot,4,2000,0.015801,0.998833,0.998833,0.998833,36.886
opt-gd,hot,4,125,0.006528,0.999750,0.998833,0.998833,3.962
opt-gd,hot,4,250,0.006527,0.999750,0.998833,0.998833,7.910
opt-gd,hot,4,500,0.005538,0.999854,0.998833,0.998833,15.635
opt-gd,hot,4,1000,0.003215,0.999833,0.998833,0.998833,31.209
opt-gd,hot,4,2000,0.002327,0.999812,0.998833,0.998833,61.717
none,hot,5,125,0.011508,0.999583,0.999583,0.999583,0.031
none,hot,5,250,0.011508,0.999583,0.999583,0.999583,0.031
none,hot,5,500,0.011508,0.999583,0.999583,0.999583,0.031
