arm,init,seed,budget,obj,acc,acc_0,heuristic_acc,seconds
scipy-lbfgsb,hot,3,125,0.010180,0.999708,0.999708,0.999708,4.041
scipy-lbfgsb,hot,3,250,0.001738,0.999729,0.999708,0.999708,7.913
scipy-lbfgsb,hot,3,500,0.001137,0.999771,0.999708,0.999708,15.728
scipy-lbfgsb,hot,3,1000,0.000603,0.999833,0.999708,0.999708,31.240
scipy-lbfgsb,hot,3,2000,0.000598,0.999833,0.999708,0.999708,62.271
scipy-powell,hot,3,125,0.001068,0.999792,0.999708,0.999708,3.928
scipy-powell,hot,3,250,0.001068,0.999792,0.999708,0.999708,7.849
scipy-powell,hot,3,500,0.000901,0.999792,0.999708,0.999708,15.627
scipy-powell,hot,3,1000,0.000613,0.999833,0.999708,0.999708,31.278
scipy-powell,hot,3,2000,0.000591,0.999854,0.999708,0.999708,62.644
scipy-de,hot,3,125,0.010282,0.999708,0.999708,0.999708,2.241
scipy-de,hot,3,250,0.010282,0.999708,0.999708,0.999708,4.408
scipy-de,hot,3,500,0.010282,0.999708,0.999708,0.999708,8.746
scipy-de,hot,3,1000,0.010282,0.999708,0.999708,0.999708,17.745
scipy-de,hot,3,2000,0.010282,0.999708,0.999708,0.999708,36.194
opt-ga,hot,3,125,0.010282,0.999708,0.999708,0.999708,2.340
opt-ga,hot,3,250,0.010282,0.999708,0.999708,0.999708,4.687
opt-ga,hot,3,500,0.004931,0.999771,0.999708,0.999708,10.604
opt-ga,hot,3,1000,0.001237,0.999812,0.999708,0.999708,24.821
opt-ga,hot,3,2000,0.000668,0.999833,0.999708,0.999708,54.755
opt-pso,hot,3,125,0.010282,0.999708,0.999708,0.999708,2.374
opt-pso,hot,3,250,0.010282,0.999708,0.999708,0.999708,4.727
opt-pso,hot,3,500,0.010282,0.999708,0.999708,0.999708,9.740
opt-pso,hot,3,1000,0.010282,0.999708,0.999708,0.999708,19.432
opt-pso,hot,3,2000,0.010282,0.999708,0.999708,0.999708,38.056
opt-aco,hot,3,125,0.010282,0.999708,0.999708,0.999708,2.334
opt-aco,hot,3,250,0.010282,0.999708,0.999708,0.999708,4.591
opt-aco,hot,3,500,0.006823,0.997979,0.999708,0.999708,9.347
opt-aco,hot,3,1000,0.006823,0.997979,0.999708,0.999708,19.181
opt-aco,hot,3,2000,0.006309,0.999604,0.999708,0.999708,37.924
opt-gd,hot,3,125,0.010234,0.999708,0.999708,0.999708,3.957
opt-gd,hot,3,250,0.010234,0.999708,0.999708,0.999708,7.860
opt-gd,hot,3,500,0.001205,0.999771,0.999708,0.999708,15.724
opt-gd,hot,3,1000,0.000639,0.999833,0.999708,0.999708,31.365
opt-gd,hot,3,2000,0.000602,0.999833,0.999708,0.999708,62.707
none,hot,4,125,0.015801,0.998833,0.998833,0.998833,0.032
none,hot,4,250,0.015801,0.998833,0.998833,0.998833,0.032
none,hot,4,500,0.015801,0.998833,0.998833,0.998833,0.032
none,hot,4,1000,0.015801,0.998833,0.998833,0.998833,0.032
none,hot,4,2000,0.015801,0.998833,0.998833,0.998833,0.032
scipy-lbfgsb,hot,4,125,0.006511,0.999729,0.998833,0.998833,3.918
scipy-lbfgsb,hot,4,250,0.006457,0.999750,0.998833,0.998833,7.913
scipy-lbfgsb,hot,4,500,0.005499,0.999854,0.998833,0.998833,15.660
scipy-lbfgsb,hot,4,1000,0.002463,0.999833,0.998833,0.998833,31.053
scipy-lbfgsb,hot,4,2000,0.001495,0.999812,0.998833,0.998833,62.097
scipy-powell,hot,4,125,0.015801,0.998833,0.998833,0.998833,3.878
scipy-powell,hot,4,250,0.003023,0.999500,0.998833,0.998833,7.754
scipy-powell,hot,4,500,0.002280,0.999667,0.998833,0.998833,15.476
scipy-powell,hot,4,1000,0.001252,0.999812,0.998833,0.998833,31.294
scipy-powell,hot,4,2000,0.001144,0.999812,0.998833,0.998833,61.990
scipy-de,hot,4,125,0.015801,0.998833,0.998833,0.998833,2.391
scipy-de,hot,4,250,0.015801,0.998833,0.998833,0.998833,4.649
scipy-de,hot,4,500,0.015801,0.998833,0.998833,0.998833,9.147
scipy-de,hot,4,1000,0.015801,0.998833,0.998833,0.998833,18.083
scipy-de,hot,4,2000,0.015801,0.998833,0.998833,0.998833,37.413
opt-ga,hot,4,125,0.015801,0.998833,0.998833,0.998833,2.313
opt-ga,hot,4,250,0.015801,0.998833,0.998833,0.998833,4.639
opt-ga,hot,4,500,0.015801,0.998833,0.998833,0.998833,9.358
opt-ga,hot,4,1000,0.015773,0.999750,0.998833,0.998833,19.185
opt-ga,hot,4,2000,0.012728,0.999812,0.998833,0.998833,40.065
opt-pso,hot,4,125,0.015801,0.998833,0.998833,0.998833,2.512
opt-pso,hot,4,250,0.015801,0.998833,0.998833,0.998833,4.970
opt-pso,hot,4,500,0.015801,0.998833,0.998833,0.998833,9.928
opt-pso,hot,4,1000,0.015801,0.998833,0.998833,0.998833,19.465
opt-pso,hot,4,2000,0.015801,0.998833,0.998833,0.998833,38.457
opt-aco,hot,4,125,0.015801,0.998833,0.998833,0.998833,2.518
opt-aco,hot,4,250,0.015801,0.998833,0.998833,0.998833,4.943
opt-aco,hot,4,500,0.015801,0.998833,0.998833,0.998833,9.662
opt-aco,hot,4,1000,0.015801,0.998833,0.998833,0.998833,19.361
opt-aco,hot,4,2000,0.015801,0.998833,0.998833,0.998833,38.208
opt-gd,hot,4,125,0.006528,0.999750,0.998833,0.998833,3.850
opt-gd,hot,4,250,0.006527,0.999750,0.998833,0.998833,7.646
opt-gd,hot,4,500,0.005538,0.999854,0.998833,0.998833,15.362
opt-gd,hot,4,1000,0.003215,0.999833,0.998833,0.998833,31.265
opt-gd,hot,4,2000,0.002327,0.999812,0.998833,0.998833,62.257
none,cold,0,125,13.094357,0.228313,0.228313,0.999771,0.019
none,cold,0,250,13.094357,0.228313,0.228313,0.999771,0.019
none,cold,0,500,13.094357,0.228313,0.228313,0.999771,0.019
none,cold,0,1000,13.094357,0.228313,0.228313,0.999771,0.019
none,cold,0,2000,13.094357,0.228313,0.228313,0.999771,0.019
scipy-lbfgsb,cold,0,125,11.805187,0.572792,0.228313,0.999771,2.451
scipy-lbfgsb,cold,0,250,11.805187,0.572792,0.228313,0.999771,5.258
scipy-lbfgsb,cold,0,500,11.805180,0.572792,0.228313,0.999771,10.700
scipy-lbfgsb,cold,0,1000,11.679448,0.572792,0.228313,0.999771,20.120
scipy-lbfgsb,cold,0,2000,0.343022,0.853417,0.228313,0.999771,39.637
scipy-powell,cold,0,125,3.591965,0.550958,0.228313,0.999771,2.264
scipy-powell,cold,0,250,2.603841,0.893958,0.228313,0.999771,4.529
scipy-powell,cold,0,500,0.134329,0.942250,0.228313,0.999771,9.000
scipy-powell,cold,0,1000,0.090201,0.977146,0.228313,0.999771,18.152
scipy-powell,cold,0,2000,0.006658,0.999625,0.228313,0.999771,35.834
scipy-de,cold,0,125,0.240392,0.914708,0.228313,0.999771,2.314
scipy-de,cold,0,250,0.240392,0.914708,0.228313,0.999771,4.579
scipy-de,cold,0,500,0.085431,0.989208,0.228313,0.999771,9.446
scipy-de,cold,0,1000,0.041236,0.988417,0.228313,0.999771,19.003
scipy-de,cold,0,2000,0.041236,0.988417,0.228313,0.999771,37.028
opt-ga,cold,0,125,0.081948,0.987313,0.228313,0.999771,2.322
opt-ga,cold,0,250,0.052679,0.987542,0.228313,0.999771,4.736
opt-ga,cold,0,500,0.033198,0.989875,0.228313,0.999771,9.604
opt-ga,cold,0,1000,0.011557,0.999771,0.228313,0.999771,19.262
opt-ga,cold,0,2000,0.006211,0.999812,0.228313,0.999771,39.210
opt-pso,cold,0,125,0.091306,0.992271,0.228313,0.999771,2.304
opt-pso,cold,0,250,0.091306,0.992271,0.228313,0.999771,4.648
opt-pso,cold,0,500,0.091306,0.992271,0.228313,0.999771,9.504
opt-pso,cold,0,1000,0.091306,0.992271,0.228313,0.999771,18.576
opt-pso,cold,0,2000,0.091306,0.992271,0.228313,0.999771,36.960
opt-aco,cold,0,125,0.091306,0.992271,0.228313,0.999771,2.329
opt-aco,cold,0,250,0.084136,0.988229,0.228313,0.999771,4.671
opt-aco,cold,0,500,0.076145,0.970208,0.228313,0.999771,9.225
opt-aco,cold,0,1000,0.012972,0.998563,0.228313,0.999771,18.002
opt-aco,cold,0,2000,0.008434,0.999313,0.228313,0.999771,35.619
opt-gd,cold,0,125,11.805187,0.572792,0.228313,0.999771,2.404
opt-gd,cold,0,250,11.805186,0.572792,0.228313,0.999771,5.073
opt-gd,cold,0,500,11.805180,0.572792,0.228313,0.999771,10.504
opt-gd,cold,0,1000,11.681936,0.572792,0.228313,0.999771,20.145
opt-gd,cold,0,2000,11.324578,0.572792,0.228313,0.999771,38.047
none,cold,1,125,15.834268,0.427208,0.427208,0.999854,0.017
none,cold,1,250,15.834268,0.427208,0.427208,0.999854,0.017
none,cold,1,500,15.834268,0.427208,0.427208,0.999854,0.017
none,cold,1,1000,15.834268,0.427208,0.427208,0.999854,0.017
none,cold,1,2000,15.834268,0.427208,0.427208,0.999854,0.017
scipy-lbfgsb,cold,1,125,15.827409,0.427208,0.427208,0.999854,2.207
scipy-lbfgsb,cold,1,250,15.827409,0.427208,0.427208,0.999854,4.314
scipy-lbfgsb,cold,1,500,15.827408,0.427208,0.427208,0.999854,8.431
scipy-lbfgsb,cold,1,1000,15.827399,0.427208,0.427208,0.999854,17.133
scipy-lbfgsb,cold,1,2000,15.827396,0.427208,0.427208,0.999854,24.318
scipy-powell,cold,1,125,15.827977,0.427208,0.427208,0.999854,2.203
scipy-powell,cold,1,250,15.827973,0.427208,0.427208,0.999854,4.352
scipy-powell,cold,1,500,15.827973,0.427208,0.427208,0.999854,8.534
scipy-powell,cold,1,1000,15.827973,0.427208,0.427208,0.999854,17.003
scipy-powell,cold,1,2000,15.827970,0.427208,0.427208,0.999854,34.931
scipy-de,cold,1,125,0.047594,0.999729,0.427208,0.999854,2.284
scipy-de,cold,1,250,0.047594,0.999729,0.427208,0.999854,4.545
scipy-de,cold,1,500,0.047594,0.999729,0.427208,0.999854,8.984
scipy-de,cold,1,1000,0.047594,0.999729,0.427208,0.999854,17.621
scipy-de,cold,1,2000,0.034231,0.995354,0.427208,0.999854,35.916
opt-ga,cold,1,125,0.051852,0.980729,0.427208,0.999854,2.252
opt-ga,cold,1,250,0.020062,0.996313,0.427208,0.999854,4.420
opt-ga,cold,1,500,0.013087,0.999833,0.427208,0.999854,8.962
opt-ga,cold,1,1000,0.008761,0.999792,0.427208,0.999854,17.925
opt-ga,cold,1,2000,0.006310,0.999812,0.427208,0.999854,36.212
opt-pso,cold,1,125,0.051852,0.980729,0.427208,0.999854,2.272
opt-pso,cold,1,250,0.051852,0.980729,0.427208,0.999854,4.445
opt-pso,cold,1,500,0.051852,0.980729,0.427208,0.999854,8.890
opt-pso,cold,1,1000,0.051852,0.980729,0.427208,0.999854,17.414
opt-pso,cold,1,2000,0.051852,0.980729,0.427208,0.999854,35.466
opt-aco,cold,1,125,0.051852,0.980729,0.427208,0.999854,2.142
opt-aco,cold,1,250,0.051852,0.980729,0.427208,0.999854,4.335
opt-aco,cold,1,500,0.051852,0.980729,0.427208,0.999854,8.678
opt-aco,cold,1,1000,0.026215,0.997708,0.427208,0.999854,17.409
opt-aco,cold,1,2000,0.009982,0.999521,0.427208,0.999854,34.915
opt-gd,cold,1,125,15.827409,0.427208,0.427208,0.999854,2.341
opt-gd,cold,1,250,15.827409,0.427208,0.427208,0.999854,4.497
opt-gd,cold,1,500,15.827408,0.427208,0.427208,0.999854,8.784
opt-gd,cold,1,1000,15.827399,0.427208,0.427208,0.999854,17.622
opt-gd,cold,1,2000,15.827396,0.427208,0.427208,0.999854,24.803
none,cold,2,125,1.077257,0.393375,0.393375,0.999250,0.020
none,cold,2,250,1.077257,0.393375,0.393375,0.999250,0.020
none,cold,2,500,1.077257,0.393375,0.393375,0.999250,0.020
none,cold,2,1000,1.077257,0.393375,0.393375,0.999250,0.020
none,cold,2,2000,1.077257,0.393375,0.393375,0.999250,0.020
scipy-lbfgsb,cold,2,125,0.309128,0.954708,0.393375,0.999250,2.349
scipy-lbfgsb,cold,2,250,0.296964,0.963396,0.393375,0.999250,4.795
scipy-lbfgsb,cold,2,500,0.251824,0.987667,0.393375,0.999250,10.149
scipy-lbfgsb,cold,2,1000,0.173985,0.971938,0.393375,0.999250,20.023
scipy-lbfgsb,cold,2,2000,0.164574,0.984062,0.393375,0.999250,40.901
scipy-powell,cold,2,125,0.090694,0.995958,0.393375,0.999250,2.394
scipy-powell,cold,2,250,0.034134,0.996062,0.393375,0.999250,4.742
scipy-powell,cold,2,500,0.022775,0.996021,0.393375,0.999250,9.502
scipy-powell,cold,2,1000,0.016483,0.996229,0.393375,0.999250,19.301
scipy-powell,cold,2,2000,0.003626,0.999833,0.393375,0.999250,38.223
scipy-de,cold,2,125,0.040511,0.994104,0.393375,0.999250,2.270
scipy-de,cold,2,250,0.040511,0.994104,0.393375,0.999250,4.535
scipy-de,cold,2,500,0.040511,0.994104,0.393375,0.999250,9.032
scipy-de,cold,2,1000,0.040511,0.994104,0.393375,0.999250,18.129
scipy-de,cold,2,2000,0.008990,0.999792,0.393375,0.999250,37.311
opt-ga,cold,2,125,0.182229,0.990396,0.393375,0.999250,2.246
opt-ga,cold,2,250,0.138467,0.943937,0.393375,0.999250,4.477
opt-ga,cold,2,500,0.034104,0.993500,0.393375,0.999250,8.836
opt-ga,cold,2,1000,0.027195,0.994500,0.393375,0.999250,17.453
opt-ga,cold,2,2000,0.009953,0.999292,0.393375,0.999250,35.273
opt-pso,cold,2,125,0.186772,0.987292,0.393375,0.999250,2.261
