arm,init,seed,n_train,n_params,n_mfs,obj_0,obj,improvement,beat_start,acc_0,acc,heuristic_acc,heuristic_obj,evals_to_heuristic,seconds_to_heuristic,evals,seconds,construction_seconds,screen_seconds,init_seconds,error
none,classical-kmeans,1,16000,120,60,0.012884,0.012884,0.000000,0,0.993896,0.993896,0.999854,0.008828,,,0,0.217,0.100837,0.189374,0.041609,
scipy-lbfgsb,classical-kmeans,1,16000,120,60,0.012884,0.001132,0.912123,1,0.993896,0.999854,0.999854,0.008828,122,1.9069,2000,33.180,0.100837,0.189374,0.041609,
scipy-powell,classical-kmeans,1,16000,120,60,0.012884,0.001125,0.912675,1,0.993896,0.999833,0.999854,0.008828,353,5.7808,2000,33.301,0.100837,0.189374,0.041609,
scipy-de,classical-kmeans,1,16000,120,60,0.012884,0.012884,0.000000,0,0.993896,0.993896,0.999854,0.008828,,,0,0.226,0.100837,0.189374,0.041609,ValueError: Some entries in x0 lay outside the specified bounds
opt-ga,classical-kmeans,1,16000,120,60,0.012884,0.012532,0.027335,1,0.993896,0.999146,0.999854,0.008828,,,2000,30.254,0.100837,0.189374,0.041609,
opt-pso,classical-kmeans,1,16000,120,60,0.012884,0.012884,0.000000,0,0.993896,0.993896,0.999854,0.008828,,,2000,29.237,0.100837,0.189374,0.041609,
opt-aco,classical-kmeans,1,16000,120,60,0.012884,0.011254,0.126534,1,0.993896,0.995938,0.999854,0.008828,,,2000,27.668,0.100837,0.189374,0.041609,
opt-gd,classical-kmeans,1,16000,120,60,0.012884,0.001133,0.912097,1,0.993896,0.999854,0.999854,0.008828,122,1.9445,2000,32.327,0.100837,0.189374,0.041609,
none,classical-kmeans,2,16000,120,60,0.026781,0.026781,0.000000,0,0.992708,0.992708,0.999250,0.011620,,,0,0.223,0.129048,0.225441,0.049898,
scipy-lbfgsb,classical-kmeans,2,16000,120,60,0.026781,0.004801,0.820724,1,0.992708,0.999542,0.999250,0.011620,364,6.1859,2000,37.266,0.129048,0.225441,0.049898,
scipy-powell,classical-kmeans,2,16000,120,60,0.026781,0.001246,0.953488,1,0.992708,0.999729,0.999250,0.011620,90,1.5529,2000,33.622,0.129048,0.225441,0.049898,
scipy-de,classical-kmeans,2,16000,120,60,0.026781,0.026781,0.000000,0,0.992708,0.992708,0.999250,0.011620,,,2000,28.375,0.129048,0.225441,0.049898,
opt-ga,classical-kmeans,2,16000,120,60,0.026781,0.014336,0.464684,1,0.992708,0.997917,0.999250,0.011620,,,2000,28.338,0.129048,0.225441,0.049898,
opt-pso,classical-kmeans,2,16000,120,60,0.026781,0.026781,0.000000,0,0.992708,0.992708,0.999250,0.011620,,,2000,28.688,0.129048,0.225441,0.049898,
opt-aco,classical-kmeans,2,16000,120,60,0.026781,0.003453,0.871069,1,0.992708,0.999333,0.999250,0.011620,945,13.2323,2000,28.571,0.129048,0.225441,0.049898,
opt-gd,classical-kmeans,2,16000,120,60,0.026781,0.004190,0.843547,1,0.992708,0.999500,0.999250,0.011620,364,6.1954,2000,36.564,0.129048,0.225441,0.049898,
none,classical-kmeans,3,16000,120,60,0.033540,0.033540,0.000000,0,0.993604,0.993604,0.999708,0.010282,,,0,0.262,0.162364,0.196006,0.093351,
scipy-lbfgsb,classical-kmeans,3,16000,120,60,0.033540,0.010032,0.700908,1,0.993604,0.999125,0.999708,0.010282,1937,34.2003,2000,35.593,0.162364,0.196006,0.093351,
scipy-powell,classical-kmeans,3,16000,120,60,0.033540,0.002857,0.914814,1,0.993604,0.999708,0.999708,0.010282,1545,25.6430,2000,33.505,0.162364,0.196006,0.093351,
scipy-de,classical-kmeans,3,16000,120,60,0.033540,0.033540,0.000000,0,0.993604,0.993604,0.999708,0.010282,,,2000,27.267,0.162364,0.196006,0.093351,
opt-ga,classical-kmeans,3,16000,120,60,0.033540,0.031841,0.050682,1,0.993604,0.995958,0.999708,0.010282,,,2000,29.848,0.162364,0.196006,0.093351,
opt-pso,classical-kmeans,3,16000,120,60,0.033540,0.033540,0.000000,0,0.993604,0.993604,0.999708,0.010282,,,2000,29.180,0.162364,0.196006,0.093351,
opt-aco,classical-kmeans,3,16000,120,60,0.033540,0.003312,0.901250,1,0.993604,0.999479,0.999708,0.010282,1103,15.4810,2000,28.553,0.162364,0.196006,0.093351,
opt-gd,classical-kmeans,3,16000,120,60,0.033540,0.012304,0.633147,1,0.993604,0.999104,0.999708,0.010282,,,2000,34.924,0.162364,0.196006,0.093351,
none,classical-kmeans,4,16000,120,60,0.016339,0.016339,0.000000,0,0.993563,0.993563,0.998833,0.015801,,,0,0.246,0.117069,0.210553,0.046069,
scipy-lbfgsb,classical-kmeans,4,16000,120,60,0.016339,0.001259,0.922926,1,0.993563,0.999833,0.998833,0.015801,122,2.0504,2000,33.183,0.117069,0.210553,0.046069,
scipy-powell,classical-kmeans,4,16000,120,60,0.016339,0.001118,0.931576,1,0.993563,0.999833,0.998833,0.015801,329,5.6303,2000,34.588,0.117069,0.210553,0.046069,
scipy-de,classical-kmeans,4,16000,120,60,0.016339,0.016339,0.000000,0,0.993563,0.993563,0.998833,0.015801,,,2000,27.731,0.117069,0.210553,0.046069,
opt-ga,classical-kmeans,4,16000,120,60,0.016339,0.001481,0.909370,1,0.993563,0.999812,0.998833,0.015801,189,2.6648,2000,32.765,0.117069,0.210553,0.046069,
opt-pso,classical-kmeans,4,16000,120,60,0.016339,0.016339,0.000000,0,0.993563,0.993563,0.998833,0.015801,,,2000,28.125,0.117069,0.210553,0.046069,
opt-aco,classical-kmeans,4,16000,120,60,0.016339,0.008683,0.468604,1,0.993563,0.999188,0.998833,0.015801,1355,19.1780,2000,28.435,0.117069,0.210553,0.046069,
opt-gd,classical-kmeans,4,16000,120,60,0.016339,0.001202,0.926458,1,0.993563,0.999833,0.998833,0.015801,122,2.0822,2000,33.399,0.117069,0.210553,0.046069,
