seed,family,condition,detector,auroc,fpr@95tpr,n_pos,n_neg,feat_ms,fit_ms,score_ms_per_1k,n_mfs
2,FalsePremise,raw,Mahalanobis · stats,0.8164416731289663,0.623229461756374,716,353,1.5434999950230122,1.3952000008430332,0.5039289039171975,
2,FalsePremise,matched,Mahalanobis · stats,0.754017842226603,0.7687861271676301,173,173,1.5434999950230122,1.3952000008430332,1.379768777977826,
2,FalsePremise,raw,IsolationForest · stats,0.786209979900929,0.6062322946175638,716,353,1.5434999950230122,82.40610000211746,5.782974740273387,
2,FalsePremise,matched,IsolationForest · stats,0.7223762905543119,0.8208092485549133,173,173,1.5434999950230122,82.40610000211746,10.138150268218164,
2,FalsePremise,raw,OneClassSVM · centroid,0.8310847167930112,0.5835694050991501,716,353,1161.9651000073645,6.141300007584505,4.83835360729654,
2,FalsePremise,matched,OneClassSVM · centroid,0.8328377159276955,0.6011560693641619,173,173,1161.9651000073645,6.141300007584505,4.603757246766196,
2,FalsePremise,raw,perplexity,0.7120451991707155,0.6458923512747875,716,353,0.0,0.0,0.23620205968827482,
2,FalsePremise,matched,perplexity,0.571753149119583,0.6994219653179191,173,173,0.0,0.0,0.3864161833054844,
2,FalsePremise,raw,mean entropy,0.69135265165303,0.7365439093484419,716,353,0.0,0.0,0.3654817510195864,
2,FalsePremise,matched,mean entropy,0.5595242072905877,0.7456647398843931,173,173,0.0,0.0,0.5708092209920718,
2,FalsePremise,raw,n_tokens (control),0.8346594236156171,0.5325779036827195,716,353,0.0,0.0,0.1777361941648433,
2,FalsePremise,matched,n_tokens (control),0.5,0.9942196531791907,173,173,0.0,0.0,0.3375722592658864,
2,TriviaQA,raw,FIS · centroid (PCA-free),0.5184523450752129,1.0,1974,353,1161.9651000073645,947.8785999963293,0.5891706021466593,30.0
2,TriviaQA,matched,FIS · centroid (PCA-free),0.5150229919187218,1.0,353,353,1161.9651000073645,947.8785999963293,1.311898009723617,30.0
2,TriviaQA,raw,FIS · PCA (64 comp),0.5297636986203076,1.0,1974,353,97.65400001197122,881.0479999956442,0.4713794583319452,23.0
2,TriviaQA,matched,FIS · PCA (64 comp),0.5073068558450834,1.0,353,353,97.65400001197122,881.0479999956442,1.84560906130124,23.0
2,TriviaQA,raw,Mahalanobis · stats,0.644082706917979,0.8923512747875354,1974,353,1.5434999950230122,1.3952000008430332,0.4452084172433014,
2,TriviaQA,matched,Mahalanobis · stats,0.6299705478737491,0.9206798866855525,353,353,1.5434999950230122,1.3952000008430332,0.6372521332301537,
2,TriviaQA,raw,IsolationForest · stats,0.6302341200478745,0.9178470254957507,1974,353,1.5434999950230122,82.40610000211746,5.126214008574219,
2,TriviaQA,matched,IsolationForest · stats,0.5961768411591457,0.9178470254957507,353,353,1.5434999950230122,82.40610000211746,6.670679872500692,
2,TriviaQA,raw,OneClassSVM · centroid,0.5259793749336272,0.9603399433427762,1974,353,1161.9651000073645,6.141300007584505,3.8019767967899236,
2,TriviaQA,matched,OneClassSVM · centroid,0.4931505749985956,0.9603399433427762,353,353,1161.9651000073645,6.141300007584505,4.126770549160942,
2,TriviaQA,raw,perplexity,0.6547052188363742,0.8101983002832861,1974,353,0.0,0.0,0.13730124738323535,
2,TriviaQA,matched,perplexity,0.637706746703689,0.7478753541076487,353,353,0.0,0.0,0.1974504237543401,
2,TriviaQA,raw,mean entropy,0.6568320173588089,0.8356940509915014,1974,353,0.0,0.0,0.08624838860237231,
2,TriviaQA,matched,mean entropy,0.6466386858092112,0.8101983002832861,353,353,0.0,0.0,0.2213880975754462,
2,TriviaQA,raw,n_tokens (control),0.575929720933036,0.9121813031161473,1974,353,0.0,0.0,0.08358401234362148,
2,TriviaQA,matched,n_tokens (control),0.5,0.9830028328611898,353,353,0.0,0.0,0.18073653913744153,
3,FalsePremise,raw,FIS · centroid (PCA-free),0.8661077436814534,0.5552407932011332,716,353,1136.9188999960897,940.134799995576,1.2935453636434113,31.0
3,FalsePremise,matched,FIS · centroid (PCA-free),0.8994904415033687,0.5029239766081871,171,171,1136.9188999960897,940.134799995576,2.6961988092084246,31.0
3,FalsePremise,raw,FIS · PCA (64 comp),0.7109136372988114,0.7082152974504249,716,353,94.47759999602567,1066.262700012885,0.855378851567206,24.0
3,FalsePremise,matched,FIS · PCA (64 comp),0.5580862487603022,0.7719298245614035,171,171,94.47759999602567,1066.262700012885,2.0257309736133884,24.0
3,FalsePremise,raw,Mahalanobis · stats,0.8103209520945764,0.7563739376770539,716,353,0.8288999961223453,1.2202000070828944,0.44134705163228305,
3,FalsePremise,matched,Mahalanobis · stats,0.7350295817516502,0.8888888888888888,171,171,0.8288999961223453,1.2202000070828944,1.0169590639538673,
3,FalsePremise,raw,IsolationForest · stats,0.782154557108266,0.6883852691218131,716,353,0.8288999961223453,98.79709999950137,5.388774546329368,
3,FalsePremise,matched,IsolationForest · stats,0.724564823364454,0.8304093567251462,171,171,0.8288999961223453,98.79709999950137,9.288888901869672,
3,FalsePremise,raw,OneClassSVM · centroid,0.79030892430405,0.5977337110481586,716,353,1136.9188999960897,6.94350000412669,4.000748361533175,
3,FalsePremise,matched,OneClassSVM · centroid,0.7798296911870319,0.5964912280701754,171,171,1136.9188999960897,6.94350000412669,4.779532135121133,
3,FalsePremise,raw,perplexity,0.702921487014734,0.6458923512747875,716,353,0.0,0.0,0.38400373909050917,
3,FalsePremise,matched,perplexity,0.4972812147327383,0.8011695906432749,171,171,0.0,0.0,0.5201754423691646,
3,FalsePremise,raw,mean entropy,0.6787986452909618,0.7507082152974505,716,353,0.0,0.0,0.439850327936049,
3,FalsePremise,matched,mean entropy,0.47590711671967445,0.8187134502923976,171,171,0.0,0.0,0.7125731215169598,
3,FalsePremise,raw,n_tokens (control),0.8203368572649437,0.5269121813031161,716,353,0.0,0.0,0.4000935426471499,
3,FalsePremise,matched,n_tokens (control),0.5,0.9473684210526315,171,171,0.0,0.0,0.5850877067515332,
3,TriviaQA,raw,FIS · centroid (PCA-free),0.47723234915085916,1.0,1974,353,1136.9188999960897,940.134799995576,0.7409110452601991,31.0
3,TriviaQA,matched,FIS · centroid (PCA-free),0.49895272412105063,1.0,353,353,1136.9188999960897,940.134799995576,1.3793201041315541,31.0
3,TriviaQA,raw,FIS · PCA (64 comp),0.536041485486968,1.0,1974,353,94.47759999602567,1066.262700012885,0.6122045579847055,24.0
