seed,condition,detector,auroc,fpr95,fpr90,fpr80,n_params,train_ms,band_lo,band_hi
5,length+template+entropy,FIS cascade (2 pass),0.8177731529656609,0.7935483870967742,0.5870967741935483,0.2645161290322581,104,1685.1523000077577,0.10552405714527266,0.1793258050799876
5,length+template+entropy,Mahalanobis · stats,0.8090738813735692,0.7032258064516129,0.5483870967741935,0.36129032258064514,209,1685.1523000077577,0.10552405714527266,0.1793258050799876
5,length+template+entropy,mean entropy,0.6275546305931321,0.7419354838709677,0.6903225806451613,0.567741935483871,0,1685.1523000077577,0.10552405714527266,0.1793258050799876
6,length+template,FIS single pass,0.8498671658012317,0.6648351648351648,0.43956043956043955,0.29120879120879123,91,1650.981500002672,0.11049094528743648,0.17738837984435923
6,length+template,FIS cascade (2 pass),0.8461991305397898,0.6648351648351648,0.5274725274725275,0.2692307692307692,122,1650.981500002672,0.11049094528743648,0.17738837984435923
6,length+template,Mahalanobis · stats,0.8249003743509239,0.5824175824175825,0.489010989010989,0.33516483516483514,209,1650.981500002672,0.11049094528743648,0.17738837984435923
6,length+template,mean entropy,0.844131143581693,0.5989010989010989,0.5,0.2802197802197802,0,1650.981500002672,0.11049094528743648,0.17738837984435923
6,length+template+entropy,FIS single pass,0.8476222222222222,0.7066666666666667,0.42,0.19333333333333333,91,1650.981500002672,0.11049094528743648,0.17738837984435923
6,length+template+entropy,FIS cascade (2 pass),0.8294666666666666,0.7066666666666667,0.5733333333333334,0.2733333333333333,122,1650.981500002672,0.11049094528743648,0.17738837984435923
6,length+template+entropy,Mahalanobis · stats,0.7948444444444446,0.6333333333333333,0.4666666666666667,0.38666666666666666,209,1650.981500002672,0.11049094528743648,0.17738837984435923
6,length+template+entropy,mean entropy,0.6359111111111111,0.7733333333333333,0.66,0.54,0,1650.981500002672,0.11049094528743648,0.17738837984435923
7,length+template,FIS single pass,0.8399665446282035,0.6629213483146067,0.5280898876404494,0.30337078651685395,87,1636.245700006839,0.10579500745048509,0.18147483902946157
7,length+template,FIS cascade (2 pass),0.8407555864158566,0.6629213483146067,0.5730337078651685,0.2752808988764045,114,1636.245700006839,0.10579500745048509,0.18147483902946157
7,length+template,Mahalanobis · stats,0.8095568741320541,0.6629213483146067,0.4943820224719101,0.3707865168539326,209,1636.245700006839,0.10579500745048509,0.18147483902946157
7,length+template,mean entropy,0.8569625047342506,0.47752808988764045,0.3707865168539326,0.28651685393258425,0,1636.245700006839,0.10579500745048509,0.18147483902946157
7,length+template+entropy,FIS single pass,0.814822527650516,0.6190476190476191,0.5306122448979592,0.35374149659863946,87,1636.245700006839,0.10579500745048509,0.18147483902946157
7,length+template+entropy,FIS cascade (2 pass),0.8055208477949003,0.6190476190476191,0.5578231292517006,0.4421768707482993,114,1636.245700006839,0.10579500745048509,0.18147483902946157
7,length+template+entropy,Mahalanobis · stats,0.763061687259938,0.7346938775510204,0.6258503401360545,0.4217687074829932,209,1636.245700006839,0.10579500745048509,0.18147483902946157
7,length+template+entropy,mean entropy,0.6517191910777916,0.6666666666666666,0.5782312925170068,0.4897959183673469,0,1636.245700006839,0.10579500745048509,0.18147483902946157
