features,K,top_n,silhouette,detector,family,mfs,auroc,auprc,fpr@95tpr
rawdim,4,16,0.13216212391853333,Mahalanobis,TriviaQA,67,0.5611332592828584,0.8750346562769178,0.9320113314447592
rawdim,4,16,0.13216212391853333,Mahalanobis,FalsePremise,67,0.6453898744995015,0.8020820184678945,0.6968838526912181
rawdim,4,16,0.13216212391853333,FIS T=product/S=product,TriviaQA,67,0.548302148898858,0.8717577793846741,0.9461756373937678
rawdim,4,16,0.13216212391853333,FIS T=product/S=product,FalsePremise,67,0.7469732698181588,0.858655023282037,0.7450424929178471
rawdim,4,16,0.13216212391853333,FIS T=hamacher/S=hamacher,TriviaQA,67,0.546885718303957,0.8718767958720985,0.9405099150141643
rawdim,4,16,0.13216212391853333,FIS T=hamacher/S=hamacher,FalsePremise,67,0.7524886448161805,0.8623739626946155,0.660056657223796
rawdim,4,16,0.13216212391853333,FIS T=dombi2/S=einstein,TriviaQA,67,0.548085450803792,0.8724572143985461,0.9348441926345609
rawdim,4,16,0.13216212391853333,FIS T=dombi2/S=einstein,FalsePremise,67,0.766443255732983,0.8687190381899267,0.6005665722379604
rawdim,4,32,0.11964014917612076,Mahalanobis,TriviaQA,137,0.5729239317931982,0.8798482224143112,0.9178470254957507
rawdim,4,32,0.11964014917612076,Mahalanobis,FalsePremise,137,0.677853039391014,0.8411519479594531,0.7053824362606232
rawdim,4,32,0.11964014917612076,FIS T=product/S=product,TriviaQA,137,0.5509979593066809,0.873548360115018,0.9348441926345609
rawdim,4,32,0.11964014917612076,FIS T=product/S=product,FalsePremise,137,0.7437526706442781,0.8444812459147577,0.6713881019830028
rawdim,4,32,0.11964014917612076,FIS T=hamacher/S=hamacher,TriviaQA,137,0.5531957946218691,0.8738476015384586,0.9376770538243626
rawdim,4,32,0.11964014917612076,FIS T=hamacher/S=hamacher,FalsePremise,137,0.7228781236646779,0.847383171604781,0.6543909348441926
rawdim,4,32,0.11964014917612076,FIS T=dombi2/S=einstein,TriviaQA,137,0.5586950469416867,0.8748580618562368,0.9235127478753541
rawdim,4,32,0.11964014917612076,FIS T=dombi2/S=einstein,FalsePremise,137,0.728274803361451,0.8506478951061509,0.6742209631728046
rawdim,8,8,0.13596577942371368,Mahalanobis,TriviaQA,72,0.5281793628788988,0.8625304774407468,0.9320113314447592
rawdim,8,8,0.13596577942371368,Mahalanobis,FalsePremise,72,0.6139474891987277,0.77896710135308,0.9773371104815864
rawdim,8,8,0.13596577942371368,FIS T=product/S=product,TriviaQA,72,0.5208331539474931,0.863533196858117,0.9461756373937678
rawdim,8,8,0.13596577942371368,FIS T=product/S=product,FalsePremise,72,0.6746126576669254,0.8095318459806755,0.9575070821529745
rawdim,8,8,0.13596577942371368,FIS T=hamacher/S=hamacher,TriviaQA,72,0.5175152334455572,0.8624790627687584,0.9546742209631728
rawdim,8,8,0.13596577942371368,FIS T=hamacher/S=hamacher,FalsePremise,72,0.6809213129282922,0.8349820484752829,0.9546742209631728
rawdim,8,8,0.13596577942371368,FIS T=dombi2/S=einstein,TriviaQA,72,0.5130722049533454,0.8616531191302874,1.0
rawdim,8,8,0.13596577942371368,FIS T=dombi2/S=einstein,FalsePremise,72,0.6808599870226469,0.8368275472260192,1.0
rawdim,8,16,0.11236067861318588,Mahalanobis,TriviaQA,146,0.5646190849313024,0.8731139858100698,0.9348441926345609
rawdim,8,16,0.11236067861318588,Mahalanobis,FalsePremise,146,0.7114319401142639,0.8364627853144468,0.6940509915014165
rawdim,8,16,0.11236067861318588,FIS T=product/S=product,TriviaQA,146,0.5464193151192126,0.8702930161013673,0.9348441926345609
rawdim,8,16,0.11236067861318588,FIS T=product/S=product,FalsePremise,146,0.7855492427239781,0.8850424720149975,0.6628895184135978
rawdim,8,16,0.11236067861318588,FIS T=hamacher/S=hamacher,TriviaQA,146,0.5448866424998062,0.868467425989172,0.9348441926345609
rawdim,8,16,0.11236067861318588,FIS T=hamacher/S=hamacher,FalsePremise,146,0.8020201940272524,0.8897286666248791,0.6260623229461756
rawdim,8,16,0.11236067861318588,FIS T=dombi2/S=einstein,TriviaQA,146,0.5459263628301058,0.8679210245591795,0.9320113314447592
rawdim,8,16,0.11236067861318588,FIS T=dombi2/S=einstein,FalsePremise,146,0.8153259372972289,0.8937190406935973,0.5580736543909348
rawdim,8,32,0.10602471977472305,Mahalanobis,TriviaQA,281,0.5817970729971212,0.8797305475912465,0.9320113314447592
rawdim,8,32,0.10602471977472305,Mahalanobis,FalsePremise,281,0.6762664788643233,0.8157346797328979,0.6515580736543909
rawdim,8,32,0.10602471977472305,FIS T=product/S=product,TriviaQA,281,0.5526009511754795,0.8726715293440263,0.9546742209631728
rawdim,8,32,0.10602471977472305,FIS T=product/S=product,FalsePremise,281,0.7730981056229921,0.8564352365040917,0.5864022662889519
rawdim,8,32,0.10602471977472305,FIS T=hamacher/S=hamacher,TriviaQA,281,0.5536995100613931,0.8737244787928927,0.9603399433427762
rawdim,8,32,0.10602471977472305,FIS T=hamacher/S=hamacher,FalsePremise,281,0.7316853150173295,0.8450908698296313,0.6515580736543909
rawdim,8,32,0.10602471977472305,FIS T=dombi2/S=einstein,TriviaQA,281,0.554292200877699,0.873264380981051,0.9603399433427762
rawdim,8,32,0.10602471977472305,FIS T=dombi2/S=einstein,FalsePremise,281,0.7432581068890753,0.8471960477364955,0.5552407932011332
layerstat,1,8,,Mahalanobis,TriviaQA,18,0.4919950862630629,0.841899735064704,0.9348441926345609
layerstat,1,8,,Mahalanobis,FalsePremise,18,0.49659344485416307,0.7195479615203948,0.9263456090651558
layerstat,1,8,,FIS T=product/S=product,TriviaQA,18,0.45835521840584825,0.8315294713027899,0.9603399433427762
layerstat,1,8,,FIS T=product/S=product,FalsePremise,18,0.3999873391678668,0.621391703138614,1.0
layerstat,1,8,,FIS T=hamacher/S=hamacher,TriviaQA,18,0.45881372861362013,0.8305724396367269,0.9603399433427762
layerstat,1,8,,FIS T=hamacher/S=hamacher,FalsePremise,18,0.4170537452324054,0.6431656108709394,1.0
layerstat,1,8,,FIS T=dombi2/S=einstein,TriviaQA,18,0.46695712821925833,0.8336364350931117,1.0
layerstat,1,8,,FIS T=dombi2/S=einstein,FalsePremise,18,0.47585737572601955,0.6745613368701391,1.0
layerstat,1,16,,Mahalanobis,TriviaQA,32,0.5335781591281561,0.8590762796400475,0.9490084985835694
layerstat,1,16,,Mahalanobis,FalsePremise,32,0.4954500134521342,0.7248286338862073,0.9490084985835694
layerstat,1,16,,FIS T=product/S=product,TriviaQA,32,0.49324791697162257,0.8453128359634432,0.9716713881019831
layerstat,1,16,,FIS T=product/S=product,FalsePremise,32,0.4181457420038932,0.6831704321618521,0.9971671388101983
layerstat,1,16,,FIS T=hamacher/S=hamacher,TriviaQA,32,0.4953072664181096,0.8461086204759789,0.9688385269121813
layerstat,1,16,,FIS T=hamacher/S=hamacher,FalsePremise,32,0.4223099688227009,0.6834147385732097,0.9971671388101983
layerstat,1,16,,FIS T=dombi2/S=einstein,TriviaQA,32,0.5063165342081622,0.8483753710756811,1.0
layerstat,1,16,,FIS T=dombi2/S=einstein,FalsePremise,32,0.46804129013879436,0.705763628819603,1.0
layerstat,1,32,,Mahalanobis,TriviaQA,50,0.5282138049602337,0.858562069682594,0.9405099150141643
layerstat,1,32,,Mahalanobis,FalsePremise,50,0.4904252456992736,0.7356299445011867,0.9971671388101983
layerstat,1,32,,FIS T=product/S=product,TriviaQA,50,0.5121408336705787,0.8573399350627601,0.9546742209631728
layerstat,1,32,,FIS T=product/S=product,FalsePremise,50,0.5252840774209885,0.7492041269496239,0.9943342776203966
layerstat,1,32,,FIS T=hamacher/S=hamacher,TriviaQA,50,0.510956887124689,0.8534292149114864,0.9518413597733711
layerstat,1,32,,FIS T=hamacher/S=hamacher,FalsePremise,50,0.5178913384082169,0.725564599504931,0.9971671388101983
layerstat,1,32,,FIS T=dombi2/S=einstein,TriviaQA,50,0.5124522474893158,0.8530373856313694,0.943342776203966
layerstat,1,32,,FIS T=dombi2/S=einstein,FalsePremise,50,0.5188409008182062,0.7229339003580839,0.9915014164305949
layerstat,2,8,0.5803400874137878,Mahalanobis,TriviaQA,23,0.5168680093338041,0.8520554501620022,0.9518413597733711
layerstat,2,8,0.5803400874137878,Mahalanobis,FalsePremise,23,0.4535110070109358,0.6960035939018214,0.9461756373937678
layerstat,2,8,0.5803400874137878,FIS T=product/S=product,TriviaQA,23,0.5088006693244473,0.8529381411860149,0.9688385269121813
layerstat,2,8,0.5803400874137878,FIS T=product/S=product,FalsePremise,23,0.3727230284710463,0.6191653134304046,1.0
layerstat,2,8,0.5803400874137878,FIS T=hamacher/S=hamacher,TriviaQA,23,0.5130822505604015,0.8558584685154067,0.9688385269121813
layerstat,2,8,0.5803400874137878,FIS T=hamacher/S=hamacher,FalsePremise,23,0.3937973792077484,0.6589143109148705,1.0
layerstat,2,8,0.5803400874137878,FIS T=dombi2/S=einstein,TriviaQA,23,0.5171019284695374,0.8570291549590555,1.0
layerstat,2,8,0.5803400874137878,FIS T=dombi2/S=einstein,FalsePremise,23,0.44840710905724274,0.7018034163446577,1.0
layerstat,2,16,0.47601595520973206,Mahalanobis,TriviaQA,43,0.5464465817669362,0.8643564837685955,0.9546742209631728
layerstat,2,16,0.47601595520973206,Mahalanobis,FalsePremise,43,0.476241157200057,0.7083376212989653,0.9631728045325779
