seed,condition,metric,mf,tnorm,sconorm,de_morgan,auroc,fpr95,n_params,n_mfs,train_ms,samples_per_sec
0,length+template,wasserstein,gaussian,hamacher,einstein,False,0.8736823319452707,0.48292682926829267,79,39,1026.1310000059893,487862.91607321525
0,length+template,wasserstein,gaussian,probability,einstein,False,0.872266508030934,0.4926829268292683,79,39,1026.1310000059893,611757.6883707116
0,length+template,wasserstein,gaussian,min/max,hamacher,False,0.8770612730517551,0.4682926829268293,79,39,1026.1310000059893,487630.82811751246
0,length+template,wasserstein,trapezoid,min/max,min/max,True,0.5634146341463415,0.8731707317073171,55,27,7662.183299995377,500855.1154329869
0,length+template,wasserstein,trapezoid,probability,probability,True,0.5634146341463415,0.8731707317073171,55,27,7662.183299995377,525236.9926787798
0,length+template,wasserstein,trapezoid,luk,luk,True,,,55,27,7662.183299995377,496909.4677529839
0,length+template,wasserstein,trapezoid,hamacher,hamacher,True,0.5634146341463415,0.8731707317073171,55,27,7662.183299995377,428019.62474045553
0,length+template,wasserstein,trapezoid,einstein,einstein,True,0.5634146341463415,0.8731707317073171,55,27,7662.183299995377,536578.9835865214
0,length+template,wasserstein,trapezoid,hamacher,einstein,False,0.5634146341463415,0.8731707317073171,55,27,7662.183299995377,433908.34720213444
0,length+template,wasserstein,trapezoid,probability,einstein,False,0.5634146341463415,0.8731707317073171,55,27,7662.183299995377,503438.11263375334
0,length+template,wasserstein,trapezoid,min/max,hamacher,False,0.5634146341463415,0.8731707317073171,55,27,7662.183299995377,467556.16492097615
0,length+template,-,Mahalanobis,-,-,True,0.8338132064247472,0.6341463414634146,209,0,1.0867999953916296,
0,length+template+entropy,bhattacharyya,gaussian,min/max,min/max,True,0.8113283127703893,1.0,79,39,2333.2682000036584,452074.3942328282
0,length+template+entropy,bhattacharyya,gaussian,probability,probability,True,0.793943278320782,0.7215189873417721,79,39,2333.2682000036584,515834.14276858664
0,length+template+entropy,bhattacharyya,gaussian,luk,luk,True,,,79,39,2333.2682000036584,458103.7987096725
0,length+template+entropy,bhattacharyya,gaussian,hamacher,hamacher,True,0.8065614484858197,0.7215189873417721,79,39,2333.2682000036584,381458.22957571346
0,length+template+entropy,bhattacharyya,gaussian,einstein,einstein,True,0.7859717993911233,0.7151898734177216,79,39,2333.2682000036584,457838.30622319126
0,length+template+entropy,bhattacharyya,gaussian,hamacher,einstein,False,0.8033568338407306,0.7151898734177216,79,39,2333.2682000036584,437976.43325070845
0,length+template+entropy,bhattacharyya,gaussian,probability,einstein,False,0.793622816856273,0.7215189873417721,79,39,2333.2682000036584,481707.31428225886
0,length+template+entropy,bhattacharyya,gaussian,min/max,hamacher,False,0.8142124659509692,0.6835443037974683,79,39,2333.2682000036584,404816.8116599804
0,length+template+entropy,bhattacharyya,trapezoid,min/max,min/max,True,0.51896731293062,0.9556962025316456,55,27,7705.052700010128,376818.5082831997
0,length+template+entropy,bhattacharyya,trapezoid,probability,probability,True,0.5189272552475565,0.9556962025316456,55,27,7705.052700010128,280789.05321218015
0,length+template+entropy,bhattacharyya,trapezoid,luk,luk,True,,,55,27,7705.052700010128,398587.28671364434
0,length+template+entropy,bhattacharyya,trapezoid,hamacher,hamacher,True,0.5189272552475565,0.9556962025316456,55,27,7705.052700010128,344039.19097017625
0,length+template+entropy,bhattacharyya,trapezoid,einstein,einstein,True,0.5189272552475565,0.9556962025316456,55,27,7705.052700010128,386166.44134125306
0,length+template+entropy,bhattacharyya,trapezoid,hamacher,einstein,False,0.5189272552475565,0.9556962025316456,55,27,7705.052700010128,374940.6738993323
0,length+template+entropy,bhattacharyya,trapezoid,probability,einstein,False,0.5189272552475565,0.9556962025316456,55,27,7705.052700010128,412909.9742337355
0,length+template+entropy,bhattacharyya,trapezoid,min/max,hamacher,False,0.51896731293062,0.9556962025316456,55,27,7705.052700010128,352717.93846019555
0,length+template+entropy,wasserstein,gaussian,min/max,min/max,True,0.8113283127703893,1.0,79,39,1026.1310000059893,527281.821219295
0,length+template+entropy,wasserstein,gaussian,probability,probability,True,0.793943278320782,0.7215189873417721,79,39,1026.1310000059893,488030.8791090731
0,length+template+entropy,wasserstein,gaussian,luk,luk,True,,,79,39,1026.1310000059893,464842.6036021449
0,length+template+entropy,wasserstein,gaussian,hamacher,hamacher,True,0.8065614484858197,0.7215189873417721,79,39,1026.1310000059893,350955.13021961675
0,length+template+entropy,wasserstein,gaussian,einstein,einstein,True,0.7859717993911233,0.7151898734177216,79,39,1026.1310000059893,346871.57140184764
0,length+template+entropy,wasserstein,gaussian,hamacher,einstein,False,0.8033568338407306,0.7151898734177216,79,39,1026.1310000059893,360237.1180601428
0,length+template+entropy,wasserstein,gaussian,probability,einstein,False,0.793622816856273,0.7215189873417721,79,39,1026.1310000059893,466972.0694099905
0,length+template+entropy,wasserstein,gaussian,min/max,hamacher,False,0.8142124659509692,0.6835443037974683,79,39,1026.1310000059893,383495.14448287536
0,length+template+entropy,wasserstein,trapezoid,min/max,min/max,True,0.51896731293062,0.9556962025316456,55,27,7662.183299995377,425417.3424581496
0,length+template+entropy,wasserstein,trapezoid,probability,probability,True,0.5189272552475565,0.9556962025316456,55,27,7662.183299995377,389738.5280112521
0,length+template+entropy,wasserstein,trapezoid,luk,luk,True,,,55,27,7662.183299995377,389162.5623409515
0,length+template+entropy,wasserstein,trapezoid,hamacher,hamacher,True,0.5189272552475565,0.9556962025316456,55,27,7662.183299995377,320747.0587107452
0,length+template+entropy,wasserstein,trapezoid,einstein,einstein,True,0.5189272552475565,0.9556962025316456,55,27,7662.183299995377,379306.2061931805
0,length+template+entropy,wasserstein,trapezoid,hamacher,einstein,False,0.5189272552475565,0.9556962025316456,55,27,7662.183299995377,352481.87334678514
0,length+template+entropy,wasserstein,trapezoid,probability,einstein,False,0.5189272552475565,0.9556962025316456,55,27,7662.183299995377,409379.454011084
