family,feature,auroc,auroc_entmatch,rho_entropy,entmatch_std
deltaref,R15_dist,0.5909319204918428,0.6082523826330625,0.29904371051843326,0.022414093230006964
deltaref,R16_cos,0.6549249734977702,0.5862839116967126,0.4174714957108039,0.060594547417482734
deltaref,R16_dist,0.661096631449485,0.5799899587692137,0.4385262216478291,0.03236128051917862
deltaref,R17_cos,0.6418404700442124,0.6365722179346271,0.3837659325818672,0.08729675783893466
deltaref,R17_dist,0.678173238940241,0.6074955057437756,0.4216841447924883,0.07252848881263738
deltaref,R18_cos,0.6655507727188068,0.5878700222692628,0.42872539287922706,0.04849972094064723
deltaref,R18_dist,0.7107714905929435,0.5704528541025413,0.49177106190317876,0.03345956246961712
deltaref,R19_cos,0.6773095153559987,0.5501819433539745,0.4091244784453097,0.03413064527563081
deltaref,R19_dist,0.7082709765962019,0.5979786812625039,0.4417236324337163,0.07259286431481037
deltaref,R20_cos,0.6597899611479102,0.6238431937341592,0.3518301041745494,0.05846699843054844
deltaref,R20_dist,0.6499186844472247,0.592871145296499,0.34670848509271307,0.075472460784081
deltaref,R21_cos,0.6202838397775385,0.5596062440233084,0.3190821080051915,0.02666072760629856
deltaref,R21_dist,0.5747905307405221,0.5573909979353152,0.2281980453353622,0.04935343508032708
deltaref,R22_cos,0.6777413404684636,0.6103237363224673,0.39392877186685715,0.08069587057633305
deltaref,R22_dist,0.6332561652225084,0.595002482806558,0.3170788577914149,0.04342559128732301
deltaref,R23_cos,0.5506358225001604,0.5329494078638533,0.20328777172791,0.044597809737310645
deltaref,R23_dist,0.5278719825021327,0.5879680296239623,0.1763221045842798,0.06142760635365195
deltaref,R24_cos,0.5373075693111524,0.5540904347584259,0.1450125746751826,0.037179205115441594
deltaref,R24_dist,0.5459421451023942,0.5633264821185464,0.15167463416441823,0.026219185217811376
deltaref,R25_cos,0.5367630963604072,0.5541139518227526,0.17805254464404133,0.039073966789957226
deltaref,R25_dist,0.555641176416322,0.5698306254280341,0.161383809648917,0.07714285351966185
deltaref,R26_cos,0.77523251146893,0.6692347710055132,0.3596209230596153,0.03778516279039803
deltaref,R26_dist,0.7274645952769754,0.5726270653870087,0.29610503568846086,0.05817215071660869
deltaref,R27_cos,0.7108242767749193,0.6362132210756446,0.24928893325480322,0.09860820975679933
deltaref,R27_dist,0.7478173375920929,0.6737993499116783,0.3277955028523626,0.14061697109007013
deltaref,R28_cos,0.7469405535131426,0.8446356302411904,0.2593435444529576,0.06721227854237759
deltaref,R28_dist,0.7057782642528418,0.8400412244605464,0.18718624519230484,0.06437019814443917
deltaref,R29_cos,0.619444900135623,0.6473350899125169,0.1382157743771582,0.1233718959443491
deltaref,R29_dist,0.6847287046122263,0.6870902649550364,0.25451896790754425,0.09969983765023226
deltaref,R30_cos,0.9004468657599951,0.9424905556549108,0.514332072347028,0.03362130655279096
deltaref,R30_dist,0.8885794692673052,0.9283155228967095,0.5071244296204567,0.04904486531546494
deltaref,R31_cos,0.8534007625169632,0.9001036449792819,0.4217930601451117,0.05393087975760347
deltaref,R31_dist,0.8196987061448545,0.8664977927010229,0.37336322119936327,0.06087951244559206
geom,N01_norm,0.5746966335782431,0.5911959494611164,0.04945476995759299,0.015850191880330242
geom,N01_ratio,0.5746966335782431,0.5911959494611164,0.04945476995759299,0.015850191880330242
geom,N02_norm,0.602278350179165,0.6362649240865855,0.0896422330268116,0.06747168149801912
geom,N02_ratio,0.5205842552941822,0.6217220159034724,0.0566117175145148,0.08316670201116837
geom,N03_norm,0.5289154748870858,0.5237034953498745,0.04162141189093319,0.020512075022083995
geom,N03_ratio,0.6321671916827902,0.8240712175634843,0.01809078955074721,0.062435554217332156
geom,N04_norm,0.5333946613740774,0.7821148712704713,0.13482796623592605,0.1012876675618906
geom,N04_ratio,0.5661072319044177,0.5591750666503984,0.040722321177174975,0.019125102919456623
geom,N05_norm,0.5361004134544924,0.6306228206852993,0.09022111624920896,0.04992894446817457
geom,N05_ratio,0.5334772709140235,0.5611356765701987,0.018855860062302183,0.036383755265411204
geom,N06_norm,0.5931740968179071,0.6390916138470704,0.30985859594805293,0.04808008591854307
geom,N06_ratio,0.6345617575287309,0.568874924230047,0.3418482491236918,0.055176719351252054
geom,N07_norm,0.6178578724607047,0.6050215400291687,0.3124132815760247,0.06295861142911276
geom,N07_ratio,0.6010959906537319,0.5714908998464219,0.1612919984941203,0.03282249425611165
geom,N08_norm,0.584025080416213,0.6306882880487152,0.28805492169539837,0.07145454991411015
geom,N08_ratio,0.5509107410683434,0.5422747501367411,0.03038542865026758,0.02760983134050148
geom,N09_norm,0.5511276800081902,0.6943800224289739,0.21968694512898176,0.04329740979171586
geom,N09_ratio,0.5965703804286503,0.5558487005720028,0.2744287471810903,0.05751205484765574
geom,N10_norm,0.5131754138290511,0.7729926841371193,0.18130782210127017,0.018794799811641838
geom,N10_ratio,0.6452050392793045,0.6620818982541387,0.2775362727261821,0.07910323270956413
geom,N11_norm,0.5410200279646328,0.6557161442138058,0.21598439147949805,0.051321028263802186
geom,N11_ratio,0.5905657987820726,0.5716663079258852,0.1471713337330813,0.04182189101839155
geom,N12_norm,0.5111568190810389,0.5744611918325748,0.062435384608642466,0.03046904892028137
geom,N12_ratio,0.5194532411754851,0.6132689508394145,0.14340746213460837,0.0607368988289645
geom,N13_norm,0.5900298392285995,0.5471777925406153,0.19443956210363622,0.04230830511007698
geom,N13_ratio,0.595969479660006,0.5636096183455399,0.15191791063081805,0.00785144184797151
geom,N14_norm,0.5774283772072472,0.5210430739472955,0.24048795810392276,0.016539183214787513
geom,N14_ratio,0.5246251774023474,0.6028819173568023,0.05972154401914198,0.017570908995823982
geom,N15_norm,0.6559358070721318,0.5345653293513716,0.3506450375991106,0.03851907430588762
geom,N15_ratio,0.6417749507821331,0.5467094106467276,0.24634313649478518,0.01813675298554266
geom,N16_norm,0.5724987346508399,0.5611707969241764,0.2127652655528409,0.03744567404173985
geom,N16_ratio,0.5951882629595554,0.5573705733888868,0.16414448985116586,0.029264780937321207
geom,N17_norm,0.5160656513684546,0.5978964295719449,0.038936631040093296,0.05530116072586628
geom,N17_ratio,0.5958575769617062,0.5576436587513529,0.21044914853683566,0.047757040138109504
