model,seed,condition,family,budget,selected,val_auroc,test_auroc,test_fpr95,fixed_auroc
sl1700,0,length+template,IsolationForest,96,n50_mf1.0_cauto_k19,0.9154624374404592,0.9241578991667369,0.3284403669724771,0.9145358134837136
sl1700,0,length+template,OneClassSVM,100,nu0.05_g0.01_rbf_k8,0.9037153322867609,0.9167107145863143,0.45871559633027525,0.8791919872064642
sl1700,0,length+template,single statistic,38,ent_max_+,0.9540447342645144,0.9502567123979463,0.26788990825688075,0.9143338102853296
sl1700,0,length+template+entropy,FIS,120,w0_t8_k2_probability,0.8975600101973729,0.7311186122587288,0.8194945848375451,0.7206206258389918
sl1700,0,length+template+entropy,Mahalanobis,120,empirical_sNone_k12,0.9108367212762818,0.744933467137588,0.855595667870036,0.7637268829256214
sl1700,0,length+template+entropy,IsolationForest,96,n50_mf1.0_cauto_k19,0.9154624374404592,0.7249540590910869,0.8989169675090253,0.7197148405426892
sl1700,0,length+template+entropy,OneClassSVM,100,nu0.05_g0.01_rbf_k8,0.9037153322867609,0.712976840568755,0.8953068592057761,0.6942616220724889
sl1700,0,length+template+entropy,single statistic,38,ent_max_+,0.9540447342645144,0.8318627898187125,0.7545126353790613,0.5971405856977153
sl1700,1,length+template,FIS,120,w1_t19_k2_probability,0.9128066115702479,0.8918412475538327,0.4843462246777164,0.7440723895960305
sl1700,1,length+template,Mahalanobis,120,empirical_sNone_k19,0.919100826446281,0.8940881603803981,0.48066298342541436,0.8828519004643055
sl1700,1,length+template,IsolationForest,96,n50_mf0.5_cauto_k8,0.9242578512396694,0.9087329446598089,0.47882136279926335,0.8592262480116941
sl1700,1,length+template,OneClassSVM,100,nu0.05_g0.01_rbf_k8,0.9080495867768595,0.894735949587755,0.4972375690607735,0.8422446743926553
sl1700,1,length+template,single statistic,38,ent_std_+,0.950780165289256,0.9437847847542302,0.31307550644567217,0.903896570787081
sl1700,1,length+template+entropy,FIS,120,w1_t19_k2_probability,0.9128066115702479,0.740669483426387,0.9290780141843972,0.668471153362507
sl1700,1,length+template+entropy,Mahalanobis,120,empirical_sNone_k19,0.919100826446281,0.7483652733765906,0.9184397163120568,0.7449700719279715
sl1700,1,length+template+entropy,IsolationForest,96,n50_mf0.5_cauto_k8,0.9242578512396694,0.7112318293848398,0.9326241134751773,0.66549720838992
sl1700,1,length+template+entropy,OneClassSVM,100,nu0.05_g0.01_rbf_k8,0.9080495867768595,0.6808762134701474,0.9290780141843972,0.700882752376641
sl1700,1,length+template+entropy,single statistic,38,ent_std_+,0.950780165289256,0.7891705648609224,0.723404255319149,0.6092248880841005
sl1700,2,length+template,FIS,120,w1_t19_k2_einstein,0.8903772290809329,0.8991359193114687,0.5009242144177449,0.8195270618864907
sl1700,2,length+template,Mahalanobis,120,empirical_sNone_k19,0.897599451303155,0.9060444647927265,0.39926062846580407,0.9004445112596992
sl1700,2,length+template,IsolationForest,96,n200_mf1.0_cauto_k8,0.9031241426611798,0.9124370902108438,0.4343807763401109,0.878977453268234
sl1700,2,length+template,OneClassSVM,100,nu0.5_g0.01_rbf_k8,0.8942764060356653,0.9035195315035823,0.45286506469500926,0.8428186318893265
sl1700,2,length+template,single statistic,38,ent_max_+,0.9455761316872429,0.9549612034945896,0.24584103512014788,0.9041926192680767
sl1700,2,length+template+entropy,FIS,120,w1_t19_k2_einstein,0.8903772290809329,0.7327956211419753,0.9131944444444444,0.6277608989197531
sl1700,2,length+template+entropy,Mahalanobis,120,empirical_sNone_k19,0.897599451303155,0.7495900848765431,0.8715277777777778,0.7486858603395061
sl1700,2,length+template+entropy,IsolationForest,96,n200_mf1.0_cauto_k8,0.9031241426611798,0.7459611304012346,0.8333333333333334,0.6571903935185185
sl1700,2,length+template+entropy,OneClassSVM,100,nu0.5_g0.01_rbf_k8,0.8942764060356653,0.7195216049382716,0.9375,0.6838831018518519
sl1700,2,length+template+entropy,single statistic,38,ent_max_+,0.9455761316872429,0.8386742862654323,0.7569444444444444,0.6075062692901235
sl1700,3,length+template,FIS,120,w0_t8_k2_hamacher,0.9153071091051349,0.9010150891632372,0.5092592592592593,0.8377023319615913
sl1700,3,length+template,Mahalanobis,120,oas_sNone_k19,0.9077493926835017,0.9002674897119342,0.4425925925925926,0.8966803840877914
sl1700,3,length+template,IsolationForest,96,n50_mf0.7_cauto_k8,0.923442245994786,0.9105486968449932,0.4462962962962963,0.8815294924554185
sl1700,3,length+template,OneClassSVM,100,nu0.5_g0.01_rbf_k8,0.9119724204851015,0.89630658436214,0.5111111111111111,0.8529561042524005
sl1700,3,length+template,single statistic,38,ent_max_+,0.953871279652591,0.9455864197530864,0.25,0.8982098765432099
sl1700,3,length+template+entropy,FIS,120,w0_t8_k2_hamacher,0.9153071091051349,0.7563111342351716,0.8096774193548387,0.6550364203954215
sl1700,3,length+template+entropy,Mahalanobis,120,oas_sNone_k19,0.9077493926835017,0.7504058272632674,0.8548387096774194,0.7509157127991675
sl1700,3,length+template+entropy,IsolationForest,96,n50_mf0.7_cauto_k8,0.923442245994786,0.7412591050988554,0.9064516129032258,0.6858584807492196
sl1700,3,length+template+entropy,OneClassSVM,100,nu0.5_g0.01_rbf_k8,0.9119724204851015,0.7242351716961499,0.8903225806451613,0.6754942767950052
sl1700,3,length+template+entropy,single statistic,38,ent_max_+,0.953871279652591,0.8350988553590011,0.7774193548387097,0.6160978147762747
