model,seed,condition,family,budget,selected,val_auroc,test_auroc,test_fpr95,fixed_auroc
smollm2,3,length+template,IsolationForest,96,n200_mf0.5_cauto_k8,0.8542004687218315,0.853087001602413,0.5572815533980583,0.8110886982750496
smollm2,3,length+template,OneClassSVM,100,nu0.5_g1.0_rbf_k8,0.8574417102337599,0.8508247714204921,0.6679611650485436,0.7821321519464606
smollm2,3,length+template,single statistic,38,ent_max_+,0.9359901748692987,0.9374003204826091,0.3087378640776699,0.8437854651710811
smollm2,3,length+template+entropy,FIS,120,w1_t19_k2_einstein,0.8397932816537468,0.754030309538511,0.8419689119170984,0.7151869848855003
smollm2,3,length+template+entropy,Mahalanobis,120,empirical_s0.05_k8,0.850279430322697,0.7778866546752934,0.7746113989637305,0.7419259577438321
smollm2,3,length+template+entropy,IsolationForest,96,n200_mf0.5_cauto_k8,0.8542004687218315,0.7218113237939273,0.8005181347150259,0.6575881231710918
smollm2,3,length+template+entropy,OneClassSVM,100,nu0.5_g1.0_rbf_k8,0.8574417102337599,0.7879137694971676,0.7694300518134715,0.6717630003490027
smollm2,3,length+template+entropy,single statistic,38,ent_max_+,0.9359901748692987,0.8882453220220676,0.45077720207253885,0.6050162420467664
qwen,0,length+template,FIS,120,w1_t12_k3_einstein,0.6804698216735254,0.692571277119382,0.8589981447124304,0.6114222379793542
qwen,0,length+template,Mahalanobis,120,mcd_sNone_k12,0.700744170096022,0.7322362238874299,0.7829313543599258,0.6762265034197183
qwen,0,length+template,IsolationForest,96,n100_mf0.5_cauto_k8,0.7100823045267489,0.7192113478887929,0.8348794063079777,0.665215251221082
qwen,0,length+template,OneClassSVM,100,nu0.01_g0.01_sigmoid_k19,0.727664609053498,0.7244467697687946,0.6901669758812616,0.5443014446459981
qwen,0,length+template,single statistic,38,ent_max_+,0.8369050068587105,0.8363009902898585,0.5677179962894249,0.7519662950354707
qwen,0,length+template+entropy,FIS,120,w1_t12_k3_einstein,0.6804698216735254,0.681124495494431,0.8403990024937655,0.5723751717961952
qwen,0,length+template+entropy,Mahalanobis,120,mcd_sNone_k12,0.700744170096022,0.6686401203972612,0.8528678304239401,0.6505245614144191
qwen,0,length+template+entropy,IsolationForest,96,n100_mf0.5_cauto_k8,0.7100823045267489,0.6409786008793478,0.8952618453865336,0.6203319631096822
qwen,0,length+template+entropy,OneClassSVM,100,nu0.01_g0.01_sigmoid_k19,0.727664609053498,0.5948967979054857,0.8653366583541147,0.5310663490898688
qwen,0,length+template+entropy,single statistic,38,ent_max_+,0.8369050068587105,0.7878931101174743,0.7032418952618454,0.5436657732228033
qwen,1,length+template,FIS,120,w1_t12_k4_probability,0.7219308035714285,0.688745076683426,0.9181494661921709,0.5183033396233583
qwen,1,length+template,Mahalanobis,120,mcd_sNone_k8,0.7491868622448979,0.7248008510530515,0.8505338078291815,0.6816434695609226
qwen,1,length+template,IsolationForest,96,n200_mf0.5_cauto_k8,0.7335140306122448,0.7195482580007853,0.8167259786476868,0.6406770430972253
qwen,1,length+template,OneClassSVM,100,nu0.5_g1.0_rbf_k8,0.7639859693877551,0.7439052190321805,0.8540925266903915,0.5506515874925596
qwen,1,length+template,single statistic,38,ent_max_+,0.8259821428571429,0.817785045782095,0.6548042704626335,0.7410652094071757
qwen,1,length+template+entropy,FIS,120,w1_t12_k4_probability,0.7219308035714285,0.6580895759017044,0.9149425287356322,0.5243915973047959
qwen,1,length+template+entropy,Mahalanobis,120,mcd_sNone_k8,0.7491868622448979,0.6942000264235697,0.8919540229885058,0.6635803937111904
qwen,1,length+template+entropy,IsolationForest,96,n200_mf0.5_cauto_k8,0.7335140306122448,0.6545329634033558,0.8735632183908046,0.5944510503369004
qwen,1,length+template+entropy,OneClassSVM,100,nu0.5_g1.0_rbf_k8,0.7639859693877551,0.7087805522526094,0.8597701149425288,0.5484951776985071
qwen,1,length+template+entropy,single statistic,38,ent_max_+,0.8259821428571429,0.7605099748976087,0.7494252873563219,0.5396432818073722
qwen,2,length+template,FIS,120,w1_t12_k4_einstein,0.7024665178571429,0.6808708690576822,0.8589743589743589,0.5813559151471239
qwen,2,length+template,Mahalanobis,120,mcd_sNone_k8,0.7180452806122448,0.7262173113821465,0.8571428571428571,0.6691925290826389
qwen,2,length+template,IsolationForest,96,n200_mf1.0_cauto_k8,0.7219547193877551,0.7303667028941754,0.782051282051282,0.6660326852634544
qwen,2,length+template,OneClassSVM,100,nu0.5_g1.0_rbf_k8,0.7288998724489797,0.7398630063465228,0.8717948717948718,0.5179795784191388
qwen,2,length+template,single statistic,38,ent_max_+,0.8298533163265306,0.8233405788350843,0.6172161172161172,0.732627567792403
qwen,2,length+template+entropy,FIS,120,w1_t12_k4_einstein,0.7024665178571429,0.6623447361919094,0.8909952606635071,0.5915410705060533
qwen,2,length+template+entropy,Mahalanobis,120,mcd_sNone_k8,0.7180452806122448,0.6932290379820758,0.8886255924170616,0.6485085689899148
qwen,2,length+template+entropy,IsolationForest,96,n200_mf1.0_cauto_k8,0.7219547193877551,0.6652927831809706,0.8270142180094787,0.6006547471979515
qwen,2,length+template+entropy,OneClassSVM,100,nu0.5_g1.0_rbf_k8,0.7288998724489797,0.7024213292603492,0.8720379146919431,0.5123930280092541
qwen,2,length+template+entropy,single statistic,38,ent_max_+,0.8298533163265306,0.7771444936097571,0.7061611374407583,0.5468879854450709
qwen,3,length+template,FIS,120,w1_t8_k3_einstein,0.6935810660753517,0.6796931396512202,0.9092526690391459,0.6229404389508746
qwen,3,length+template,Mahalanobis,120,mcd_sNone_k8,0.7125812744933904,0.72154924583022,0.8345195729537367,0.685319334861514
qwen,3,length+template,IsolationForest,96,n50_mf0.7_cauto_k8,0.7071316552833973,0.7235122402198553,0.7953736654804271,0.6732817466850725
