model,n_fit,seed,fis,mahalanobis,entropy,d_mahal
lfm,200,2,0.6586439344618055,0.6854180230034722,0.7864583333333335,-0.02677408854166674
lfm,200,3,0.6059935308790878,0.6967393985910474,0.7954277569145584,-0.09074586771195958
lfm,200,4,0.5716654459635417,0.6881442599826388,0.7998996310763888,-0.1164788140190971
lfm,200,5,0.6268375780064092,0.723123629617136,0.8002428740091078,-0.0962860516107269
lfm,200,6,0.601023621001169,0.6926944946327984,0.8109854926134552,-0.0916708736316294
lfm,200,7,0.6282374768089054,0.7205801990217575,0.8186608196997808,-0.09234272221285211
lfm,280,0,0.6151897453196153,0.7167346938775511,0.8265542249957835,-0.10154494855793572
lfm,280,1,0.6480301672542697,0.7132279354530647,0.7929435312432546,-0.06519776819879508
lfm,280,2,0.6345689561631944,0.7040337456597223,0.7864583333333335,-0.0694647894965279
lfm,280,3,0.5149804007565582,0.6917230887311203,0.7954277569145584,-0.17674268797456216
lfm,280,4,0.593349880642361,0.7043117947048612,0.7998996310763888,-0.11096191406250011
lfm,280,5,0.628601787822567,0.7054612919547985,0.8002428740091078,-0.07685950413223142
lfm,280,6,0.6148700712084174,0.6931395472420023,0.8109854926134552,-0.07826947603358492
lfm,280,7,0.6045977399224153,0.7116613256872997,0.8186608196997808,-0.1070635857648844
lfm,400,0,0.6118232416933715,0.7229886996120761,0.8265542249957835,-0.11116545791870458
lfm,400,1,0.6277627697359384,0.6953185811186477,0.7929435312432546,-0.06755581138270939
lfm,400,2,0.6313646104600695,0.7179361979166667,0.7864583333333335,-0.08657158745659721
lfm,400,3,0.6477824072805022,0.6922644664345824,0.7954277569145584,-0.04448205915408021
lfm,400,4,0.601776123046875,0.6941460503472221,0.7998996310763888,-0.0923699273003471
lfm,400,5,0.6379085849215719,0.7074852420306966,0.8002428740091078,-0.06957665710912475
lfm,400,6,0.5667047507705388,0.7074675842278669,0.8109854926134552,-0.1407628334573281
lfm,400,7,0.6217979423174228,0.7052993759487267,0.8186608196997808,-0.08350143363130391
lfm,550,0,0.6466992747512228,0.7321909259571597,0.8265542249957835,-0.08549165120593694
lfm,550,1,0.6306081200410776,0.7009700355178211,0.7929435312432546,-0.07036191547674353
lfm,550,2,0.6472507052951388,0.7178751627604166,0.7864583333333335,-0.07062445746527779
lfm,550,3,0.562241303692333,0.6987335873468381,0.7954277569145584,-0.13649228365450505
lfm,550,4,0.6080186631944444,0.7056749131944445,0.7998996310763888,-0.09765625000000011
lfm,550,5,0.6294990723562153,0.6963467701130038,0.8002428740091078,-0.06684769775678856
lfm,550,6,0.6448978371771708,0.7089355935806143,0.8109854926134552,-0.06403775640344356
lfm,550,7,0.6305110473941642,0.7130038792376455,0.8186608196997808,-0.08249283184348133
lfm,760,0,0.6496205093607691,0.7326496879743634,0.8265542249957835,-0.08302917861359427
lfm,760,1,0.7046166626330284,0.7056010884282546,0.7929435312432546,-0.0009844257952262847
lfm,760,2,0.6628485785590278,0.710110134548611,0.7864583333333335,-0.04726155598958326
lfm,760,3,0.5442901784490556,0.7085469148323785,0.7954277569145584,-0.16425673638332294
lfm,760,4,0.6189405653211806,0.7198757595486112,0.7998996310763888,-0.10093519422743058
lfm,760,5,0.6649586776859504,0.6983234946871311,0.8002428740091078,-0.03336481700118066
lfm,760,6,0.5626893134233182,0.7113003507280264,0.8109854926134552,-0.14861103730470826
lfm,760,7,0.5943025805363468,0.7180502614268849,0.8186608196997808,-0.12374768089053811
