model,template,seed,n,auroc_entropy,auroc_fis,est_k20,est_k50,est_k100,est_k200,kg_std,kg_iqr,kg_range,kg_skew,kg_kurt,kg_mean,kg_cv,kg_bimod
lfm,paradox,4,78,0.8507560815253123,0.7794214332675871,0.77,0.8128,0.8507560815253123,0.8507560815253123,0.28290372024393623,0.372647225856781,0.7376602351665498,0.3786059383234341,0.1286422904294091,1.0040421227483374,0.28176479208639843,0.36544364936376267
lfm,reaction,4,74,0.7633308984660336,0.6033601168736304,0.69,0.7791999999999999,0.7633308984660336,0.7633308984660336,0.28290372024393623,0.372647225856781,0.7376602351665498,0.3786059383234341,0.1286422904294091,1.0040421227483374,0.28176479208639843,0.36544364936376267
lfm,researcher,4,162,0.7654320987654321,0.5674439871970737,0.92,0.7072,0.6868000000000001,0.7654320987654321,0.28290372024393623,0.372647225856781,0.7376602351665498,0.3786059383234341,0.1286422904294091,1.0040421227483374,0.28176479208639843,0.36544364936376267
lfm,theorem,4,70,0.8824489795918368,0.4061224489795918,0.99,0.8752,0.8824489795918368,0.8824489795918368,0.28290372024393623,0.372647225856781,0.7376602351665498,0.3786059383234341,0.1286422904294091,1.0040421227483374,0.28176479208639843,0.36544364936376267
lfm,algorithm,5,134,0.9554466473602139,0.47738917353530846,0.9500000000000001,0.9359999999999999,0.9588,0.9554466473602139,0.2805220281817571,0.34344178438186646,0.7281390607357026,0.4788305787706995,0.40508736874770435,1.0062080409181746,0.27879128022768207,0.3610123881364503
lfm,conjecture,5,62,0.7034339229968782,0.4890738813735692,0.69,0.6576000000000001,0.7034339229968782,0.7034339229968782,0.2805220281817571,0.34344178438186646,0.7281390607357026,0.4788305787706995,0.40508736874770435,1.0062080409181746,0.27879128022768207,0.3610123881364503
lfm,constant,5,48,0.9114583333333333,0.6197916666666667,1.0,0.9114583333333333,0.9114583333333333,0.9114583333333333,0.2805220281817571,0.34344178438186646,0.7281390607357026,0.4788305787706995,0.40508736874770435,1.0062080409181746,0.27879128022768207,0.3610123881364503
lfm,effect,5,52,0.8831360946745562,0.7455621301775149,0.91,0.8752,0.8831360946745562,0.8831360946745562,0.2805220281817571,0.34344178438186646,0.7281390607357026,0.4788305787706995,0.40508736874770435,1.0062080409181746,0.27879128022768207,0.3610123881364503
lfm,element,5,132,0.716712580348944,0.6713728191000918,0.72,0.7904,0.7156,0.716712580348944,0.2805220281817571,0.34344178438186646,0.7281390607357026,0.4788305787706995,0.40508736874770435,1.0062080409181746,0.27879128022768207,0.3610123881364503
lfm,experiment,5,52,0.5517751479289941,0.7655325443786983,0.5,0.5616,0.5517751479289941,0.5517751479289941,0.2805220281817571,0.34344178438186646,0.7281390607357026,0.4788305787706995,0.40508736874770435,1.0062080409181746,0.27879128022768207,0.3610123881364503
lfm,law,5,66,0.9788797061524335,0.5339761248852157,1.0,0.9904,0.9788797061524335,0.9788797061524335,0.2805220281817571,0.34344178438186646,0.7281390607357026,0.4788305787706995,0.40508736874770435,1.0062080409181746,0.27879128022768207,0.3610123881364503
lfm,paradox,5,72,0.7530864197530864,0.6550925925925926,0.76,0.7103999999999999,0.7530864197530864,0.7530864197530864,0.2805220281817571,0.34344178438186646,0.7281390607357026,0.4788305787706995,0.40508736874770435,1.0062080409181746,0.27879128022768207,0.3610123881364503
lfm,reaction,5,84,0.7301587301587301,0.5065192743764172,0.84,0.6688,0.7301587301587301,0.7301587301587301,0.2805220281817571,0.34344178438186646,0.7281390607357026,0.4788305787706995,0.40508736874770435,1.0062080409181746,0.27879128022768207,0.3610123881364503
lfm,researcher,5,192,0.7548828125000001,0.536892361111111,0.7,0.688,0.7620000000000001,0.7548828125000001,0.2805220281817571,0.34344178438186646,0.7281390607357026,0.4788305787706995,0.40508736874770435,1.0062080409181746,0.27879128022768207,0.3610123881364503
lfm,theorem,5,62,0.9344432882414152,0.41935483870967744,0.9600000000000001,0.9344,0.9344432882414152,0.9344432882414152,0.2805220281817571,0.34344178438186646,0.7281390607357026,0.4788305787706995,0.40508736874770435,1.0062080409181746,0.27879128022768207,0.3610123881364503
sl135,algorithm,0,154,0.7343565525383707,0.5699949401248102,0.67,0.6592,0.7263999999999999,0.7343565525383707,0.29200333373926074,0.4025183916091919,0.7663534522056579,-0.27096117310520945,-0.021143588693111504,1.2812430066456042,0.22790628475377386,0.36034632380930115
sl135,conjecture,0,58,0.6052318668252081,0.6569560047562426,0.6599999999999999,0.552,0.6052318668252081,0.6052318668252081,0.29200333373926074,0.4025183916091919,0.7663534522056579,-0.27096117310520945,-0.021143588693111504,1.2812430066456042,0.22790628475377386,0.36034632380930115
sl135,constant,0,44,0.8429752066115702,0.7107438016528925,0.8200000000000001,0.8429752066115702,0.8429752066115702,0.8429752066115702,0.29200333373926074,0.4025183916091919,0.7663534522056579,-0.27096117310520945,-0.021143588693111504,1.2812430066456042,0.22790628475377386,0.36034632380930115
sl135,effect,0,60,0.7622222222222222,0.5883333333333334,0.7300000000000001,0.7552000000000001,0.7622222222222222,0.7622222222222222,0.29200333373926074,0.4025183916091919,0.7663534522056579,-0.27096117310520945,-0.021143588693111504,1.2812430066456042,0.22790628475377386,0.36034632380930115
sl135,element,0,144,0.6865354938271604,0.706983024691358,0.7200000000000001,0.7216,0.6628000000000001,0.6865354938271604,0.29200333373926074,0.4025183916091919,0.7663534522056579,-0.27096117310520945,-0.021143588693111504,1.2812430066456042,0.22790628475377386,0.36034632380930115
sl135,experiment,0,50,0.7152,0.7439999999999999,0.73,0.7152,0.7152,0.7152,0.29200333373926074,0.4025183916091919,0.7663534522056579,-0.27096117310520945,-0.021143588693111504,1.2812430066456042,0.22790628475377386,0.36034632380930115
sl135,law,0,66,0.9146005509641874,0.5587695133149678,0.8300000000000001,0.8752,0.9146005509641874,0.9146005509641874,0.29200333373926074,0.4025183916091919,0.7663534522056579,-0.27096117310520945,-0.021143588693111504,1.2812430066456042,0.22790628475377386,0.36034632380930115
sl135,paradox,0,68,0.6384083044982698,0.4649653979238754,0.67,0.6367999999999999,0.6384083044982698,0.6384083044982698,0.29200333373926074,0.4025183916091919,0.7663534522056579,-0.27096117310520945,-0.021143588693111504,1.2812430066456042,0.22790628475377386,0.36034632380930115
sl135,reaction,0,76,0.5325484764542936,0.6492382271468145,0.6799999999999999,0.5055999999999999,0.5325484764542936,0.5325484764542936,0.29200333373926074,0.4025183916091919,0.7663534522056579,-0.27096117310520945,-0.021143588693111504,1.2812430066456042,0.22790628475377386,0.36034632380930115
sl135,researcher,0,166,0.7548265350558863,0.7632457541007404,0.8,0.7952,0.7504000000000001,0.7548265350558863,0.29200333373926074,0.4025183916091919,0.7663534522056579,-0.27096117310520945,-0.021143588693111504,1.2812430066456042,0.22790628475377386,0.36034632380930115
sl135,theorem,0,64,0.767578125,0.41455078125,0.61,0.7296,0.767578125,0.767578125,0.29200333373926074,0.4025183916091919,0.7663534522056579,-0.27096117310520945,-0.021143588693111504,1.2812430066456042,0.22790628475377386,0.36034632380930115
sl135,algorithm,1,144,0.7748842592592593,0.644579475308642,0.87,0.8160000000000001,0.7936,0.7748842592592593,0.28981064858005107,0.38620030879974365,0.7420724153518677,-0.1863581401600118,0.11084247971366201,1.2896687163418508,0.22471712671869928,0.3326202991051222
sl135,conjecture,1,42,0.7414965986394557,0.6621315192743764,0.76,0.7414965986394557,0.7414965986394557,0.7414965986394557,0.28981064858005107,0.38620030879974365,0.7420724153518677,-0.1863581401600118,0.11084247971366201,1.2896687163418508,0.22471712671869928,0.3326202991051222
sl135,constant,1,36,0.845679012345679,0.4629629629629629,0.8300000000000001,0.845679012345679,0.845679012345679,0.845679012345679,0.28981064858005107,0.38620030879974365,0.7420724153518677,-0.1863581401600118,0.11084247971366201,1.2896687163418508,0.22471712671869928,0.3326202991051222
sl135,effect,1,72,0.7685185185185185,0.8395061728395061,0.79,0.7647999999999999,0.7685185185185185,0.7685185185185185,0.28981064858005107,0.38620030879974365,0.7420724153518677,-0.1863581401600118,0.11084247971366201,1.2896687163418508,0.22471712671869928,0.3326202991051222
sl135,element,1,154,0.7530780907404283,0.7187552707033227,1.0,0.7088000000000001,0.7719999999999999,0.7530780907404283,0.28981064858005107,0.38620030879974365,0.7420724153518677,-0.1863581401600118,0.11084247971366201,1.2896687163418508,0.22471712671869928,0.3326202991051222
sl135,experiment,1,52,0.7707100591715976,0.834319526627219,0.8900000000000001,0.7728,0.7707100591715976,0.7707100591715976,0.28981064858005107,0.38620030879974365,0.7420724153518677,-0.1863581401600118,0.11084247971366201,1.2896687163418508,0.22471712671869928,0.3326202991051222
