seed,condition,detector,auroc,fpr95,n_neg,n_pos,train_ms,n_params,samples_per_sec,structure
4,length,FIS · curve,0.484933793571752,1.0,188,188,706.7691999982344,47,219472.33162737638,2R/23MF
4,length,FIS · agg,0.5824185151652331,1.0,188,188,688.8728000049014,37,215312.3751371924,2R/18MF
4,length,OneClassSVM · deltaref,0.6271502942507922,0.8191489361702128,188,188,1.490199996624142,343,181397.14444172263,38SV
4,length,Mahalanobis · stats,0.850526256224536,0.5691489361702128,188,188,0.7779000006848946,209,516412.58080796845,19f
4,length,mean entropy,0.8457163875056586,0.48404255319148937,188,188,0.0,0,1250415.6758017237,threshold
4,length,perplexity,0.8237041647804437,0.5797872340425532,188,188,0.0,0,1634782.6758515828,threshold
4,length,n_tokens (control),0.5,0.9468085106382979,188,188,0.0,0,1784527.7335697,threshold
4,length+template,FIS · centroid,0.631686994324357,1.0,182,182,765.5208000069251,61,169168.56335309183,2R/30MF
4,length+template,FIS · delta,0.48523729018234507,1.0,182,182,761.70830000774,45,206700.73912577349,2R/22MF
4,length+template,FIS · deltaref,0.6095127400072455,1.0,182,182,787.7797999972245,57,193606.72336336193,2R/28MF
4,length+template,FIS · geom,0.6177997826349475,1.0,182,182,727.1426000079373,41,216229.06049202813,2R/20MF
4,length+template,FIS · curve,0.46763675884555006,1.0,182,182,706.7691999982344,47,216164.8551631088,2R/23MF
4,length+template,FIS · agg,0.6517328825021134,1.0,182,182,688.8728000049014,37,232054.0613940351,2R/18MF
4,length+template,OneClassSVM · deltaref,0.578341987682647,0.8791208791208791,182,182,1.490199996624142,343,187880.66513071628,38SV
4,length+template,Mahalanobis · stats,0.8597391619369641,0.532967032967033,182,182,0.7779000006848946,209,463281.1494635785,19f
4,length+template,mean entropy,0.844734935394276,0.5494505494505495,182,182,0.0,0,1148264.9908324769,threshold
4,length+template,perplexity,0.831330757154933,0.521978021978022,182,182,0.0,0,1518564.9256397714,threshold
4,length+template,n_tokens (control),0.5,0.945054945054945,182,182,0.0,0,2651128.9585771724,threshold
4,length+template+entropy,FIS · centroid,0.6429208106586601,1.0,146,146,765.5208000069251,61,256185.2975750123,2R/30MF
4,length+template+entropy,FIS · delta,0.43490805029086127,1.0,146,146,761.70830000774,45,315914.74802077893,2R/22MF
4,length+template+entropy,FIS · deltaref,0.6033261399887409,1.0,146,146,787.7797999972245,57,320491.7146146286,2R/28MF
4,length+template+entropy,FIS · geom,0.5228466879339464,1.0,146,146,727.1426000079373,41,361207.3230643446,2R/20MF
4,length+template+entropy,FIS · curve,0.44855976731094016,1.0,146,146,706.7691999982344,47,359119.42293793487,2R/23MF
4,length+template+entropy,FIS · agg,0.6608416213173203,1.0,146,146,688.8728000049014,37,364271.4541204857,2R/18MF
4,length+template+entropy,OneClassSVM · deltaref,0.6171889660349034,0.7602739726027398,146,146,1.490199996624142,343,282918.32162560953,38SV
4,length+template+entropy,Mahalanobis · stats,0.7979921185963595,0.589041095890411,146,146,0.7779000006848946,209,652076.8344687109,19f
4,length+template+entropy,mean entropy,0.6606774254081441,0.726027397260274,146,146,0.0,0,1776155.7138937686,threshold
4,length+template+entropy,perplexity,0.6385344342278101,0.7602739726027398,146,146,0.0,0,1423001.911599103,threshold
4,length+template+entropy,n_tokens (control),0.5,0.9452054794520548,146,146,0.0,0,1870595.827479349,threshold
5,raw,FIS · centroid,0.5860544795930377,1.0,188,1627,749.2092000029515,51,594283.094571287,2R/25MF
5,raw,FIS · delta,0.5650590435339812,1.0,188,1627,792.7999999956228,45,668557.5380539311,2R/22MF
5,raw,FIS · deltaref,0.5708653179719887,1.0,188,1627,749.3230999971274,63,593699.9097865035,2R/31MF
5,raw,FIS · geom,0.666972890975428,1.0,188,1627,768.4571999998298,49,642182.3588878568,2R/24MF
5,raw,FIS · curve,0.5341935947900457,1.0,188,1627,729.2655000055674,55,635994.1121692606,2R/27MF
5,raw,FIS · agg,0.6709941283395886,1.0,188,1627,714.2762000003131,37,700393.6096856254,2R/18MF
5,raw,OneClassSVM · deltaref,0.6258941531862585,0.8776595744680851,188,1627,2.4645999947097152,343,296046.19297383365,38SV
