seed,condition,detector,whitened,auroc,fpr95,n_neg,n_pos,train_ms,n_params,structure,samples_per_sec
4,length+template,n_tokens (control),False,,1.0,572,572,0.0,0,threshold,6725455.610198249
4,length+template+entropy,FIS · stats,True,0.6343338750066599,0.8886861313868614,548,548,2682.4328000075184,231,4R/115MF/19ant,536649.8568471884
4,length+template+entropy,Mahalanobis · stats,False,0.5998721295753636,0.8905109489051095,548,548,1.69419999292586,209,19f full cov,2222222.2173830713
4,length+template+entropy,OneClassSVM · stats,False,0.5788900580744846,0.9434306569343066,548,548,4.314299992984161,1661,83SV,265523.1728265086
4,length+template+entropy,IsolationForest · stats,False,0.5651506473440248,0.8996350364963503,548,548,97.73479998693801,10768,100 trees,197132.93924512956
4,length+template+entropy,mean entropy,False,0.5238924556449465,0.9142335766423357,548,548,0.0,0,threshold,4716007.000864975
4,length+template+entropy,perplexity,False,0.5051847461239278,0.9032846715328468,548,548,0.0,0,threshold,6035242.278783123
4,length+template+entropy,n_tokens (control),False,,1.0,548,548,0.0,0,threshold,6280802.130121471
5,length+template,FIS · stats,True,0.6409726636999364,0.8793706293706294,572,572,1837.971999993897,145,4R/72MF/12ant,675963.1317715137
5,length+template,Mahalanobis · stats,False,0.6158858623893588,0.9178321678321678,572,572,1.4235999988159165,209,19f full cov,1761626.1240084912
5,length+template,OneClassSVM · stats,False,0.5453414592400606,0.951048951048951,572,572,2.428200008580461,1621,81SV,220275.34382744363
5,length+template,IsolationForest · stats,False,0.6008942980096826,0.8898601398601399,572,572,91.57420000701677,10980,100 trees,163601.521616781
5,length+template,mean entropy,False,0.5514175509804881,0.8916083916083916,572,572,0.0,0,threshold,3507050.937725698
5,length+template,perplexity,False,0.5256430632304758,0.8916083916083916,572,572,0.0,0,threshold,4895164.653702656
5,length+template,n_tokens (control),False,,1.0,572,572,0.0,0,threshold,5694375.260062714
5,length+template+entropy,FIS · stats,True,0.6390624950704958,0.8863232682060391,563,563,1837.971999993897,145,4R/72MF/12ant,712793.5644584622
5,length+template+entropy,Mahalanobis · stats,False,0.6009136540166389,0.9289520426287744,563,563,1.4235999988159165,209,19f full cov,1813204.511110973
5,length+template+entropy,OneClassSVM · stats,False,0.5449081771403512,0.9484902309058615,563,563,2.428200008580461,1621,81SV,243275.35924315176
5,length+template+entropy,IsolationForest · stats,False,0.5942473869684417,0.9023090586145648,563,563,91.57420000701677,10980,100 trees,176276.28079540713
5,length+template+entropy,mean entropy,False,0.5138136537011506,0.9360568383658969,563,563,0.0,0,threshold,3428745.4567243587
5,length+template+entropy,perplexity,False,0.49128779155059327,0.9449378330373002,563,563,0.0,0,threshold,5104260.960605539
5,length+template+entropy,n_tokens (control),False,,1.0,563,563,0.0,0,threshold,5503421.28646014
6,length+template,FIS · stats,True,0.6789314269646438,0.8881118881118881,572,572,628.7137999897823,35,2R/17MF/6ant,1771446.2712324678
6,length+template,Mahalanobis · stats,False,0.6152134578708006,0.9038461538461539,572,572,1.8170999974245206,209,19f full cov,2021915.8680683966
6,length+template,OneClassSVM · stats,False,0.5585114186512787,0.9527972027972028,572,572,4.526799995801412,1641,82SV,257831.8686143026
6,length+template,IsolationForest · stats,False,0.582397060980977,0.9125874125874126,572,572,103.70840001269244,10854,100 trees,186925.05049850326
6,length+template,mean entropy,False,0.5497854418308964,0.8968531468531469,572,572,0.0,0,threshold,3733681.5812871484
6,length+template,perplexity,False,0.5315571666096142,0.8898601398601399,572,572,0.0,0,threshold,6104589.085907084
6,length+template,n_tokens (control),False,,1.0,572,572,0.0,0,threshold,6713614.929341144
6,length+template+entropy,FIS · stats,True,0.6614578581761785,0.9061371841155235,554,554,628.7137999897823,35,2R/17MF/6ant,1871305.5307818598
6,length+template+entropy,Mahalanobis · stats,False,0.6156179540981898,0.9187725631768953,554,554,1.8170999974245206,209,19f full cov,1928633.5643779254
