model,template,seed,n,entropy,fis,fusion
qwen,conjecture,5,62,0.8293444328824141,0.3995837669094693,0.7180020811654526
qwen,constant,5,62,0.9240374609781478,0.5088449531737773,0.8100936524453695
qwen,effect,5,68,0.8019031141868512,0.6660899653979239,0.7759515570934256
qwen,element,5,152,0.7335526315789473,0.5647506925207756,0.6779778393351801
qwen,experiment,5,34,0.5882352941176471,0.48788927335640137,0.5449826989619377
qwen,law,5,56,0.9719387755102041,0.6377551020408164,0.8756377551020409
qwen,paradox,5,62,0.6888657648283039,0.6337148803329865,0.6670135275754422
qwen,reaction,5,78,0.5384615384615385,0.6380670611439843,0.6111111111111112
qwen,researcher,5,194,0.7819109363375492,0.7629928791582528,0.8167180359230525
qwen,theorem,5,58,0.8489892984542212,0.4340071343638525,0.7990487514863258
gemma,algorithm,0,156,0.7495069033530573,0.642422748191979,0.7366042077580539
gemma,conjecture,0,60,0.44666666666666666,0.6188888888888889,0.555
gemma,constant,0,54,0.41838134430727025,0.46707818930041156,0.44924554183813437
gemma,effect,0,82,0.43842950624628196,0.7233789411064844,0.617787031528852
gemma,element,0,152,0.518871191135734,0.6857686980609419,0.642139889196676
gemma,experiment,0,54,0.6364883401920439,0.6488340192043895,0.6989026063100137
gemma,law,0,46,0.6427221172022684,0.5595463137996219,0.6739130434782609
gemma,paradox,0,76,0.4425207756232687,0.41031855955678675,0.41135734072022156
gemma,reaction,0,52,0.6745562130177515,0.7396449704142012,0.7847633136094675
gemma,researcher,0,206,0.6016589688000754,0.691205580167782,0.6795173908945236
gemma,theorem,0,66,0.6170798898071626,0.4315886134067952,0.5505050505050505
gemma,algorithm,1,140,0.7648979591836734,0.44102040816326527,0.6425510204081633
gemma,conjecture,1,68,0.5683391003460206,0.5821799307958477,0.5938581314878894
gemma,constant,1,56,0.5663265306122449,0.6498724489795917,0.6505102040816326
gemma,effect,1,58,0.47205707491082044,0.638525564803805,0.6307966706302022
gemma,element,1,154,0.5108787316579524,0.5831506156181481,0.5743801652892562
gemma,experiment,1,48,0.4722222222222222,0.6206597222222221,0.5833333333333333
gemma,law,1,76,0.6862880886426592,0.5654432132963989,0.7143351800554016
gemma,paradox,1,54,0.3854595336076817,0.47942386831275724,0.4046639231824417
gemma,reaction,1,62,0.5369406867845994,0.4151925078043704,0.4651404786680541
gemma,researcher,1,202,0.5934712283109499,0.672385060288207,0.6808156063131064
gemma,theorem,1,76,0.605263157894737,0.5121191135734072,0.6121883656509696
gemma,algorithm,2,148,0.6882761139517896,0.6304784514243974,0.6911066471877283
gemma,conjecture,2,76,0.6059556786703602,0.7358033240997229,0.7171052631578947
gemma,constant,2,50,0.5840000000000001,0.5768,0.6327999999999999
gemma,effect,2,82,0.45270672218917307,0.7323022010707912,0.607674003569304
gemma,element,2,126,0.5444696397077349,0.5958679768203577,0.5765936004031242
gemma,experiment,2,58,0.5374554102259216,0.5862068965517242,0.5725326991676576
gemma,law,2,74,0.7348429510591673,0.5321402483564646,0.6994156318480643
gemma,paradox,2,78,0.48783694937541094,0.35437212360289283,0.41222879684418146
gemma,reaction,2,52,0.46597633136094674,0.4837278106508876,0.45118343195266275
gemma,researcher,2,192,0.5706380208333333,0.6531575520833334,0.6425238715277778
gemma,theorem,2,54,0.6008230452674896,0.46227709190672156,0.5685871056241426
gemma,algorithm,3,150,0.7086222222222222,0.6773333333333333,0.7288888888888888
gemma,conjecture,3,70,0.510204081632653,0.553469387755102,0.5546938775510204
gemma,constant,3,52,0.2559171597633136,0.5392011834319527,0.4068047337278107
gemma,effect,3,78,0.4352399737015122,0.7034845496383959,0.5588428665351742
gemma,element,3,152,0.5560941828254847,0.6331371191135734,0.6083795013850415
gemma,experiment,3,48,0.5260416666666666,0.5078125,0.5425347222222222
gemma,law,3,54,0.6419753086419754,0.5267489711934157,0.6584362139917695
gemma,paradox,3,62,0.4193548387096774,0.34859521331945886,0.3517169614984391
gemma,reaction,3,66,0.620752984389348,0.5399449035812671,0.6014692378328742
gemma,researcher,3,202,0.6137633565336732,0.7424272130183316,0.704244681893932
gemma,theorem,3,60,0.5855555555555556,0.5911111111111111,0.65
gemma,algorithm,4,152,0.744286703601108,0.6698407202216067,0.7525103878116344
gemma,conjecture,4,66,0.3911845730027549,0.6978879706152433,0.5541781450872361
gemma,constant,4,56,0.33163265306122447,0.6460459183673469,0.5197704081632653
gemma,effect,4,70,0.489795918367347,0.6951020408163266,0.6575510204081633
gemma,element,4,146,0.5119159316945018,0.6355789078626384,0.5808782135485082
gemma,experiment,4,36,0.5524691358024691,0.6172839506172839,0.5910493827160495
gemma,law,4,72,0.6072530864197532,0.5771604938271605,0.6381172839506173
gemma,paradox,4,62,0.413111342351717,0.3267429760665973,0.3371488033298647
gemma,reaction,4,64,0.455078125,0.6455078125,0.57373046875
gemma,researcher,4,206,0.5197473842963521,0.699971722122726,0.6400697520972759
gemma,theorem,4,62,0.6722164412070759,0.5796045785639958,0.7013527575442248
gemma,algorithm,5,148,0.7076333089846603,0.6515704894083273,0.7151205259313368
gemma,conjecture,5,54,0.42935528120713307,0.5912208504801097,0.49862825788751713
gemma,constant,5,60,0.4688888888888889,0.5305555555555556,0.5138888888888888
