pooling,l2,k,layer,val_tq,val_fp
first,False,32,12,0.4691961407386939,0.3760330578512397
first,False,32,14,0.4693458137607074,0.37654164017800384
first,False,32,16,0.4691184259003408,0.4101279402415766
first,False,32,18,0.4738604702035553,0.43488556897647807
first,False,32,20,0.47040215989684075,0.5171408137317228
first,False,32,22,0.47829741180805013,0.33150826446280995
first,False,32,24,0.4188930528691167,0.1584353146853147
first,False,32,26,0.4301487519572626,0.19122298156389067
first,False,32,28,0.44512468914064657,0.278893833439288
first,False,32,30,0.4374625817444966,0.2647171010807374
first,False,32,32,0.4024376554296767,0.2977630324221233
first,False,64,0,0.46800883070829885,0.4025389383343929
first,False,64,2,0.46622282858984987,0.35964717101080734
first,False,64,4,0.4695501750023027,0.3811705340114432
first,False,64,6,0.4638942617666022,0.41437539732994283
first,False,64,8,0.46759722989776176,0.4434917355371901
first,False,64,10,0.45540463525835867,0.3838525111252384
first,False,64,12,0.46422670857511283,0.39164017800381434
first,False,64,14,0.4677915169936447,0.37274316592498413
first,False,64,16,0.46693521460808696,0.42009297520661154
first,False,64,18,0.475380227042461,0.4499046408137317
first,False,64,20,0.4752564589665654,0.4984543865225683
first,False,64,22,0.4755730749746707,0.4212770184361093
first,False,64,24,0.42546571336464956,0.28903766687857596
first,False,64,26,0.4118857649442756,0.25717577876668785
first,False,64,28,0.3984684420189739,0.2918984424666243
first,False,64,30,0.415293704522428,0.2592339478703115
first,False,64,32,0.3712682485953763,0.29957485696122066
first,True,8,0,0.4652808959657364,0.38645700890019075
first,True,8,2,0.47782968361425804,0.39047202797202796
first,True,8,4,0.4821716404163212,0.4754330896376351
first,True,8,6,0.4714498710509349,0.39123490146217416
first,True,8,8,0.4708180781983974,0.4081373172282263
first,True,8,10,0.46520965736391273,0.2518157978385251
first,True,8,12,0.4820852905959289,0.265189923712651
first,True,8,14,0.4699891199226306,0.35572552447552447
first,True,8,16,0.4477065487703785,0.36245629370629373
first,True,8,18,0.4506424426637193,0.3603504450095359
first,True,8,20,0.4524140531454361,0.4165170057215512
first,True,8,22,0.47334237128120105,0.2368881118881119
first,True,8,24,0.4698365685732707,0.21059281627463447
first,True,8,26,0.4698437643916368,0.20570963127781308
first,True,8,28,0.45493115040987375,0.26060473617291796
first,True,8,30,0.4523521691074882,0.26387476160203427
first,True,8,32,0.42295869024592425,0.19456055308328035
first,True,16,0,0.4564566639034724,0.3862225842339479
first,True,16,2,0.4705302454637561,0.3333121424030515
first,True,16,4,0.47338986368241687,0.4276303242212333
first,True,16,6,0.45789726674035186,0.3852471392244119
first,True,16,8,0.4517491595284149,0.3749046408137317
first,True,16,10,0.4665567145620337,0.29109583598219957
first,True,16,12,0.4709389679469467,0.2776621106166561
first,True,16,14,0.46295736621534495,0.3122894151303242
first,True,16,16,0.4636452864511375,0.37770581691036237
first,True,16,18,0.4617369554204661,0.34980928162746344
first,True,16,20,0.46053381458966564,0.3607755880483154
first,True,16,22,0.46309408676429953,0.283836617927527
first,True,16,24,0.4570553559915262,0.20237205975842337
first,True,16,26,0.4551844432163581,0.17031150667514305
first,True,16,28,0.4573028921433177,0.22064923712650988
first,True,16,30,0.45423171686469554,0.2350007946598856
first,True,16,32,0.4157139403150041,0.18709869675778767
first,True,32,0,0.4558738026158239,0.3934877622377622
first,True,32,2,0.47234503085566915,0.35687380801017166
first,True,32,4,0.4705935686653772,0.39092498410680226
first,True,32,6,0.4611972690430137,0.4187778130959948
first,True,32,8,0.465330547112462,0.4101756198347108
first,True,32,10,0.463606429031961,0.3422004132231405
first,True,32,12,0.4768524914801511,0.37434440559440557
first,True,32,14,0.4782427235884683,0.3789653528289892
first,True,32,16,0.47247743391360414,0.3362166242848061
first,True,32,18,0.4842224486506401,0.4135727908455181
first,True,32,20,0.4781865962052132,0.538525111252384
first,True,32,22,0.47711873675969424,0.32220279720279726
first,True,32,24,0.42929676706272446,0.14853782581055308
first,True,32,26,0.4351627981947131,0.18071757787666878
first,True,32,28,0.44137998526296396,0.24094882390336936
first,True,32,30,0.434457607994842,0.2552447552447552
first,True,32,32,0.3699139955788892,0.20083836617927528
first,True,64,0,0.45782386939301833,0.39455260648442475
first,True,64,2,0.46768933637284704,0.3633741258741259
first,True,64,4,0.4639978815510731,0.34342418944691666
first,True,64,6,0.4660760338951829,0.413755562619199
first,True,64,8,0.4707489983420835,0.42778925619834707
first,True,64,10,0.45914358248134846,0.3912945009535919
first,True,64,12,0.4682419752233582,0.39885171646535283
first,True,64,14,0.47555292668324584,0.3973855689764781
first,True,64,16,0.47769440222897674,0.4620549904640814
first,True,64,18,0.481465011052777,0.48221551176096633
first,True,64,20,0.4866445611126462,0.5066671964399238
first,True,64,22,0.47717054665192965,0.45509376986649713
first,True,64,24,0.4358507184305056,0.3088088048315321
first,True,64,26,0.4154448167081146,0.2363159567705022
first,True,64,28,0.3967054665192963,0.26897647806738717
