pooling,l2,k,layer,val_tq,val_fp
prompt,True,16,4,0.5625618840379478,0.6075413223140496
prompt,True,16,6,0.5200014967302201,0.4565360775588049
prompt,True,16,8,0.509163155107304,0.5219326128417037
prompt,True,16,10,0.5254904669798286,0.5711101398601399
prompt,True,16,12,0.5437951897393387,0.5773800063572792
prompt,True,16,14,0.551690441650548,0.5611808645899555
prompt,True,16,16,0.5647350211844893,0.5499125874125874
prompt,True,16,18,0.568941696601271,0.6469922123331213
prompt,True,16,20,0.5661396449295386,0.6491656071201525
prompt,True,16,22,0.5612767108777746,0.5577360139860139
prompt,True,16,24,0.5340362208713272,0.5644270502225048
prompt,True,16,26,0.5144492032789905,0.4476636999364272
prompt,True,16,28,0.49399868748273,0.33103146853146853
prompt,True,16,30,0.45808004052684903,0.128560076287349
prompt,True,16,32,0.38515905636916276,0.13126191989828354
prompt,True,32,0,0.5,0.5
prompt,True,32,2,0.5811861011329096,0.5395700890019072
prompt,True,32,4,0.5657266049553283,0.640547520661157
prompt,True,32,6,0.5240671341070278,0.598490146217419
prompt,True,32,8,0.52302230128028,0.5710942466624285
prompt,True,32,10,0.541718476558902,0.6154998410680228
prompt,True,32,12,0.5651207170489085,0.5913262873490146
prompt,True,32,14,0.5604448742746615,0.5628774634456453
prompt,True,32,16,0.5661468407479046,0.6076128417037509
prompt,True,32,18,0.5771852261213963,0.7477908455181181
prompt,True,32,20,0.5797929906972461,0.6738874761602034
prompt,True,32,22,0.5532015635074146,0.6107199618563255
prompt,True,32,24,0.5382616054158608,0.570104895104895
prompt,True,32,26,0.503335981394492,0.499435791481246
prompt,True,32,28,0.4628364764667956,0.37886999364272095
prompt,True,32,30,0.45592417334438606,0.320287666878576
prompt,True,32,32,0.37198351294095977,0.20275746980292436
prompt,True,64,0,0.5,0.5
prompt,True,64,2,0.5825605024408216,0.5942863954227591
prompt,True,64,4,0.5635059754075711,0.6240980610298792
prompt,True,64,6,0.5377391890024869,0.6422321996185634
prompt,True,64,8,0.5329381389886709,0.7026382708200891
prompt,True,64,10,0.5459841576862854,0.589983312142403
prompt,True,64,12,0.5786632472137792,0.6106603623649078
prompt,True,64,14,0.5782631597126278,0.619159249841068
prompt,True,64,16,0.5664044510454085,0.6754013032422124
prompt,True,64,18,0.5848502118448927,0.7650905912269549
prompt,True,64,20,0.5932664410058027,0.7486649713922442
prompt,True,64,22,0.5635995210463296,0.6956293706293706
prompt,True,64,24,0.5603513286359031,0.5703711061665606
prompt,True,64,26,0.5142160587639312,0.48374125874125873
prompt,True,64,28,0.44814117619968685,0.39545454545454545
prompt,True,64,30,0.4353657202726352,0.32841306420851873
prompt,True,64,32,0.3507400179607626,0.19741338207247294
first,False,8,0,0.4681318792023579,0.3890873331214241
first,False,8,2,0.46913857419176563,0.3797242530197076
first,False,8,4,0.47837080915538366,0.48394787031150666
first,False,8,6,0.4683268858800774,0.4054672600127146
first,False,8,8,0.4703892074237819,0.3826366815003179
first,False,8,10,0.47153766003500047,0.2596749841068023
first,False,8,12,0.4781506171133831,0.2782660521296885
first,False,8,14,0.45838658238924196,0.36138350286077564
first,False,8,16,0.4570164985723496,0.37230212968849336
first,False,8,18,0.4491126116791011,0.36782819453274
first,False,8,20,0.4503430966196924,0.4730332167832167
first,False,8,22,0.47481895320991063,0.24487047043865226
first,False,8,24,0.4615872823984526,0.2054632867132867
first,False,8,26,0.461394434466243,0.2139979338842975
first,False,8,28,0.4459334991249885,0.26695804195804196
first,False,8,30,0.45610694713088334,0.2598140495867769
first,False,8,32,0.4350778875379939,0.26507867132867136
first,False,16,0,0.46807934972828585,0.39716505085823267
first,False,16,2,0.46497363452150686,0.3255324221233312
first,False,16,4,0.47006539559731053,0.41743881118881115
first,False,16,6,0.47979414202818466,0.35871741894469167
first,False,16,8,0.4687456825089804,0.39095677050222505
first,False,16,10,0.4552995763102146,0.3198188175460903
first,False,16,12,0.4612562747536152,0.3187698664971393
first,False,16,14,0.46232845169015385,0.3360259059122695
first,False,16,16,0.4598674818089712,0.38941513032422126
first,False,16,18,0.4547742815694943,0.36678719008264465
first,False,16,20,0.45479155153357276,0.3924388111888112
first,False,16,22,0.4642583701759234,0.29814446916719645
first,False,16,24,0.44860458690245925,0.21680705657978383
first,False,16,26,0.44517218154186233,0.1860775588048315
first,False,16,28,0.4569690061711338,0.23451605212968848
first,False,16,30,0.4600301073040435,0.22403448823903369
first,False,16,32,0.4158909574468085,0.286911951684679
first,False,32,0,0.46500241779497103,0.3995986967577877
first,False,32,2,0.4681800911854104,0.3472584233947871
first,False,32,4,0.4754737726812195,0.4265178003814367
first,False,32,6,0.46904358938933405,0.41750635727908453
first,False,32,8,0.46088928801694756,0.42505165289256197
first,False,32,10,0.455762987012987,0.3005443420216148
