model,template,seed,n,entropy,fis,fusion
smollm2,experiment,4,34,0.726643598615917,0.7647058823529412,0.8166089965397924
smollm2,law,4,54,0.9794238683127572,0.7956104252400549,0.9588477366255144
smollm2,paradox,4,56,0.7920918367346937,0.8099489795918366,0.8297193877551021
smollm2,reaction,4,60,0.7166666666666667,0.6733333333333333,0.7211111111111111
smollm2,researcher,4,178,0.9450826915793461,0.9118798131549046,0.9697639186971342
smollm2,theorem,4,68,0.9472318339100345,0.7253460207612457,0.9256055363321799
smollm2,algorithm,5,152,0.8242728531855956,0.7139023545706371,0.8157029085872576
smollm2,conjecture,5,54,0.7928669410150891,0.7311385459533608,0.855281207133059
smollm2,constant,5,52,0.7692307692307693,0.5850591715976331,0.7107988165680473
smollm2,effect,5,66,0.7860422405876951,0.6083562901744719,0.7516069788797062
smollm2,element,5,154,0.7726429414741103,0.6999494012481025,0.7965086861190758
smollm2,experiment,5,34,0.8512110726643598,0.7024221453287198,0.8442906574394464
smollm2,law,5,58,0.9619500594530321,0.6022592152199763,0.8668252080856124
smollm2,paradox,5,72,0.8695987654320988,0.44174382716049376,0.691358024691358
smollm2,reaction,5,68,0.6911764705882353,0.5748269896193772,0.6807958477508651
smollm2,researcher,5,178,0.9370029036737786,0.844211589445777,0.9624416109077136
smollm2,theorem,5,54,0.953360768175583,0.4828532235939644,0.8401920438957476
sl1700,algorithm,0,158,0.9354270149014581,0.9113122896971639,0.9510495112962666
sl1700,conjecture,0,56,0.8596938775510204,0.753826530612245,0.8386479591836735
sl1700,constant,0,46,0.9319470699432892,0.7504725897920604,0.8393194706994329
sl1700,effect,0,78,0.9493754109138725,0.9894806048652202,0.9783037475345168
sl1700,element,0,156,0.8357988165680473,0.8388395792241947,0.8679322813938197
sl1700,experiment,0,60,0.9066666666666667,0.8955555555555554,0.908888888888889
sl1700,law,0,42,0.9841269841269842,0.9614512471655329,0.9773242630385487
sl1700,paradox,0,70,0.9477551020408164,0.8930612244897959,0.9457142857142857
sl1700,reaction,0,50,0.7536,0.7568,0.7856
sl1700,researcher,0,204,0.9563629373317956,0.9411764705882353,0.9728469819300269
sl1700,theorem,0,60,0.9955555555555555,0.8766666666666666,0.9961111111111112
sl1700,algorithm,1,140,0.903061224489796,0.8290816326530612,0.9041836734693877
sl1700,conjecture,1,60,0.89,0.7066666666666667,0.8694444444444445
sl1700,constant,1,58,0.896551724137931,0.689655172413793,0.8638525564803805
sl1700,effect,1,58,0.9833531510107015,0.9690844233055885,0.9940546967895362
sl1700,element,1,146,0.8243572902983674,0.8377744417339088,0.851660724338525
sl1700,experiment,1,46,0.9243856332703214,0.9584120982986767,0.9546313799621928
sl1700,law,1,72,0.9984567901234568,0.9560185185185185,0.9953703703703703
sl1700,paradox,1,54,0.9204389574759946,0.7366255144032922,0.8518518518518517
sl1700,reaction,1,64,0.7958984375,0.80078125,0.8212890625
sl1700,researcher,1,198,0.9484746454443425,0.8919498010407101,0.9418426691153964
sl1700,theorem,1,78,0.9960552268244577,0.7718606180144642,0.9717291255752794
sl1700,algorithm,2,148,0.9107012417823228,0.9506939371804236,0.9737947406866325
sl1700,conjecture,2,70,0.796734693877551,0.8277551020408164,0.9
sl1700,constant,2,48,0.8958333333333334,0.7421875,0.9444444444444444
sl1700,effect,2,78,0.9566074950690335,0.8257725180802103,0.9687705456936226
sl1700,element,2,126,0.889140841521794,0.7734945830183926,0.8966994205089442
sl1700,experiment,2,60,0.8833333333333333,0.8483333333333333,0.9061111111111112
sl1700,law,2,62,0.9989594172736733,0.7918834547346513,0.9432882414151925
sl1700,paradox,2,78,0.89086127547666,0.591715976331361,0.8080210387902695
sl1700,reaction,2,52,0.8505917159763314,0.8210059171597633,0.8875739644970415
sl1700,researcher,2,188,0.9516749660479855,0.8338614757808963,0.952806699864192
sl1700,theorem,2,56,1.0,0.7346938775510203,0.9598214285714286
sl1700,algorithm,3,150,0.9372444444444444,0.9265777777777778,0.9614222222222222
sl1700,conjecture,3,62,0.8314255983350676,0.7294484911550468,0.8324661810613944
sl1700,constant,3,46,0.8714555765595463,0.782608695652174,0.8724007561436672
sl1700,effect,3,80,0.96375,0.983125,0.9865625
sl1700,element,3,144,0.9050925925925924,0.8783757716049383,0.9199459876543209
sl1700,experiment,3,54,0.8491083676268861,0.879286694101509,0.8683127572016461
sl1700,law,3,54,0.9958847736625513,0.9286694101508917,0.962962962962963
sl1700,paradox,3,52,0.8890532544378698,0.863905325443787,0.893491124260355
sl1700,reaction,3,72,0.7361111111111112,0.8341049382716049,0.8213734567901234
sl1700,researcher,3,202,0.9483383981962553,0.9153024213312421,0.9600039211841978
sl1700,theorem,3,54,1.0,0.8573388203017832,0.9828532235939642
sl1700,algorithm,4,152,0.9286703601108033,0.9544667590027701,0.9785318559556786
sl1700,conjecture,4,62,0.8324661810613945,0.8080124869927157,0.8668054110301769
sl1700,constant,4,48,0.8472222222222221,0.7465277777777778,0.845486111111111
sl1700,effect,4,70,0.9534693877551019,0.9657142857142857,0.9926530612244898
