variant,family,tnorm,sconorm,matched,nonfinite,auroc,auprc,fpr@95tpr
fused,FalsePremise,einstein,product,False,0.0,0.7822732524095145,0.8483447327073668,0.5722379603399433
fused,FalsePremise,einstein,hamacher,False,0.0,0.7814028202003577,0.8482043198965918,0.5609065155807366
fused,FalsePremise,einstein,minimum,False,0.0,0.7779843955243958,0.8473025116992802,0.5835694050991501
fused,FalsePremise,einstein,yager2,False,0.0,0.7808528653045721,0.8479384752767183,0.56657223796034
fused,FalsePremise,einstein,yager3,False,0.0,0.7796975643724182,0.8476696556634531,0.5779036827195467
fused,FalsePremise,einstein,dombi2,False,0.0,0.7794799563201291,0.8476376509269012,0.5807365439093485
fused,FalsePremise,einstein,ss2,False,0.0,,,
fused,FalsePremise,product,drastic,False,0.0,,,
fused,FalsePremise,product,lukasiewicz,False,0.0,,,
fused,FalsePremise,product,nilpotent,False,0.0,,,
fused,FalsePremise,product,einstein,False,0.0,0.7866471742605282,0.8524304302188986,0.6005665722379604
fused,FalsePremise,product,product,True,0.0,0.7864453922484055,0.8524434639734129,0.5722379603399433
fused,FalsePremise,product,hamacher,False,0.0,0.7856066121195815,0.8523379287493867,0.5722379603399433
fused,FalsePremise,product,minimum,False,0.0,0.7817509930840204,0.8512758566085015,0.5835694050991501
fused,FalsePremise,product,yager2,False,0.0,0.7850586354788169,0.8520956766450303,0.5750708215297451
fused,FalsePremise,product,yager3,False,0.0,0.7839092693117256,0.8518406295807074,0.5807365439093485
fused,FalsePremise,product,dombi2,False,0.0,0.7835155965625841,0.8517383691893734,0.5864022662889519
fused,FalsePremise,product,ss2,False,0.0,,,
fused,FalsePremise,hamacher,drastic,False,0.0,,,
fused,FalsePremise,hamacher,lukasiewicz,False,0.0,,,
fused,FalsePremise,hamacher,nilpotent,False,0.0,,,
fused,FalsePremise,hamacher,einstein,False,0.0,0.8038204060961908,0.8715481118328327,0.5949008498583569
fused,FalsePremise,hamacher,product,False,0.0,0.80313592985899,0.871322597221849,0.5835694050991501
fused,FalsePremise,hamacher,hamacher,True,0.0,0.800987544906389,0.8705288111921388,0.5694050991501416
fused,FalsePremise,hamacher,minimum,False,0.0,0.790716444838337,0.8653299091928993,0.5750708215297451
fused,FalsePremise,hamacher,yager2,False,0.0,0.8016759776536312,0.8706977050888727,0.5580736543909348
fused,FalsePremise,hamacher,yager3,False,0.0,0.799824330954152,0.8701622717872339,0.5920679886685553
fused,FalsePremise,hamacher,dombi2,False,0.0,0.7972130343266811,0.8689992973281243,0.6005665722379604
fused,FalsePremise,hamacher,ss2,False,0.0,,,
fused,FalsePremise,minimum,drastic,False,0.0,,,
fused,FalsePremise,minimum,lukasiewicz,False,0.0,,,
fused,FalsePremise,minimum,nilpotent,False,0.0,,,
fused,FalsePremise,minimum,einstein,False,0.0,0.8048312944118252,0.8729535096141041,1.0
fused,FalsePremise,minimum,product,False,0.0,0.8034524506623199,0.8736922550455029,0.6685552407932012
fused,FalsePremise,minimum,hamacher,False,0.0,0.804299143811227,0.8739849519448044,0.6515580736543909
fused,FalsePremise,minimum,minimum,True,0.0,0.7941467390444238,0.8696004134340626,0.6912181303116147
fused,FalsePremise,minimum,yager2,False,0.0,0.7949973887033727,0.8629385709687134,1.0
fused,FalsePremise,minimum,yager3,False,0.0,0.7988747685441626,0.8690065807767422,1.0
fused,FalsePremise,minimum,dombi2,False,0.0,0.7989499422349534,0.8713354697103939,1.0
fused,FalsePremise,minimum,ss2,False,0.0,,,
fused,FalsePremise,yager2,drastic,False,0.0,,,
fused,FalsePremise,yager2,lukasiewicz,False,0.0,,,
fused,FalsePremise,yager2,nilpotent,False,0.0,,,
fused,FalsePremise,yager2,einstein,False,0.0,0.7543580958108471,0.8117363744099342,0.5920679886685553
fused,FalsePremise,yager2,product,False,0.0,0.7519564942155823,0.8101246802550859,0.5722379603399433
fused,FalsePremise,yager2,hamacher,False,0.0,0.751153322677133,0.8101142118172485,0.5779036827195467
fused,FalsePremise,yager2,minimum,False,0.0,0.7360038457277606,0.8001192170868645,0.5892351274787535
fused,FalsePremise,yager2,yager2,True,0.0,0.7500276955702913,0.8092573043292087,0.5920679886685553
fused,FalsePremise,yager2,yager3,False,0.0,0.7467240096855365,0.8074881033549723,0.5864022662889519
fused,FalsePremise,yager2,dombi2,False,0.0,0.745922816402108,0.807079518392743,0.5892351274787535
fused,FalsePremise,yager2,ss2,False,0.0,,,
fused,FalsePremise,yager3,drastic,False,0.0,,,
fused,FalsePremise,yager3,lukasiewicz,False,0.0,,,
fused,FalsePremise,yager3,nilpotent,False,0.0,,,
fused,FalsePremise,yager3,einstein,False,0.0,0.7818142972446864,0.8363704719314982,0.5920679886685553
fused,FalsePremise,yager3,product,False,0.0,0.7827658379096967,0.8377388923119095,0.5807365439093485
fused,FalsePremise,yager3,hamacher,False,0.0,0.7806669093326158,0.8369354254973596,0.5920679886685553
fused,FalsePremise,yager3,minimum,False,0.0,0.7722434994540016,0.8312140633517093,0.6288951841359773
fused,FalsePremise,yager3,yager2,False,0.0,0.7768488771424502,0.833554937877315,1.0
fused,FalsePremise,yager3,yager3,True,0.0,0.7770684634497602,0.8347221206775152,0.6090651558073654
fused,FalsePremise,yager3,dombi2,False,0.0,0.7741386677639388,0.8318691997739969,0.6118980169971672
fused,FalsePremise,yager3,ss2,False,0.0,,,
fused,FalsePremise,dombi2,drastic,False,0.0,,,
fused,FalsePremise,dombi2,lukasiewicz,False,0.0,,,
fused,FalsePremise,dombi2,nilpotent,False,0.0,,,
fused,FalsePremise,dombi2,einstein,False,0.0,0.8060043996391663,0.8732549170207697,0.5750708215297451
fused,FalsePremise,dombi2,product,False,0.0,0.804718533875639,0.873558373331395,0.5779036827195467
fused,FalsePremise,dombi2,hamacher,False,0.0,0.8032012122746768,0.8732137777515951,0.5949008498583569
fused,FalsePremise,dombi2,minimum,False,0.0,0.7931279377087059,0.8684085006187237,0.6317280453257791
fused,FalsePremise,dombi2,yager2,False,0.0,0.7968767309731432,0.8663684720056926,1.0
fused,FalsePremise,dombi2,yager3,False,0.0,0.8019608463766281,0.8722662416268856,0.6147308781869688
fused,FalsePremise,dombi2,dombi2,True,0.0,0.7985285739155207,0.8712708257666629,0.6203966005665722
fused,FalsePremise,dombi2,ss2,False,0.0,,,
fused,FalsePremise,ss2,drastic,False,0.0,,,
fused,FalsePremise,ss2,lukasiewicz,False,0.0,,,
fused,FalsePremise,ss2,nilpotent,False,0.0,,,
fused,FalsePremise,ss2,einstein,False,0.0,0.5056657223796034,0.672300469483568,0.9886685552407932
fused,FalsePremise,ss2,product,False,0.0,0.5042492917847026,0.6716697936210131,0.9915014164305949
fused,FalsePremise,ss2,hamacher,False,0.0,0.5042492917847026,0.6716697936210131,0.9915014164305949
fused,FalsePremise,ss2,minimum,False,0.0,0.5042492917847026,0.6716697936210131,0.9915014164305949
fused,FalsePremise,ss2,yager2,False,0.0,0.5042492917847026,0.6716697936210131,0.9915014164305949
fused,FalsePremise,ss2,yager3,False,0.0,0.5042492917847026,0.6716697936210131,0.9915014164305949
fused,FalsePremise,ss2,dombi2,False,0.0,0.5042492917847026,0.6716697936210131,0.9915014164305949
fused,FalsePremise,ss2,ss2,True,0.0,,,
stats,TriviaQA,drastic,drastic,True,0.0,,,
stats,TriviaQA,drastic,lukasiewicz,False,0.0,,,
stats,TriviaQA,drastic,nilpotent,False,0.0,,,
stats,TriviaQA,drastic,einstein,False,0.0,,,
stats,TriviaQA,drastic,product,False,0.0,,,
stats,TriviaQA,drastic,hamacher,False,0.0,,,
stats,TriviaQA,drastic,minimum,False,0.0,,,
stats,TriviaQA,drastic,yager2,False,0.0,,,
stats,TriviaQA,drastic,yager3,False,0.0,,,
