arm,init,seed,cv_mse_0,cv_mse,improvement,beat_start,r2_0,r2,heuristic_r2,heuristic_cv,evals_to_heuristic,rmse_0,rmse,evals,seconds,init_seconds,construction_seconds,error
scipy-lbfgsb,cold,3,0.006382,0.005183,0.187902,1,0.867659,0.879349,0.858451,0.005990,424,6.2242,5.9429,2000,27.93,0.0000,0.8183,
scipy-lbfgsb,cold,4,0.006222,0.004494,0.277777,1,0.845693,0.881271,0.755459,0.007497,0,6.8329,5.9936,2000,27.97,0.0000,0.7370,
scipy-lbfgsb,cold,5,0.006533,0.005252,0.196164,1,0.811983,0.852007,0.842144,0.006414,565,6.6406,5.8915,2000,27.17,0.0000,0.6773,
scipy-lbfgsb,cold,6,0.005782,0.005445,0.058260,1,0.890228,0.897749,0.862466,0.006464,0,5.9571,5.7494,2000,28.36,0.0000,0.6818,
scipy-lbfgsb,cold,7,0.005357,0.004558,0.149162,1,0.846885,0.855521,0.870453,0.006181,0,6.3711,6.1888,2000,29.32,0.0000,0.6802,
scipy-lbfgsb,cold,8,0.006406,0.005633,0.120667,1,0.871015,0.881142,0.872438,0.006707,0,5.7962,5.5640,2000,36.15,0.0000,0.7043,
scipy-lbfgsb,cold,9,0.006225,0.005365,0.138015,1,0.859335,0.869661,0.849755,0.006677,0,5.8264,5.6085,2000,30.02,0.0000,0.8043,
none,kmeans,0,0.006495,0.006495,0.000000,0,0.848369,0.848369,0.858037,0.006256,,6.3196,6.3196,0,0.07,0.3215,0.6818,
none,kmeans,1,0.005449,0.005449,0.000000,0,0.821608,0.821608,0.832372,0.005528,0,6.8195,6.8195,0,0.07,0.2307,0.7626,
none,kmeans,2,0.006190,0.006190,0.000000,0,0.803864,0.803864,0.808888,0.006182,,6.9464,6.9464,0,0.09,0.3475,0.7470,
none,kmeans,3,0.006129,0.006129,0.000000,0,0.865678,0.865678,0.858451,0.005990,,6.2706,6.2706,0,0.08,0.3737,0.7519,
none,kmeans,4,0.007274,0.007274,0.000000,0,0.720357,0.720357,0.755459,0.007497,0,9.1985,9.1985,0,0.06,0.2502,0.7132,
none,kmeans,5,0.005857,0.005857,0.000000,0,0.844120,0.844120,0.842144,0.006414,0,6.0465,6.0465,0,0.09,0.2681,0.7154,
none,kmeans,6,0.006787,0.006787,0.000000,0,0.846181,0.846181,0.862466,0.006464,,7.0517,7.0517,0,0.08,0.3196,0.7390,
none,kmeans,7,0.006489,0.006489,0.000000,0,0.860044,0.860044,0.870453,0.006181,,6.0912,6.0912,0,0.09,0.2640,0.7224,
none,kmeans,8,0.006376,0.006376,0.000000,0,0.858980,0.858980,0.872438,0.006707,0,6.0605,6.0605,0,0.07,0.2294,0.7478,
none,kmeans,9,0.006096,0.006096,0.000000,0,0.859687,0.859687,0.849755,0.006677,0,5.8191,5.8191,0,0.07,0.2801,0.7800,
opt-ga,kmeans,0,0.006495,0.004588,0.293629,1,0.848369,0.879690,0.858037,0.006256,1,6.3196,5.6292,2000,30.01,0.3215,0.6818,
opt-ga,kmeans,1,0.005449,0.004362,0.199459,1,0.821608,0.860916,0.832372,0.005528,0,6.8195,6.0215,2000,30.25,0.2307,0.7626,
opt-ga,kmeans,2,0.006190,0.004365,0.294804,1,0.803864,0.824969,0.808888,0.006182,1,6.9464,6.5621,2000,31.23,0.3475,0.7470,
opt-ga,kmeans,3,0.006129,0.004547,0.258129,1,0.865678,0.892047,0.858451,0.005990,4,6.2706,5.6215,2000,32.78,0.3737,0.7519,
opt-ga,kmeans,4,0.007274,0.004528,0.377547,1,0.720357,0.870588,0.755459,0.007497,0,9.1985,6.2575,2000,33.45,0.2502,0.7132,
opt-ga,kmeans,5,0.005857,0.004825,0.176141,1,0.844120,0.851467,0.842144,0.006414,0,6.0465,5.9023,2000,30.86,0.2681,0.7154,
opt-ga,kmeans,6,0.006787,0.004682,0.310187,1,0.846181,0.904763,0.862466,0.006464,1,7.0517,5.5487,2000,32.10,0.3196,0.7390,
opt-ga,kmeans,7,0.006489,0.004230,0.348096,1,0.860044,0.891185,0.870453,0.006181,1,6.0912,5.3709,2000,31.86,0.2640,0.7224,
opt-ga,kmeans,8,0.006376,0.004430,0.305115,1,0.858980,0.883943,0.872438,0.006707,0,6.0605,5.4980,2000,30.91,0.2294,0.7478,
opt-ga,kmeans,9,0.006096,0.004817,0.209910,1,0.859687,0.863637,0.849755,0.006677,0,5.8191,5.7366,2000,30.44,0.2801,0.7800,
scipy-lbfgsb,kmeans,0,0.006495,0.005145,0.207885,1,0.848369,0.878671,0.858037,0.006256,146,6.3196,5.6530,2000,31.77,0.3215,0.6818,
scipy-lbfgsb,kmeans,1,0.005449,0.003481,0.361139,1,0.821608,0.876050,0.832372,0.005528,0,6.8195,5.6845,2000,33.13,0.2307,0.7626,
scipy-lbfgsb,kmeans,2,0.006190,0.005390,0.129354,1,0.803864,0.755127,0.808888,0.006182,146,6.9464,7.7616,2000,33.85,0.3475,0.7470,
scipy-lbfgsb,kmeans,3,0.006129,0.003377,0.449090,1,0.865678,0.892396,0.858451,0.005990,142,6.2706,5.6124,2000,32.94,0.3737,0.7519,
scipy-lbfgsb,kmeans,4,0.007274,0.004089,0.437865,1,0.720357,0.857705,0.755459,0.007497,0,9.1985,6.5616,2000,33.55,0.2502,0.7132,
scipy-lbfgsb,kmeans,5,0.005857,0.004251,0.274257,1,0.844120,0.790693,0.842144,0.006414,0,6.0465,7.0065,2000,34.28,0.2681,0.7154,
scipy-lbfgsb,kmeans,6,0.006787,0.003603,0.469124,1,0.846181,0.925518,0.862466,0.006464,148,7.0517,4.9070,2000,34.90,0.3196,0.7390,
scipy-lbfgsb,kmeans,7,0.006489,0.004201,0.352525,1,0.860044,0.881179,0.870453,0.006181,142,6.0912,5.6125,2000,29.91,0.2640,0.7224,
scipy-lbfgsb,kmeans,8,0.006376,0.003114,0.511557,1,0.858980,0.887821,0.872438,0.006707,0,6.0605,5.4054,2000,28.53,0.2294,0.7478,
scipy-lbfgsb,kmeans,9,0.006096,0.005688,0.066885,1,0.859687,0.800807,0.849755,0.006677,0,5.8191,6.9334,2000,28.68,0.2801,0.7800,
none,fcm,0,0.006542,0.006542,0.000000,0,0.838933,0.838933,0.858037,0.006256,,6.5133,6.5133,0,0.09,0.0951,0.7632,
none,fcm,1,0.006131,0.006131,0.000000,0,0.803971,0.803971,0.832372,0.005528,,7.1487,7.1487,0,0.07,0.0832,0.8094,
none,fcm,2,0.006340,0.006340,0.000000,0,0.809238,0.809238,0.808888,0.006182,,6.8506,6.8506,0,0.07,0.0732,0.6900,
none,fcm,3,0.006088,0.006088,0.000000,0,0.868022,0.868022,0.858451,0.005990,,6.2156,6.2156,0,0.07,0.0788,0.7343,
